HOG	OG	Gene Tree Parent Clade	aip_longest_isoforms	nvec_longest_isoform	spis_longest_isoform_marker	xenia_longest_isoforms
N0.HOG0002452	OG0002247	n4	XP_028512458.1			Xe_027350-T1
N0.HOG0002453	OG0002248	n0	XP_020897480.1	XP_048587852.1	XP_022797039.1, XP_022797038.1, XP_022810326.1	Xe_001277-T1
N0.HOG0002454	OG0002249	n0	XP_020898145.1, XP_020897516.2, XP_028516429.1	XP_032243343.2, XP_001640167.3	XP_022793332.1	
N0.HOG0002455	OG0002250	n0	XP_020897560.1, XP_020897604.1, XP_020897551.1, XP_020897550.1	XP_001627848.2	XP_022799146.1	
N0.HOG0002456	OG0002251	n1			XP_022807068.1	Xe_015666-T1
N0.HOG0002457	OG0002251	n2	XP_020897554.1	XP_032231591.1	XP_022806236.1	Xe_021924-T1
N0.HOG0002458	OG0002252	n0	XP_020897562.1	XP_032219258.1	XP_022797998.1	Xe_022282-T1, Xe_007836-T1, Xe_022380-T1
N0.HOG0002459	OG0002253	n0	XP_020897619.1	XP_001639601.2	XP_022796232.1	Xe_020830-T1, Xe_020821-T1, Xe_024184-T1
N0.HOG0002460	OG0002254	n0	XP_020897673.1, XP_020897659.1	XP_032238297.1, XP_001633212.3	XP_022790738.1	Xe_002729-T1
N0.HOG0002461	OG0002255	n0	XP_020911528.2, XP_020911527.1, XP_020897684.2	XP_048580687.1	XP_022789546.1	Xe_012605-T1
N0.HOG0002462	OG0002256	n0	XP_028519547.1, XP_028513600.1, XP_020908962.1, XP_020897689.2	XP_032229050.1	XP_022806163.1	
N0.HOG0002463	OG0002257	n0	XP_020897832.1	XP_048576655.1	XP_022790013.1	Xe_005463-T1, Xe_005482-T1, Xe_005481-T1
N0.HOG0002464	OG0002258	n0	XP_020897863.1	XP_048576515.1	XP_022802876.1	Xe_005666-T1, Xe_005661-T1, Xe_005656-T1
N0.HOG0002465	OG0002259	n0	XP_020897901.1, XP_020906213.1	XP_032219820.1	XP_022786640.1, XP_022786596.1	Xe_000753-T1
N0.HOG0002466	OG0002260	n0	XP_020897908.1, XP_020906222.1	XP_001637229.2, XP_048586514.1	XP_022778853.1	Xe_000754-T1
N0.HOG0002467	OG0002261	n0	XP_020897953.1	XP_032221221.2	XP_022783057.1, XP_022802269.1	Xe_012793-T1, Xe_003315-T1
N0.HOG0002468	OG0002262	n0	XP_020909229.1, XP_020897977.1	XP_001625815.2	XP_022797739.1, XP_022799666.1	Xe_000565-T1
N0.HOG0002469	OG0002263	n0	XP_020898024.2, XP_028517706.1	XP_048584201.1, XP_032233715.2	XP_022807916.1, XP_022792477.1	
N0.HOG0002470	OG0002264	n0	XP_020914409.1, XP_020898058.2, XP_028514730.1, XP_020906068.1	XP_032235989.2	XP_022799909.1	
N0.HOG0002471	OG0002265	n0	XP_020898096.1	XP_032219750.2	XP_022801165.1	Xe_023917-T1, Xe_003936-T2, Xe_023919-T1
N0.HOG0002472	OG0002266	n0	XP_020898122.1	XP_001633217.1	XP_022806141.1, XP_022801789.1, XP_022801785.1, XP_022801787.1	
N0.HOG0002473	OG0002267	n0	XP_020898177.1	XP_048584789.1	XP_022790511.1, XP_022790530.1, XP_022785910.1, XP_022785936.1	
N0.HOG0002474	OG0002268	n0	XP_020898182.1	XP_048584899.1, XP_048585131.1	XP_022801270.1	Xe_013421-T1, Xe_013405-T1
N0.HOG0002475	OG0002269	n0	XP_020911084.2, XP_020898183.1, XP_020898217.1	XP_048585095.1, XP_001634830.2	XP_022782916.1	
N0.HOG0002476	OG0002270	n0	XP_028514916.1, XP_020898186.1	XP_048584431.1	XP_022781637.1	Xe_013806-T1, Xe_013836-T1
N0.HOG0002477	OG0002271	n0	XP_020898189.1	XP_032229780.1	XP_022781611.1	Xe_008210-T1, Xe_026520-T1, Xe_008211-T1
N0.HOG0002478	OG0002272	n0	XP_020898224.1	XP_032222518.2	XP_022781572.1	Xe_013519-T1, Xe_013523-T1, Xe_013524-T1
N0.HOG0002479	OG0002273	n0	XP_020916874.1, XP_020898243.1	XP_032239632.2	XP_022799528.1, XP_022799545.1	Xe_015795-T1
N0.HOG0002480	OG0002274	n0	XP_028514313.1, XP_028514312.1, XP_020898301.1	XP_001636405.3, XP_032242044.1, XP_048583208.1		
N0.HOG0002481	OG0002275	n0	XP_020898371.1, XP_020898341.1	XP_032217930.2	XP_022784206.1, XP_022795845.1	Xe_003958-T1
N0.HOG0002482	OG0002276	n0	XP_028515574.1, XP_020898383.1, XP_028514317.1	XP_032221363.2	XP_022797717.1	Xe_003341-T1
N0.HOG0002483	OG0002277	n0	XP_020900987.1, XP_020900920.1, XP_020898490.2	XP_048581349.1	XP_022786645.1	Xe_000758-T1
N0.HOG0002484	OG0002278	n0	XP_020901621.2, XP_020898519.2	XP_001638694.3	XP_022806877.1	Xe_020888-T1, Xe_020901-T1
N0.HOG0002485	OG0002279	n0	XP_020898603.1, XP_020907397.1, XP_028516826.1, XP_020907772.1, XP_028516821.1, XP_020903750.1			
N0.HOG0002486	OG0002280	n0	XP_020898626.1, XP_020898640.2, XP_028513053.1, XP_028514429.1, XP_028514430.1, XP_020898636.2			
N0.HOG0002487	OG0002281	n0	XP_020898700.1	XP_032218287.1	XP_022804634.1, XP_022804023.1, XP_022804770.1	Xe_009183-T1
N0.HOG0002488	OG0002282	n0	XP_020898707.2, XP_020898717.1	XP_001634249.2, XP_032239568.2	XP_022803787.1	Xe_009184-T1
N0.HOG0002489	OG0002283	n0	XP_020898810.2	XP_001629670.2	XP_022787271.1	Xe_000450-T1, Xe_000447-T1, Xe_000451-T1
N0.HOG0002490	OG0002284	n0	XP_020898824.1	XP_032241619.2	XP_022802018.1, XP_022802016.1, XP_022802017.1	Xe_003351-T1
N0.HOG0002491	OG0002285	n0	XP_020908757.1, XP_020898845.1	XP_001628544.2, XP_001634916.2	XP_022785099.1, XP_022806326.1	
N0.HOG0002492	OG0002286	n0	XP_020898853.1	XP_048590590.1	XP_022809202.1	Xe_007080-T1, Xe_007081-T1, Xe_002689-T1
N0.HOG0002493	OG0002287	n0	XP_020898861.1	XP_032238076.2	XP_022797667.1	Xe_014741-T1, Xe_014739-T1, Xe_014742-T1
N0.HOG0002494	OG0002288	n0	XP_020898868.1	XP_048575803.1, XP_048575806.1, XP_048575808.1	XP_022788415.1	Xe_017568-T1
N0.HOG0002495	OG0002289	n0	XP_020898884.1	XP_001633875.3	XP_022797863.1	Xe_020361-T1, Xe_020360-T1, Xe_020374-T1
N0.HOG0002496	OG0002290	n0	XP_020898889.1	XP_048581489.1, XP_048581486.1	XP_022797692.1, XP_022809053.1	Xe_020947-T1
N0.HOG0002497	OG0002291	n0	XP_020898913.1	XP_048577713.1	XP_022784149.1	Xe_017213-T1, Xe_017208-T1, Xe_017203-T1
N0.HOG0002498	OG0002292	n0	XP_020898927.1, XP_020898928.1	XP_032237915.2, XP_032237916.2	XP_022802807.1, XP_022807230.1	
N0.HOG0002499	OG0002293	n0	XP_020898952.1	XP_032238129.2	XP_022779950.1	Xe_020964-T1, Xe_020965-T1, Xe_020963-T1
N0.HOG0002500	OG0002294	n0	XP_020900194.1, XP_020898956.1	XP_032241646.2, XP_032239031.2	XP_022801669.1, XP_022801095.1	
N0.HOG0002501	OG0002295	n0	XP_020899027.1	XP_048575707.1	XP_022788435.1	Xe_017578-T1, Xe_017586-T1, Xe_017616-T1
N0.HOG0002502	OG0002296	n0	XP_020908572.1, XP_020899089.1, XP_028517002.1, XP_028517643.1, XP_020916331.2		XP_022784999.1	
N0.HOG0002503	OG0002297	n0	XP_020899115.2	XP_048580654.1	XP_022795943.1	Xe_020890-T1, Xe_020902-T1, Xe_020889-T1
N0.HOG0002504	OG0002298	n0	XP_020899177.1	XP_032237469.2	XP_022783622.1, XP_022783592.1, XP_022783517.1, XP_022783518.1	
N0.HOG0002505	OG0002299	n0	XP_020899264.1, XP_020904306.1	XP_032230937.2, XP_048588970.1	XP_022792004.1	Xe_014647-T1
N0.HOG0002506	OG0002300	n0	XP_020899302.1, XP_020899991.1	XP_032234028.1	XP_022783750.1	Xe_000409-T1, Xe_012250-T1
N0.HOG0002507	OG0002301	n1		XP_048583366.1		Xe_021540-T1
N0.HOG0002508	OG0002301	n2	XP_020899320.1	XP_001647540.1	XP_022793657.1	Xe_021541-T1
N0.HOG0002509	OG0002302	n0	XP_020899347.1, XP_028514583.1	XP_048577089.1	XP_022785922.1, XP_022810521.1, XP_022785904.1	
N0.HOG0002510	OG0002303	n0	XP_020899365.2	XP_001625916.1, XP_032239855.1, XP_032217953.1, XP_032218025.1		Xe_010013-T1
N0.HOG0002511	OG0002304	n0	XP_028514644.1, XP_020899563.1	XP_001632376.2, XP_048584947.1	XP_022790810.1	Xe_015496-T1
N0.HOG0002512	OG0002305	n0	XP_020899570.1	XP_032231368.2	XP_022796424.1, XP_022796423.1	Xe_011732-T1, Xe_014752-T1
N0.HOG0002513	OG0002306	n0	XP_020899576.1	XP_001640769.2	XP_022801481.1	Xe_024690-T2, Xe_024692-T1, Xe_024693-T1
N0.HOG0002514	OG0002307	n0	XP_020899588.1	XP_048584793.1	XP_022790845.1	Xe_027251-T1, Xe_027560-T1, Xe_027257-T1
N0.HOG0002515	OG0002308	n0	XP_020899609.1	XP_001628848.2	XP_022777749.1	Xe_012207-T1, Xe_023969-T1, Xe_012206-T2
N0.HOG0002516	OG0002309	n0	XP_020899646.1	XP_048581758.1	XP_022783603.1	Xe_020747-T1, Xe_020748-T1, Xe_020746-T1
N0.HOG0002517	OG0002310	n0	XP_020899679.1, XP_028513569.1	XP_032236107.2, XP_048588658.1	XP_022779246.1	Xe_009813-T1
N0.HOG0002518	OG0002311	n0	XP_020899712.1	XP_048582859.1	XP_022802413.1	Xe_011378-T1, Xe_011467-T1, Xe_011466-T1
N0.HOG0002519	OG0002312	n0	XP_020899714.1, XP_020905799.1	XP_001623582.2	XP_022803694.1, XP_022778627.1	Xe_004826-T1
N0.HOG0002520	OG0002313	n0	XP_020905800.1, XP_020899715.1	XP_032226545.2	XP_022783972.1, XP_022783861.1	Xe_004935-T1
N0.HOG0002521	OG0002314	n0	XP_020915422.1, XP_020915442.1, XP_020899719.1, XP_020899726.1, XP_020913112.1, XP_020912761.1			
N0.HOG0002522	OG0002315	n0	XP_028514516.1, XP_020899728.1, XP_028514667.1	XP_048582062.1	XP_022808712.1	Xe_005121-T1
N0.HOG0002523	OG0002316	n0	XP_020914710.1, XP_020914878.1, XP_020899742.1, XP_020899739.1	XP_032237969.2, XP_032221950.2		
N0.HOG0002524	OG0002317	n0	XP_028515579.1, XP_020899745.1	XP_032227659.2	XP_022798692.1	Xe_019902-T1, Xe_019905-T1
N0.HOG0002525	OG0002318	n0	XP_020899764.1	XP_001634589.3	XP_022798164.1	Xe_009382-T1, Xe_023850-T1, Xe_009414-T1
N0.HOG0002526	OG0002319	n0	XP_020906451.1, XP_020899854.1	XP_001621874.3	XP_022793725.1, XP_022808334.1, XP_022808338.1	
N0.HOG0002527	OG0002320	n0	XP_020899899.1, XP_020899887.1	XP_001630150.1, XP_048590565.1	XP_022784950.1	Xe_001114-T1
N0.HOG0002528	OG0002321	n0	XP_020899888.1	XP_001640785.1, XP_048584970.1, XP_001619863.2	XP_022786344.1, XP_022786346.1	
N0.HOG0002529	OG0002322	n0	XP_020899927.1	XP_001634818.3	XP_022790518.1, XP_022783917.1	Xe_010137-T1, Xe_002038-T1
N0.HOG0002530	OG0002323	n0	XP_020899959.2	XP_001624753.2	XP_022797856.1	Xe_026994-T2, Xe_026994-T1, Xe_018401-T1
N0.HOG0002531	OG0002324	n0	XP_028519213.1, XP_020900066.1	XP_048584339.1, XP_001639999.2	XP_022778713.1	Xe_017178-T1
N0.HOG0002532	OG0002325	n0	XP_020900072.1, XP_020910430.1	XP_001633645.2	XP_022779620.1	Xe_005774-T1, Xe_005773-T1
N0.HOG0002533	OG0002326	n0	XP_020900104.1	XP_048582361.1, XP_001621695.3	XP_022783181.1	Xe_012150-T1, Xe_012148-T1
N0.HOG0002534	OG0002327	n0	XP_028514773.1, XP_020911780.1, XP_020900111.1	XP_001640236.3	XP_022798187.1	Xe_009191-T1
N0.HOG0002535	OG0002328	n0	XP_020900113.1	XP_001632669.1	XP_022787073.1, XP_022787072.1	Xe_000410-T1, Xe_001026-T1
N0.HOG0002536	OG0002329	n0	XP_020900123.1	XP_032233090.2	XP_022784964.1	Xe_024011-T1, Xe_018231-T1, Xe_024020-T1
N0.HOG0002537	OG0002330	n0	XP_020902429.1, XP_020900180.1	XP_001627674.2, XP_032231382.1	XP_022778868.1, XP_022788453.1	
N0.HOG0002538	OG0002331	n0	XP_020900219.1	XP_032221658.2	XP_022788895.1, XP_022796470.1	Xe_010072-T1, Xe_011810-T1
N0.HOG0002539	OG0002332	n0	XP_020900249.1	XP_048585307.1	XP_022808082.1, XP_022808080.1, XP_022790510.1	Xe_012803-T1
N0.HOG0002540	OG0002333	n0	XP_020900276.1, XP_028514133.1, XP_020900275.1		XP_022803951.1, XP_022803968.1	Xe_005283-T1
N0.HOG0002541	OG0002334	n0	XP_020900295.1, XP_028518848.1	XP_001629043.2	XP_022800400.1, XP_022799160.1	Xe_018788-T1
N0.HOG0002542	OG0002335	n0	XP_020900349.1	XP_032224638.2, XP_048576002.1, XP_048575423.1	XP_022781970.1	Xe_016534-T1
N0.HOG0002543	OG0002336	n0	XP_020910897.1, XP_020900358.1	XP_048584697.1, XP_048589687.1	XP_022797911.1	Xe_015732-T1
N0.HOG0002544	OG0002337	n0	XP_020900392.1	XP_048581106.1, XP_001642050.2	XP_022795804.1	Xe_022011-T1, Xe_022009-T1
N0.HOG0002545	OG0002338	n0	XP_020900452.1, XP_020909898.1	XP_032238101.2	XP_022794108.1	Xe_012639-T1, Xe_013194-T1
N0.HOG0002546	OG0002339	n0	XP_020900505.1, XP_028518143.1	XP_048581336.1, XP_032223339.1	XP_022804203.1	Xe_020561-T1
N0.HOG0002547	OG0002340	n0	XP_020904988.1, XP_028513691.1, XP_020900527.1	XP_001640448.1	XP_022799130.1	Xe_003391-T1
N0.HOG0002548	OG0002341	n0	XP_020900570.1	XP_032235049.2	XP_022796139.1	Xe_020896-T1, Xe_020881-T1, Xe_020895-T1
N0.HOG0002549	OG0002342	n0	XP_020910059.1, XP_020910312.1, XP_020910302.1, XP_020915350.1, XP_020900606.1, XP_020910513.1			
N0.HOG0002550	OG0002343	n0	XP_020914974.2, XP_020900620.1, XP_020912997.1	XP_048578688.1	XP_022790680.1, XP_022797987.1	
N0.HOG0002551	OG0002344	n0	XP_020900652.1	XP_032225413.1, XP_032226782.1, XP_001623762.1	XP_022784876.1	Xe_002215-T1
N0.HOG0002552	OG0002345	n0	XP_020900666.2, XP_020911246.1	XP_048586625.1, XP_048578379.1	XP_022809964.1, XP_022791755.1	
N0.HOG0002553	OG0002346	n0	XP_020900743.1, XP_028514931.1, XP_020914993.1, XP_020900741.1	XP_032242243.1, XP_048590549.1		
N0.HOG0002554	OG0002347	n0	XP_028514985.1, XP_020900882.1, XP_020900876.1	XP_032218860.1	XP_022777530.1, XP_022783941.1	
N0.HOG0002555	OG0002348	n0	XP_028519398.1, XP_020900902.1	XP_001628668.2	XP_022809430.1	Xe_013004-T1, Xe_028466-T1
N0.HOG0002556	OG0002349	n0	XP_020900939.1, XP_020914526.1, XP_020914525.1	XP_032233861.1	XP_022781989.1	Xe_015663-T1
N0.HOG0002557	OG0002350	n0	XP_020900946.1, XP_020917721.1	XP_001632927.3, XP_001625427.2	XP_022800545.1	Xe_016090-T1
N0.HOG0002558	OG0002351	n0	XP_028519399.1, XP_020900997.1	XP_001629567.2	XP_022798777.1	Xe_012856-T1, Xe_012855-T1
N0.HOG0002559	OG0002352	n0	XP_020901027.1	XP_001632379.3	XP_022779956.1, XP_022780098.1	Xe_024293-T1, Xe_024095-T1
N0.HOG0002560	OG0002353	n0	XP_020901045.1	XP_048586059.1, XP_001637504.2	XP_022802644.1, XP_022800853.1	Xe_000479-T1
N0.HOG0002561	OG0002354	n0	XP_020901076.2	XP_032239187.2, XP_032238507.2	XP_022808335.1, XP_022807841.1	Xe_004733-T1
N0.HOG0002562	OG0002355	n0	XP_020907332.1, XP_020901085.1, XP_020907331.2	XP_001641981.1	XP_022787571.1	Xe_004399-T1
N0.HOG0002563	OG0002356	n0	XP_020917634.1, XP_020901090.1, XP_020901111.1	XP_032227082.2	XP_022784222.1	Xe_016846-T1
N0.HOG0002564	OG0002357	n0	XP_020902406.2, XP_020911072.1, XP_020901107.1	XP_032220136.1	XP_022783793.1	Xe_008888-T1
N0.HOG0002565	OG0002358	n0	XP_020901192.2, XP_028515079.1, XP_028517649.1		XP_022788172.1, XP_022809539.1, XP_022809704.1	
N0.HOG0002566	OG0002359	n0	XP_020901209.1	XP_032221446.2	XP_022781731.1	Xe_018327-T1, Xe_006093-T1, Xe_006091-T1
N0.HOG0002567	OG0002360	n0	XP_020901226.1		XP_022804946.1, XP_022804940.1, XP_022804942.1, XP_022804943.1, XP_022804933.1	
N0.HOG0002568	OG0002361	n0	XP_020901280.1	XP_048579011.1	XP_022780496.1	Xe_026751-T1, Xe_025894-T1, Xe_001813-T1
N0.HOG0002569	OG0002362	n0	XP_020911190.1, XP_020901288.1	XP_001647548.2	XP_022802893.1, XP_022804865.1, XP_022804884.1	
N0.HOG0002570	OG0002363	n0	XP_028515118.1, XP_028514656.1, XP_020901291.1	XP_048581427.1, XP_048581646.1	XP_022803115.1	
N0.HOG0002571	OG0002364	n0	XP_020901339.1	XP_048576325.1	XP_022780262.1	Xe_016616-T1, Xe_016615-T1, Xe_016610-T1
N0.HOG0002572	OG0002365	n0	XP_020901377.1	XP_048576331.1	XP_022790191.1	Xe_016335-T1, Xe_016340-T1, Xe_016331-T1
N0.HOG0002573	OG0002366	n0	XP_020901380.1	XP_048575414.1, XP_048575419.1	XP_022795419.1	Xe_016572-T1, Xe_018661-T1
N0.HOG0002574	OG0002367	n0	XP_020901402.1, XP_028517577.1	XP_048575405.1, XP_001634076.1	XP_022792492.1	Xe_018034-T1
N0.HOG0002575	OG0002368	n0	XP_020901423.1	XP_001625552.1	XP_022788431.1	Xe_016670-T1, Xe_016713-T1, Xe_010381-T1
N0.HOG0002576	OG0002369	n2	XP_020907660.2		XP_022780303.1	Xe_015812-T1
N0.HOG0002577	OG0002369	n4	XP_020901426.1			Xe_015813-T1
N0.HOG0002578	OG0002370	n0	XP_020901451.1	XP_032230362.2	XP_022790876.1	Xe_029015-T1, Xe_016296-T1, Xe_016288-T1
N0.HOG0002579	OG0002371	n0	XP_020901504.2, XP_020907577.1, XP_028514521.1, XP_028515143.1, XP_020904998.1, XP_020904996.2			
N0.HOG0002580	OG0002372	n0	XP_020901520.1	XP_032221467.1	XP_022801966.1	Xe_018701-T1, Xe_018700-T1, Xe_018708-T1
N0.HOG0002581	OG0002373	n0	XP_020907625.1, XP_020901604.1, XP_020901532.1, XP_020901543.1, XP_020901593.1, XP_028515200.1			
N0.HOG0002582	OG0002374	n0	XP_020901547.2, XP_028515189.1, XP_028515184.1, XP_028515183.1, XP_020908639.1, XP_020901546.1			
N0.HOG0002583	OG0002375	n0	XP_020901577.2, XP_020903104.1	XP_048576833.1, XP_032231194.2	XP_022790024.1, XP_022806805.1	
N0.HOG0002584	OG0002376	n0	XP_020901661.1, XP_020901673.1	XP_032233544.1	XP_022783762.1	Xe_001844-T1, Xe_003972-T1
N0.HOG0002585	OG0002377	n0	XP_028518168.1, XP_020901674.1	XP_048579806.1, XP_048581094.1	XP_022800180.1	Xe_021833-T1
N0.HOG0002586	OG0002378	n0	XP_020901773.1, XP_020901751.1, XP_020901758.1	XP_048578551.1	XP_022805198.1	Xe_008516-T1
N0.HOG0002587	OG0002379	n0	XP_020901819.1, XP_020912841.2	XP_032221821.2	XP_022810566.1, XP_022810588.1	Xe_012176-T1
N0.HOG0002588	OG0002380	n0	XP_020901897.2	XP_032231023.2, XP_032219082.1, XP_048590036.1	XP_022786364.1	Xe_002621-T1
N0.HOG0002589	OG0002381	n0	XP_020902023.1	XP_032223286.2	XP_022787986.1	Xe_028740-T1, Xe_015429-T1, Xe_028741-T1
N0.HOG0002590	OG0002382	n0	XP_020902050.1	XP_032237473.2	XP_022800331.1, XP_022800340.1, XP_022800316.1, XP_022800328.1	
N0.HOG0002591	OG0002383	n0	XP_028515369.1, XP_020914387.1, XP_028519265.1, XP_020902178.1, XP_028515360.1, XP_028515371.1			
N0.HOG0002592	OG0002384	n0	XP_020902210.1	XP_048582036.1, XP_001631934.2	XP_022798887.1, XP_022798888.1, XP_022798890.1	
N0.HOG0002593	OG0002385	n0	XP_020902258.1	XP_001638714.2	XP_022797060.1	Xe_010530-T1, Xe_011007-T1, Xe_010959-T1
N0.HOG0002594	OG0002386	n0	XP_028515405.1, XP_020902270.1, XP_020904043.1	XP_048577933.1	XP_022785470.1	Xe_014554-T1
N0.HOG0002595	OG0002387	n0	XP_020914264.1, XP_020902288.1	XP_048577776.1	XP_022794942.1, XP_022794947.1	Xe_011515-T1
N0.HOG0002596	OG0002388	n0	XP_028512592.1, XP_020910849.1, XP_020902336.1, XP_020912125.1, XP_020914391.1, XP_020912124.1			
N0.HOG0002597	OG0002389	n0	XP_020902399.1, XP_020902384.1	XP_032242665.1, XP_001627300.1	XP_022797441.1	Xe_015703-T1
N0.HOG0002598	OG0002390	n0	XP_020902445.1	XP_001637310.2	XP_022788645.1, XP_022788630.1	Xe_015403-T1, Xe_015402-T1
N0.HOG0002599	OG0002391	n0	XP_020902562.1	XP_048579114.1	XP_022787372.1	Xe_009879-T1, Xe_009886-T1, Xe_009883-T1
N0.HOG0002600	OG0002392	n0	XP_020902574.1	XP_001623503.2	XP_022790354.1, XP_022790397.1	Xe_004009-T1, Xe_004014-T1
N0.HOG0002601	OG0002393	n0	XP_020902613.1	XP_032229084.1	XP_022790265.1	Xe_015287-T1, Xe_015628-T1, Xe_015631-T1
N0.HOG0002602	OG0002394	n0	XP_020916834.1, XP_020902658.2	XP_048589375.1, XP_048589353.1, XP_048583490.1	XP_022794721.1	
N0.HOG0002603	OG0002395	n0	XP_020902720.1	XP_001624141.2, XP_048578778.1, XP_048578777.1	XP_022779841.1	Xe_008128-T1
N0.HOG0002604	OG0002396	n0	XP_020902727.1, XP_020914286.1	XP_032241221.2	XP_022802608.1, XP_022778261.1	Xe_008757-T1
N0.HOG0002605	OG0002397	n0	XP_020902779.1, XP_020906579.1	XP_032223323.1	XP_022786553.1, XP_022791770.1	Xe_008497-T1
N0.HOG0002606	OG0002398	n0	XP_028512639.1, XP_020902849.1		XP_022777611.1, XP_022796300.1, XP_022802164.1, XP_022794753.1	
N0.HOG0002607	OG0002399	n0	XP_020902862.1, XP_020907950.1	XP_048586899.1	XP_022809446.1, XP_022805305.1, XP_022809495.1	
N0.HOG0002608	OG0002400	n0	XP_020902888.1, XP_020902889.1	XP_048583063.1	XP_022787167.1, XP_022793089.1	Xe_003428-T1
N0.HOG0002609	OG0002401	n0	XP_020902906.1	XP_032236314.1	XP_022806493.1	Xe_003098-T1, Xe_001734-T1, Xe_018570-T1
N0.HOG0002610	OG0002402	n0	XP_020903018.1, XP_020903019.1, XP_020903017.1, XP_020903027.1		XP_022795307.1, XP_022795320.1	
N0.HOG0002611	OG0002403	n0	XP_020903026.1, XP_020903022.1	XP_032219322.2	XP_022807137.1	Xe_021938-T1, Xe_021934-T1
N0.HOG0002612	OG0002404	n0	XP_020903032.1, XP_028518563.1	XP_032220370.2	XP_022781469.1	Xe_019295-T1, Xe_019286-T1
N0.HOG0002613	OG0002405	n0	XP_020903036.1, XP_020903035.1, XP_028515622.1, XP_028515621.1	XP_032219694.2, XP_048584343.1		
N0.HOG0002614	OG0002406	n0	XP_028515459.1, XP_020903079.1	XP_048575348.1	XP_022800023.1, XP_022800008.1, XP_022780270.1	
N0.HOG0002615	OG0002407	n0	XP_020903234.1, XP_020906552.1, XP_020903231.1	XP_048578653.1	XP_022786490.1, XP_022786489.1	
N0.HOG0002616	OG0002408	n0	XP_020906439.1, XP_020903250.2, XP_020907117.1	XP_048587230.1	XP_022790135.1	Xe_007788-T1
N0.HOG0002617	OG0002409	n0	XP_020903308.1	XP_032240680.2	XP_022800879.1	Xe_004239-T1, Xe_004240-T1, Xe_004244-T1
N0.HOG0002618	OG0002410	n0	XP_020903319.1, XP_028518340.1, XP_028518277.1	XP_032234208.1	XP_022799582.1, XP_022799548.1	
N0.HOG0002619	OG0002411	n0	XP_020903325.1	XP_001633532.3	XP_022789587.1, XP_022809619.1, XP_022792056.1	Xe_012900-T1
N0.HOG0002620	OG0002412	n0	XP_020903345.1, XP_020903338.1	XP_048580746.1	XP_022799550.1	Xe_022523-T1, Xe_012591-T1
N0.HOG0002621	OG0002413	n0	XP_020907626.1, XP_020903415.1	XP_048577330.1	XP_022791610.1	Xe_021454-T1, Xe_021443-T1
N0.HOG0002622	OG0002414	n0	XP_020903436.1, XP_020916778.2	XP_048581515.1	XP_022789249.1, XP_022789217.1, XP_022778802.1	
N0.HOG0002623	OG0002415	n0	XP_020903498.2		XP_022791713.1, XP_022791705.1, XP_022793190.1, XP_022792597.1	Xe_014808-T1
N0.HOG0002624	OG0002416	n0	XP_020903517.1	XP_001641766.2	XP_022799724.1	Xe_015041-T1, Xe_007452-T1, Xe_015044-T1
N0.HOG0002625	OG0002417	n0	XP_020903535.1, XP_020903532.1	XP_001630559.1	XP_022792242.1, XP_022792241.1, XP_022793020.1	
N0.HOG0002626	OG0002418	n0	XP_028512467.1, XP_020903571.1, XP_028513806.1, XP_020909575.1	XP_001622865.1, XP_001624165.3		
N0.HOG0002627	OG0002419	n0	XP_020903582.1, XP_020916647.1	XP_048587988.1	XP_022779197.1	Xe_015463-T1, Xe_015465-T1
N0.HOG0002628	OG0002420	n0	XP_020903618.1	XP_001635561.1, XP_048581667.1	XP_022800915.1, XP_022800911.1	Xe_014359-T1
N0.HOG0002629	OG0002421	n0	XP_020903766.2, XP_028515773.1	XP_032229078.2	XP_022779182.1, XP_022779221.1	Xe_014292-T1
N0.HOG0002630	OG0002422	n0	XP_020903819.1, XP_020903818.1	XP_048584661.1	XP_022790840.1, XP_022790835.1, XP_022790838.1	
N0.HOG0002631	OG0002423	n0	XP_020909108.1, XP_020903853.1	XP_001640852.3, XP_048590359.1	XP_022808922.1	Xe_010537-T1
N0.HOG0002632	OG0002424	n0	XP_020903872.1	XP_001639176.1, XP_001634778.2, XP_032230040.1	XP_022797351.1, XP_022807992.1	
N0.HOG0002633	OG0002425	n0	XP_020915844.1, XP_020903894.2, XP_028513401.1		XP_022777632.1, XP_022787412.1, XP_022808587.1	
N0.HOG0002634	OG0002426	n0	XP_020904027.1, XP_020904028.1	XP_032227704.2	XP_022796101.1	Xe_010302-T1, Xe_010819-T1
N0.HOG0002635	OG0002427	n0	XP_020904061.2	XP_048577562.1	XP_022795896.1	Xe_011496-T1, Xe_011497-T1, Xe_011495-T1
N0.HOG0002636	OG0002428	n0	XP_020904190.1	XP_001641868.2	XP_022785733.1, XP_022795760.1, XP_022795752.1	Xe_015993-T1
N0.HOG0002637	OG0002429	n0	XP_020904196.1, XP_020904195.1	XP_001632885.2	XP_022796435.1, XP_022778340.1	Xe_014744-T1
N0.HOG0002638	OG0002430	n0	XP_020904238.1, XP_020916765.1	XP_032240483.2	XP_022806907.1, XP_022785645.1	Xe_021657-T1
N0.HOG0002639	OG0002431	n0	XP_028515927.1, XP_020904282.1	XP_048575870.1	XP_022805042.1	Xe_018704-T1, Xe_018695-T1
N0.HOG0002640	OG0002432	n0	XP_020904384.1	XP_001632006.3	XP_022801760.1	Xe_014282-T1, Xe_014281-T1, Xe_014287-T1
