HOG	OG	Gene Tree Parent Clade	aip_longest_isoforms	nvec_longest_isoform	spis_longest_isoform_marker	xenia_longest_isoforms
N2.HOG0000019	OG0000028	n1	XP_020901945.1	XP_048585670.1, XP_001626388.1		
N2.HOG0000020	OG0000028	n7	XP_020900729.1	XP_048589730.1, XP_048576146.1		
N2.HOG0000021	OG0000028	n12	XP_020907568.1, XP_020905382.1	XP_001640050.2, XP_048576193.1, XP_001640047.2		
N2.HOG0000022	OG0000028	n19	XP_028516191.1, XP_020905366.1			
N2.HOG0000023	OG0000028	n24	XP_020905383.1	XP_032221010.2, XP_048576171.1		
N2.HOG0000024	OG0000028	n31	XP_020917390.1	XP_001641088.3		
N2.HOG0000025	OG0000028	n40	XP_020914014.1	XP_032229419.1		
N2.HOG0000026	OG0000028	n41	XP_020894395.1, XP_020905359.1	XP_048576267.1		
N2.HOG0000027	OG0000028	n47		XP_032219095.2, XP_001640101.1		
N2.HOG0000028	OG0000028	n50	XP_028516187.1	XP_048575815.1, XP_032221500.2		
N2.HOG0000029	OG0000028	n52	XP_020905390.1, XP_020905365.1	XP_001627579.2		
N2.HOG0000030	OG0000028	n54	XP_020910879.1, XP_028517859.1, XP_020910875.1	XP_032224826.2		
N2.HOG0000031	OG0000028	n57	XP_020908673.1	XP_048581324.1		
N2.HOG0000032	OG0000031	n0	XP_020914234.1	XP_048575684.1		
N2.HOG0000033	OG0000035	n1	XP_020914388.1, XP_020904729.1	XP_048585684.1, XP_048585982.1		
N2.HOG0000034	OG0000035	n5	XP_028517288.1			
N2.HOG0000035	OG0000038	n2	XP_020897020.1			
N2.HOG0000036	OG0000038	n4	XP_020904326.1, XP_028516362.1, XP_020907536.2, XP_020907549.1, XP_020917754.1, XP_020917750.1, XP_020917755.1, XP_028512441.1, XP_028519400.1, XP_020917713.1, XP_028512432.1, XP_020916387.2, XP_028512439.1, XP_020905049.1, XP_028512703.1, XP_020906682.1, XP_020904408.1, XP_028515978.1, XP_020907914.1, XP_028519455.1, XP_020916577.1, XP_020916576.1, XP_020916579.1, XP_028514686.1, XP_028514680.1, XP_028514681.1, XP_020899798.1, XP_020899800.1, XP_020899792.1, XP_020899796.1, XP_020899794.2, XP_020899793.2, XP_020906714.1, XP_020906712.1, XP_020916308.1, XP_020906378.2, XP_020906379.2, XP_020906359.1, XP_028516477.1, XP_020906358.2, XP_020892699.1, XP_020892722.1, XP_020910407.1, XP_020910416.1, XP_020917603.1, XP_020906751.1			
N2.HOG0000037	OG0000039	n1	XP_020909873.1, XP_028514906.1	XP_032242158.1		
N2.HOG0000038	OG0000039	n8	XP_028517518.1	XP_032242156.1, XP_032242159.2		
N2.HOG0000039	OG0000039	n11	XP_028515588.1			
N2.HOG0000040	OG0000040	n1	XP_020917809.2	XP_048590439.1		
N2.HOG0000041	OG0000040	n3	XP_028514548.1, XP_020910389.1, XP_028517718.1, XP_028519554.1, XP_028517720.1, XP_028519555.1, XP_020907581.1, XP_020910328.1, XP_028517716.1, XP_028517717.1, XP_028519553.1, XP_028513764.1, XP_020914186.1, XP_028513801.1, XP_028513795.1, XP_028513794.1, XP_020896576.1, XP_028518048.1, XP_028517719.1, XP_020907578.1, XP_020900960.2, XP_020892281.1, XP_028516301.1, XP_020898989.1, XP_020900758.1, XP_028516178.1, XP_020903266.1, XP_020914445.1, XP_020901315.1, XP_020905339.1, XP_020896265.1, XP_020914766.1, XP_028517331.1, XP_028518050.1, XP_020895654.1, XP_020909164.1, XP_020912640.1, XP_020899941.1, XP_020899037.1, XP_020911857.1, XP_020916586.1, XP_020913357.1, XP_020913254.1, XP_020910666.1, XP_028513851.1, XP_020917542.1			
N2.HOG0000042	OG0000041	n0		XP_048586219.1, XP_048576155.1, XP_048575389.1, XP_048582203.1, XP_048583906.1, XP_048575388.1, XP_048584879.1, XP_048581547.1, XP_048582655.1, XP_048581383.1, XP_048586176.1, XP_048588882.1, XP_048589974.1, XP_048590486.1, XP_048589444.1, XP_048590488.1, XP_048586186.1, XP_048589445.1, XP_048580422.1, XP_048577326.1, XP_048580441.1, XP_048577922.1, XP_048588892.1, XP_048581386.1, XP_048585313.1, XP_048588385.1, XP_048578006.1, XP_048587805.1, XP_048579356.1, XP_048578001.1, XP_048583214.1, XP_048589111.1, XP_048578003.1, XP_048588864.1, XP_048575379.1, XP_048582161.1, XP_048582487.1, XP_048576785.1, XP_048576158.1, XP_048582664.1, XP_048588297.1, XP_048579005.1, XP_048588867.1, XP_048584381.1, XP_048582202.1, XP_048580341.1, XP_048588341.1, XP_048583264.1, XP_048588336.1, XP_048581294.1		
N2.HOG0000043	OG0000043	n0	XP_020904632.2, XP_020904631.2, XP_020908207.2, XP_028517020.1, XP_028517014.1, XP_028517013.1, XP_028513319.1, XP_020898257.1, XP_020915140.2, XP_020891997.1, XP_028519070.1, XP_020915178.2, XP_020915176.2, XP_028519064.1, XP_020901441.2, XP_020915180.1, XP_028516032.1, XP_028516033.1, XP_028514716.1, XP_020894074.1, XP_028518426.1, XP_028513017.1, XP_020911305.1, XP_020911302.1, XP_028517973.1, XP_020907515.1, XP_020907513.1, XP_028514739.1, XP_020897252.2, XP_020912618.2, XP_028513999.1, XP_028519636.1, XP_028518584.1, XP_020905389.2, XP_020905386.2, XP_020891989.1, XP_020896004.1, XP_020916477.1, XP_020897440.1, XP_020907518.1, XP_028516819.1, XP_028516808.1, XP_020907550.2, XP_020914982.2, XP_028514741.1, XP_028514743.1, XP_020899992.1, XP_020899995.1	XP_048577458.1		
N2.HOG0000044	OG0000044	n3	XP_028516010.1, XP_020911103.1, XP_020897277.2			
N2.HOG0000045	OG0000044	n12	XP_020907890.2, XP_020912868.2, XP_020912861.2, XP_020902857.2, XP_028518447.1, XP_028515600.1, XP_020916653.2, XP_020900414.2, XP_020907891.1, XP_028517870.1, XP_028517873.1, XP_020907884.2, XP_028519493.1, XP_028518810.1, XP_028518448.1, XP_028514228.1			
N2.HOG0000046	OG0000044	n40	XP_020907892.1, XP_020907893.1			
N2.HOG0000047	OG0000044	n42	XP_028516009.1			
N2.HOG0000048	OG0000046	n0	XP_020909484.1, XP_020915173.1, XP_020915172.1, XP_020906822.2, XP_020913289.2, XP_020904608.1, XP_020909488.1, XP_020909487.1, XP_020909486.1, XP_020915293.1, XP_020895200.1, XP_020913397.1, XP_020901032.1, XP_020916136.1, XP_020909034.1, XP_020913385.1, XP_020900818.1, XP_020900817.1, XP_028514274.1, XP_020904085.1, XP_020894381.1, XP_028516693.1, XP_020907041.1, XP_020916885.1, XP_020909043.1, XP_020897251.2, XP_020908944.1, XP_020916242.1, XP_020911902.1, XP_020910380.1, XP_020916287.1, XP_020911531.1, XP_028514119.1, XP_020899939.1, XP_028519336.1, XP_028519332.1, XP_020900931.1, XP_020900930.1, XP_020906038.1, XP_020915760.1, XP_020908018.1, XP_020910296.1, XP_020915275.2, XP_020915274.1, XP_020915273.1, XP_020917554.1			
N2.HOG0000049	OG0000047	n0	XP_020895754.1			
N2.HOG0000050	OG0000048	n0	XP_020897096.1	XP_001630908.3		
N2.HOG0000051	OG0000052	n0	XP_020895757.1, XP_020895187.1, XP_020908132.1, XP_020907910.1, XP_020916886.2, XP_020913320.2, XP_028518535.1, XP_028518534.1, XP_020902948.1, XP_020912999.1, XP_028515440.1, XP_028515382.1, XP_028516775.1, XP_020907371.1, XP_028518488.1, XP_020900324.1, XP_020902946.1, XP_020902935.1, XP_028516837.1, XP_028514993.1, XP_020898592.1, XP_028514518.1, XP_028514514.1, XP_028514513.1, XP_020914514.1, XP_020895919.1, XP_020917670.2, XP_020907463.1, XP_020904994.2, XP_020911100.1, XP_028515639.1, XP_028516470.1, XP_020910861.1, XP_028514848.1, XP_020912122.1, XP_020899072.2, XP_020912958.1, XP_028517914.1, XP_020910102.2, XP_028516471.1, XP_020899791.2, XP_028514685.1, XP_028519140.1, XP_020898240.1			
N2.HOG0000052	OG0000053	n0	XP_020903072.1	XP_001627538.2		
N2.HOG0000053	OG0000054	n36	XP_020911923.1, XP_020908723.1, XP_020905899.2, XP_020911892.1, XP_028518526.1			
N2.HOG0000054	OG0000054	n41	XP_028518327.1			
N2.HOG0000055	OG0000057	n1	XP_020892237.1			
N2.HOG0000056	OG0000057	n6	XP_020898278.1, XP_020917690.2, XP_020898237.1, XP_028518537.1			
N2.HOG0000057	OG0000058	n0	XP_020901049.1	XP_032229548.2		
N2.HOG0000058	OG0000059	n0		XP_001639282.2		
N2.HOG0000059	OG0000060	n0	XP_020915808.1, XP_028519471.1, XP_028516565.1, XP_020900992.1, XP_020898247.1, XP_020917686.1, XP_028517652.1, XP_028513566.1, XP_020896601.2, XP_020912396.2, XP_020910869.1, XP_020898363.1, XP_020899425.2, XP_020917648.1, XP_020912395.1, XP_028517657.1, XP_020908558.1, XP_020899423.1, XP_020898365.1, XP_020915951.1, XP_020898364.1, XP_028514326.1, XP_020898367.1, XP_020898343.1, XP_020898682.1, XP_028519218.1, XP_028519772.1, XP_020907750.1, XP_020915953.1, XP_028512475.1, XP_020896315.1, XP_020896302.1, XP_020915780.1, XP_020902172.1, XP_020910759.1, XP_028515363.1, XP_020902182.2, XP_020902174.1, XP_020916878.1, XP_020910758.1, XP_028515007.1, XP_028512634.1			
N2.HOG0000060	OG0000061	n0	XP_028518578.1			
N2.HOG0000061	OG0000064	n1	XP_020909418.1, XP_020905080.1, XP_020917218.1, XP_020916850.1, XP_028514288.1, XP_020916851.1, XP_028514276.1, XP_028514285.1, XP_020917219.1, XP_028514297.1, XP_028513671.1, XP_020894420.1, XP_020894419.1	XP_032237816.2, XP_001621520.3, XP_001625504.3		
N2.HOG0000062	OG0000064	n36		XP_032230469.2		
N2.HOG0000063	OG0000067	n0	XP_020901313.2, XP_028517624.1, XP_020916327.1, XP_020892707.2, XP_020904387.2, XP_028515958.1, XP_028515949.1, XP_028516592.1, XP_020904368.2, XP_020904386.1, XP_020907418.1, XP_020901126.2, XP_020901132.1, XP_028516547.1, XP_028515948.1, XP_020906604.1, XP_028515947.1, XP_028512764.1, XP_020910039.2, XP_028512766.1, XP_028512763.1, XP_020906591.2, XP_028517403.1, XP_028517404.1, XP_028515308.1, XP_028514930.1, XP_020900723.1, XP_020909470.1, XP_028517405.1, XP_020909468.1, XP_020901995.2, XP_028517682.1, XP_028516591.1, XP_020907417.2, XP_028515950.1, XP_028515549.1, XP_020908951.2, XP_028512829.1, XP_020904409.2, XP_020901700.2			
N2.HOG0000064	OG0000068	n0	XP_020905046.1, XP_020907616.1, XP_020905047.1, XP_020911547.1, XP_020911548.1, XP_028518317.1, XP_020912629.1, XP_020915473.1, XP_020913398.1, XP_020893678.1, XP_020896600.1, XP_020913402.1, XP_028516107.1, XP_028518822.1, XP_020897544.2, XP_020900608.1, XP_020897407.1, XP_020910147.2, XP_020899469.1, XP_028515687.1, XP_020903309.1, XP_020903310.1, XP_028519201.1, XP_028517910.1, XP_028519146.1, XP_020915457.1, XP_028514939.1, XP_020903259.1, XP_020903263.1, XP_020916726.1, XP_020910161.1, XP_020898331.1, XP_020905605.1, XP_020900309.1, XP_020900288.1, XP_020900287.1, XP_020900286.1, XP_020912991.1, XP_020906340.1, XP_020906338.1			
N2.HOG0000065	OG0000069	n1	XP_028518134.1, XP_020910806.1, XP_020916532.1, XP_020906925.1, XP_020912512.1, XP_020904589.1			
N2.HOG0000066	OG0000069	n32	XP_020905629.1, XP_020905881.2, XP_028513436.1, XP_020915404.1, XP_020899018.1, XP_020907805.1, XP_020916362.1, XP_020911659.1			
N2.HOG0000067	OG0000072	n5	XP_020895817.1, XP_028516946.1	XP_048590369.1, XP_048575383.1		
N2.HOG0000068	OG0000072	n34	XP_020916515.2, XP_020892017.2, XP_028512557.1, XP_020907898.1			
N2.HOG0000069	OG0000073	n1		XP_032220880.2		
N2.HOG0000070	OG0000073	n2	XP_020901367.1	XP_032227996.1		
N2.HOG0000071	OG0000074	n0	XP_028518193.1			
N2.HOG0000072	OG0000078	n1		XP_048586668.1		
N2.HOG0000073	OG0000078	n18	XP_020897924.1, XP_028512638.1, XP_020914126.1, XP_020906911.1, XP_020914128.2, XP_020906907.1, XP_028517030.1, XP_020908228.1, XP_020892312.1, XP_020892311.1, XP_020900588.1, XP_020907501.1, XP_020906993.1	XP_001641937.3, XP_001641938.3, XP_001631095.2, XP_048580369.1, XP_001632831.3, XP_001632832.2		
N2.HOG0000074	OG0000078	n36	XP_020911045.1	XP_001639356.2		
N2.HOG0000075	OG0000079	n4	XP_020916218.1, XP_028518127.1, XP_020910066.1, XP_020905036.2, XP_028513360.1, XP_020914374.1, XP_028514697.1, XP_020907589.1, XP_028514699.1, XP_020907621.1, XP_028514159.1, XP_020909871.1, XP_020912547.1, XP_020896997.1, XP_020900778.1, XP_028515003.1, XP_028518245.1, XP_028519236.1, XP_028519237.1, XP_020900952.2, XP_028514671.1, XP_020893527.1, XP_028514937.1, XP_020893728.1, XP_028516893.1, XP_020895688.1			
N2.HOG0000076	OG0000079	n32	XP_028515311.1, XP_028518122.1, XP_020907268.1			
N2.HOG0000077	OG0000080	n1	XP_020897888.1	XP_001640356.1, XP_048575534.1, XP_001640351.1, XP_001632584.1		
N2.HOG0000078	OG0000080	n28	XP_020907333.1	XP_048575533.1		
N2.HOG0000079	OG0000080	n29	XP_020895988.1, XP_020916263.1, XP_020894115.1, XP_020896180.1, XP_020917549.1, XP_020893578.1, XP_020906584.1	XP_001630309.1		
N2.HOG0000080	OG0000080	n36		XP_032225152.1		
N2.HOG0000081	OG0000081	n0	XP_020893966.1	XP_032238230.2		
N2.HOG0000082	OG0000082	n4	XP_028515843.1, XP_020908377.1			
N2.HOG0000083	OG0000082	n13	XP_028516724.1			
N2.HOG0000084	OG0000082	n21	XP_028517251.1			
N2.HOG0000085	OG0000083	n0	XP_028516434.1			
N2.HOG0000086	OG0000085	n1	XP_020914090.1	XP_001630205.1		
N2.HOG0000087	OG0000085	n8	XP_020912545.1	XP_001626757.1, XP_001626758.1		
N2.HOG0000088	OG0000085	n11	XP_020914096.1	XP_001636868.1		
N2.HOG0000089	OG0000085	n12	XP_020914097.1	XP_048579528.1		
N2.HOG0000090	OG0000085	n17	XP_020896491.1	XP_001634541.2		
N2.HOG0000091	OG0000085	n20	XP_020903492.1	XP_032234685.1		
N2.HOG0000092	OG0000085	n24	XP_020911353.1			
N2.HOG0000093	OG0000085	n26	XP_020907443.1	XP_001637863.2		
N2.HOG0000094	OG0000085	n28	XP_020893194.1	XP_048580195.1, XP_001634538.3		
N2.HOG0000095	OG0000085	n32	XP_020895778.1	XP_001629668.1		
N2.HOG0000096	OG0000085	n33	XP_020914091.1	XP_032228524.1		
N2.HOG0000097	OG0000086	n0	XP_020895618.2	XP_048590096.1, XP_032224844.1, XP_048590293.1, XP_048590090.1, XP_048583761.1, XP_048584117.1, XP_001630664.3, XP_001624508.2, XP_048583740.1, XP_001636348.2, XP_032241916.1, XP_048576136.1, XP_032234403.2, XP_032235441.2, XP_032227926.1, XP_048580383.1, XP_048580384.1, XP_048576142.1, XP_001638568.2, XP_032226134.1, XP_048584087.1, XP_032226133.1, XP_048590526.1, XP_048590092.1, XP_048590095.1, XP_048590100.1, XP_001628274.2, XP_048583488.1, XP_001628259.2, XP_048583671.1, XP_048583799.1, XP_048590525.1, XP_048590101.1, XP_048583136.1, XP_048582472.1, XP_048582748.1		
N2.HOG0000098	OG0000088	n1	XP_020914552.1, XP_028518450.1, XP_028513092.1	XP_048576863.1, XP_032241700.2, XP_032238844.2		
N2.HOG0000099	OG0000088	n8	XP_020900995.1, XP_020902114.1, XP_020902155.2, XP_028515347.1, XP_020893402.2, XP_020893406.1, XP_020902122.1, XP_020902154.1, XP_020896482.1	XP_032243090.1		
N2.HOG0000100	OG0000089	n1	XP_020916224.1	XP_001623766.1		
N2.HOG0000101	OG0000089	n5	XP_020900503.1	XP_001640436.1		
N2.HOG0000102	OG0000089	n19	XP_020893576.1, XP_020916526.1			
N2.HOG0000103	OG0000089	n22	XP_020906581.1, XP_020899533.1, XP_020913117.1	XP_032238225.1		
N2.HOG0000104	OG0000089	n29		XP_001640345.1		
N2.HOG0000105	OG0000089	n30	XP_020917548.1	XP_001628765.1		
N2.HOG0000106	OG0000089	n31	XP_020917665.1			
N2.HOG0000107	OG0000089	n32	XP_020896922.1	XP_001639376.1		
N2.HOG0000108	OG0000089	n33		XP_032220181.1		
N2.HOG0000109	OG0000089	n34	XP_020906582.1	XP_001640469.1		
N2.HOG0000110	OG0000090	n5		XP_032236055.2		
N2.HOG0000111	OG0000090	n8	XP_020905107.1, XP_020894078.1, XP_028519091.1, XP_028518942.1, XP_020908130.2, XP_028516393.1	XP_032226582.1		
N2.HOG0000112	OG0000090	n16	XP_020912990.1, XP_028512978.1, XP_028517608.1, XP_020899465.1	XP_032240657.1, XP_032226675.2, XP_032226591.1, XP_032229314.1, XP_032234852.1, XP_032227850.1, XP_048583931.1, XP_032240658.2, XP_032227446.2, XP_032223068.2, XP_032241520.2, XP_048588358.1, XP_048584824.1, XP_032235990.1, XP_048588877.1		
N2.HOG0000113	OG0000094	n9	XP_020901284.1, XP_028519051.1	XP_032219552.1		
N2.HOG0000114	OG0000094	n20	XP_028515841.1	XP_032238256.1		
N2.HOG0000115	OG0000094	n27	XP_020917148.1			
N2.HOG0000116	OG0000094	n28	XP_020893485.1, XP_020894168.1, XP_028518069.1	XP_001629396.1		
N2.HOG0000117	OG0000094	n32	XP_028512507.1, XP_028519620.1	XP_032238574.1		
N2.HOG0000118	OG0000095	n13	XP_020895949.1	XP_032226970.1, XP_048577299.1		
N2.HOG0000119	OG0000095	n16	XP_028516200.1			
N2.HOG0000120	OG0000095	n17	XP_020914501.1			
N2.HOG0000121	OG0000095	n18		XP_048587702.1		
N2.HOG0000122	OG0000095	n19	XP_020897321.1			
N2.HOG0000123	OG0000095	n20	XP_028517300.1, XP_028518208.1, XP_020901607.1, XP_028519733.1, XP_020905319.1			
N2.HOG0000124	OG0000095	n25	XP_020908156.1	XP_048577095.1		
N2.HOG0000125	OG0000095	n28	XP_020908380.1, XP_028516457.1			
N2.HOG0000126	OG0000096	n0	XP_020903370.2	XP_048584327.1, XP_048586071.1, XP_048580231.1, XP_048576579.1, XP_048586813.1, XP_048581559.1, XP_048575637.1, XP_048584239.1, XP_048579077.1, XP_048575756.1, XP_048578502.1, XP_048575573.1, XP_048589255.1, XP_048576692.1, XP_048581736.1, XP_048575818.1, XP_048582245.1, XP_048583982.1, XP_048580835.1, XP_048575576.1, XP_048588040.1, XP_048589358.1, XP_048576868.1, XP_048576602.1, XP_048583469.1, XP_048580817.1, XP_048580471.1, XP_048577544.1, XP_048587500.1, XP_048579653.1, XP_048583069.1, XP_048585273.1, XP_032241217.2		
N2.HOG0000127	OG0000097	n4	XP_028515485.1			
N2.HOG0000128	OG0000097	n11	XP_028514515.1, XP_028513403.1			
N2.HOG0000129	OG0000097	n13	XP_020909917.1			
N2.HOG0000130	OG0000097	n14	XP_028518341.1, XP_028516288.1			
N2.HOG0000131	OG0000097	n17	XP_020916835.1	XP_048583486.1, XP_048589349.1		
N2.HOG0000132	OG0000097	n20	XP_020913704.2, XP_020912962.1			
N2.HOG0000133	OG0000097	n24		XP_048583326.1, XP_048588223.1, XP_048576918.1, XP_048584314.1, XP_048578639.1, XP_048584432.1, XP_048587411.1, XP_048580720.1		
N2.HOG0000134	OG0000102	n3	XP_020894114.1, XP_020907937.1, XP_020896925.1	XP_032241030.1		
N2.HOG0000135	OG0000102	n7		XP_048575513.1, XP_001618166.3, XP_048575516.1, XP_001617661.1, XP_001619732.1, XP_001622883.1, XP_048575515.1, XP_001619042.1, XP_048575510.1, XP_048575514.1, XP_048575512.1, XP_048575511.1, XP_048575519.1, XP_048575517.1, XP_048575518.1, XP_048575522.1, XP_048575521.1, XP_048575523.1, XP_048575526.1, XP_048575520.1, XP_048575524.1, XP_048575525.1, XP_001617561.3, XP_001619031.1, XP_001620466.2		
N2.HOG0000136	OG0000103	n0	XP_020910854.2	XP_048590348.1, XP_048590349.1		
N2.HOG0000137	OG0000104	n0	XP_028518353.1	XP_048582129.1		
N2.HOG0000138	OG0000106	n2		XP_048579014.1, XP_032226700.2, XP_048579708.1		
N2.HOG0000139	OG0000106	n5		XP_048585746.1, XP_048581568.1		
N2.HOG0000140	OG0000106	n11		XP_048583973.1, XP_048583853.1		
N2.HOG0000141	OG0000106	n15		XP_048579706.1, XP_048579709.1, XP_048588347.1, XP_048579704.1, XP_048579707.1		
N2.HOG0000142	OG0000106	n20	XP_028515930.1	XP_048589564.1, XP_048584301.1, XP_048589043.1, XP_048579365.1, XP_048579055.1, XP_048579701.1, XP_048579700.1, XP_048588346.1, XP_048583971.1, XP_048579113.1		
N2.HOG0000143	OG0000106	n30	XP_028512605.1, XP_020900646.1	XP_048581689.1		
N2.HOG0000144	OG0000107	n0		XP_048579027.1, XP_048579134.1, XP_048584192.1, XP_048576893.1, XP_048585053.1, XP_048585125.1, XP_048585075.1, XP_048586699.1, XP_048585104.1, XP_048585098.1, XP_048585113.1, XP_048579149.1, XP_048583280.1, XP_048589434.1, XP_048586112.1, XP_048585327.1, XP_048583279.1, XP_048586110.1, XP_048584167.1, XP_048584193.1, XP_048584203.1, XP_048583095.1, XP_048577426.1, XP_048583278.1, XP_048582666.1, XP_048585324.1, XP_048588758.1, XP_048579135.1, XP_048585325.1, XP_048585323.1, XP_048577425.1, XP_048585326.1, XP_048586111.1		
N2.HOG0000145	OG0000112	n0	XP_020903005.1, XP_020903030.1, XP_020903006.1, XP_020913419.1, XP_028517579.1, XP_028517801.1, XP_020903170.1, XP_020903169.2, XP_028515633.1, XP_020903168.2, XP_020913234.1, XP_020913325.1, XP_020905071.1, XP_020911554.1, XP_020895697.1, XP_028515055.1, XP_028519242.1, XP_028513018.1, XP_028514877.1, XP_020893435.1, XP_020916444.1, XP_020916167.1, XP_020896560.1, XP_020905040.1, XP_020904080.1, XP_020895714.1, XP_028518602.1, XP_020913417.1, XP_028518688.1, XP_020913695.1, XP_020913696.1, XP_020913697.1			
N2.HOG0000146	OG0000113	n9	XP_028518067.1, XP_028514453.1, XP_028517294.1, XP_020913752.2, XP_028514356.1, XP_020905008.1, XP_028518328.1, XP_028516967.1			
N2.HOG0000147	OG0000113	n17	XP_028512973.1, XP_028518343.1			
N2.HOG0000148	OG0000113	n19	XP_028519078.1	XP_048587654.1, XP_032228870.1		
N2.HOG0000149	OG0000113	n22	XP_028516108.1	XP_048588307.1		
N2.HOG0000150	OG0000113	n23	XP_020894700.1, XP_028518740.1	XP_048586205.1		
N2.HOG0000151	OG0000113	n25	XP_028519464.1, XP_020897343.1			
N2.HOG0000152	OG0000113	n26	XP_028516976.1, XP_028518738.1, XP_028514323.1, XP_028518355.1	XP_048589833.1, XP_048583718.1		
N2.HOG0000153	OG0000114	n3	XP_020897506.1, XP_020897508.1, XP_028514066.1, XP_028514063.1, XP_020897520.1, XP_020897507.1, XP_028514064.1, XP_020897511.1			
N2.HOG0000154	OG0000114	n11	XP_020912161.2, XP_028512637.1, XP_020907427.1			
N2.HOG0000155	OG0000114	n14	XP_020915810.1, XP_028512629.1, XP_020897512.1, XP_020901638.1, XP_020916805.2			
N2.HOG0000156	OG0000114	n19	XP_028513028.1			
N2.HOG0000157	OG0000114	n27	XP_020915790.1	XP_048581886.1		
N2.HOG0000158	OG0000114	n28	XP_028512950.1	XP_032235722.1		
N2.HOG0000159	OG0000114	n29	XP_028514676.1	XP_048586207.1, XP_048582750.1		
N2.HOG0000160	OG0000115	n9		XP_048581275.1		
N2.HOG0000161	OG0000115	n13	XP_020912349.1	XP_048581279.1		
N2.HOG0000162	OG0000115	n14	XP_020912346.1, XP_020914506.1, XP_020916607.1, XP_020912345.1, XP_020916604.1, XP_020897608.2, XP_028518523.1, XP_020916605.1, XP_020908675.1, XP_020913137.1, XP_020912347.1, XP_020913140.2, XP_020914505.1			
N2.HOG0000163	OG0000116	n1		XP_048579254.1		
N2.HOG0000164	OG0000116	n2		XP_048577300.1, XP_048577295.1, XP_048578208.1, XP_048578219.1, XP_048578192.1, XP_048578198.1, XP_048578203.1, XP_048578206.1, XP_032228321.1, XP_048578200.1, XP_048578196.1, XP_048578194.1, XP_048578214.1, XP_048578010.1, XP_048577285.1, XP_001624668.2, XP_048577289.1, XP_048577287.1, XP_048577564.1, XP_048578181.1, XP_048578176.1, XP_048578185.1, XP_048578188.1, XP_048578217.1, XP_048578080.1, XP_048577282.1, XP_048577411.1, XP_032238173.2, XP_048577283.1		
N2.HOG0000165	OG0000117	n0		XP_048588474.1		
