Orthogroup	spis_longest_isoform_marker	nvec_longest_isoform
OG0000072	XP_022778808.1, XP_022805254.1, XP_022809655.1, XP_022808270.1, XP_022777554.1, XP_022777538.1, XP_022809654.1, XP_022810163.1, XP_022809755.1, XP_022808269.1, XP_022791044.1, XP_022791056.1, XP_022809237.1, XP_022777891.1, XP_022809236.1, XP_022777552.1, XP_022803942.1, XP_022803806.1, XP_022791054.1, XP_022809754.1, XP_022791051.1, XP_022787961.1, XP_022809653.1, XP_022806849.1, XP_022778061.1, XP_022777726.1	XP_048590369.1, XP_048575383.1
OG0000073	XP_022790818.1	XP_032227996.1
OG0000078	XP_022806521.1, XP_022778894.1, XP_022805749.1	XP_048586668.1
OG0000078	XP_022779885.1, XP_022779887.1, XP_022806707.1, XP_022793695.1, XP_022793741.1, XP_022806709.1, XP_022793697.1, XP_022806715.1, XP_022793738.1, XP_022793739.1, XP_022809553.1, XP_022797356.1, XP_022797380.1	XP_001641937.3, XP_001641938.3, XP_001631095.2, XP_048580369.1, XP_001632831.3, XP_001632832.2, XP_001639356.2
OG0000080	XP_022782075.1	XP_001618259.1, XP_032232854.1, XP_048575529.1, XP_032232069.1, XP_032237531.1, XP_001619029.1, XP_032224817.2, XP_001640459.1, XP_048575532.1, XP_001618258.1, XP_001638523.1, XP_032238441.1, XP_048575530.1, XP_001640480.1, XP_048575531.1, XP_001630070.2, XP_048575533.1, XP_001630309.1
OG0000081	XP_022805473.1, XP_022780723.1	XP_032238230.2
OG0000085	XP_022794467.1, XP_022794466.1	XP_001630205.1
OG0000085	XP_022788684.1	XP_001626757.1, XP_001626758.1, XP_001636868.1, XP_048579528.1
OG0000085	XP_022788721.1	XP_001634541.2
OG0000085	XP_022798161.1	XP_032234685.1
OG0000085	XP_022788486.1	XP_001637863.2
OG0000085	XP_022806989.1, XP_022806994.1	XP_048580195.1, XP_001634538.3
OG0000085	XP_022801858.1	XP_032228524.1
OG0000088	XP_022809557.1	XP_048576863.1, XP_032241700.2, XP_032238844.2
OG0000088	XP_022806470.1, XP_022806473.1, XP_022806474.1, XP_022806471.1, XP_022777572.1, XP_022805104.1, XP_022781166.1, XP_022805659.1, XP_022805663.1	XP_032243090.1
OG0000089	XP_022795472.1	XP_001623766.1
OG0000089	XP_022784137.1	XP_001640436.1
OG0000089	XP_022792400.1, XP_022808491.1	XP_032238225.1
OG0000089	XP_022803377.1	XP_001640345.1
OG0000089	XP_022792399.1	XP_032220181.1
OG0000090	XP_022807361.1, XP_022779371.1, XP_022798386.1	XP_032236055.2
OG0000090	XP_022787930.1, XP_022777519.1	XP_032226582.1
OG0000090	XP_022810589.1	XP_032240657.1, XP_032226675.2, XP_032226591.1, XP_032229314.1, XP_032234852.1, XP_032227850.1, XP_048583931.1, XP_032240658.2, XP_032227446.2, XP_032223068.2, XP_032241520.2, XP_048588358.1, XP_048584824.1, XP_032235990.1, XP_048588877.1
OG0000094	XP_022806735.1, XP_022785410.1, XP_022787043.1	XP_032219552.1
OG0000094	XP_022808859.1, XP_022796427.1, XP_022782897.1, XP_022789755.1, XP_022800310.1, XP_022786263.1	XP_032238256.1
OG0000094	XP_022795149.1	XP_001629396.1
OG0000095	XP_022796432.1	XP_032226970.1, XP_048577299.1
OG0000095	XP_022778282.1	XP_048587702.1
OG0000095	XP_022784619.1	XP_048577095.1
OG0000095	XP_022807277.1, XP_022809213.1, XP_022790233.1	XP_048589971.1
OG0000096	XP_022796783.1	XP_048584327.1, XP_048586071.1, XP_048580231.1, XP_048576579.1, XP_048586813.1, XP_048581559.1, XP_048575637.1, XP_048584239.1, XP_048579077.1, XP_048575756.1, XP_048578502.1, XP_048575573.1, XP_048589255.1, XP_048576692.1, XP_048581736.1, XP_048575818.1, XP_048582245.1, XP_048583982.1, XP_048580835.1, XP_048575576.1, XP_048588040.1, XP_048589358.1, XP_048576868.1, XP_048576602.1, XP_048583469.1, XP_048580817.1, XP_048580471.1, XP_048577544.1, XP_048587500.1, XP_048579653.1, XP_048583069.1, XP_048585273.1, XP_032241217.2
OG0000097	XP_022809877.1, XP_022808934.1, XP_022787476.1	XP_048583326.1, XP_048588223.1, XP_048576918.1, XP_048584314.1, XP_048578639.1, XP_048584432.1, XP_048587411.1, XP_048580720.1
OG0000102	XP_022801281.1	XP_032241030.1
OG0000102	XP_022792397.1, XP_022792396.1	XP_048575513.1, XP_001618166.3, XP_048575516.1, XP_001617661.1, XP_001619732.1, XP_001622883.1, XP_048575515.1, XP_001619042.1, XP_048575510.1, XP_048575514.1, XP_048575512.1, XP_048575511.1, XP_048575519.1, XP_048575517.1, XP_048575518.1, XP_048575522.1, XP_048575521.1, XP_048575523.1, XP_048575526.1, XP_048575520.1, XP_048575524.1, XP_048575525.1, XP_001617561.3, XP_001619031.1, XP_001620466.2
OG0000103	XP_022806813.1, XP_022806810.1, XP_022806808.1, XP_022806825.1, XP_022806807.1, XP_022806806.1, XP_022778933.1, XP_022778509.1, XP_022778954.1, XP_022780973.1, XP_022809032.1, XP_022806968.1, XP_022807693.1, XP_022802107.1, XP_022807312.1, XP_022807311.1, XP_022802113.1, XP_022780924.1, XP_022800873.1, XP_022780936.1, XP_022781622.1, XP_022781603.1, XP_022792717.1, XP_022806015.1, XP_022806017.1, XP_022778136.1, XP_022805713.1, XP_022806014.1, XP_022781606.1, XP_022781621.1, XP_022792736.1	XP_048590348.1, XP_048590349.1
OG0000104	XP_022810321.1, XP_022793268.1, XP_022808975.1	XP_048582129.1
OG0000106	XP_022790797.1	XP_048579014.1, XP_032226700.2, XP_048579708.1, XP_048585746.1, XP_048581568.1, XP_048584302.1, XP_048579115.1, XP_048575932.1, XP_048581679.1, XP_048583973.1, XP_048583853.1, XP_048579322.1, XP_032226631.1, XP_048579706.1, XP_048579709.1, XP_048588347.1, XP_048579704.1, XP_048579707.1, XP_048589564.1, XP_048584301.1, XP_048589043.1, XP_048579365.1, XP_048579055.1, XP_048579701.1, XP_048579700.1, XP_048588346.1, XP_048583971.1, XP_048579113.1, XP_048581689.1
OG0000113	XP_022777782.1	XP_048587654.1, XP_032228870.1, XP_048588307.1, XP_048586205.1, XP_048589833.1, XP_048583718.1
OG0000114	XP_022779679.1	XP_048581886.1, XP_032235722.1, XP_048586207.1, XP_048582750.1
OG0000115	XP_022790071.1, XP_022790073.1, XP_022790076.1	XP_048581275.1
OG0000117	XP_022784578.1, XP_022807125.1, XP_022800886.1, XP_022809632.1, XP_022807334.1, XP_022807335.1, XP_022800743.1, XP_022800874.1, XP_022809633.1, XP_022777667.1, XP_022793085.1, XP_022809631.1, XP_022807116.1, XP_022777510.1, XP_022793077.1, XP_022809634.1, XP_022809629.1, XP_022800742.1, XP_022808788.1, XP_022796407.1, XP_022809440.1, XP_022800042.1, XP_022802711.1, XP_022793681.1, XP_022806729.1, XP_022793280.1, XP_022793673.1, XP_022803126.1, XP_022803127.1, XP_022793689.1, XP_022793275.1	XP_048588474.1
OG0000127	XP_022777903.1, XP_022777599.1, XP_022777514.1, XP_022800883.1, XP_022784275.1, XP_022795035.1, XP_022799901.1, XP_022809457.1, XP_022777882.1, XP_022802285.1, XP_022808012.1, XP_022807622.1, XP_022794378.1, XP_022777982.1, XP_022783261.1, XP_022800154.1, XP_022810632.1, XP_022798021.1, XP_022799891.1, XP_022795526.1, XP_022784021.1, XP_022809736.1, XP_022777425.1, XP_022789515.1, XP_022809570.1	XP_048588392.1
OG0000127	XP_022784290.1	XP_032231638.1, XP_048590202.1
OG0000134	XP_022804524.1, XP_022805387.1	XP_032229984.2
OG0000135	XP_022809147.1	XP_001626407.3
OG0000135	XP_022801335.1, XP_022805995.1, XP_022799386.1, XP_022795977.1, XP_022803082.1, XP_022803084.1, XP_022803073.1, XP_022808738.1, XP_022800128.1, XP_022809907.1, XP_022803039.1, XP_022808737.1, XP_022795988.1, XP_022799407.1, XP_022803074.1, XP_022803080.1, XP_022803081.1, XP_022803040.1, XP_022808870.1, XP_022803038.1, XP_022803036.1, XP_022799056.1, XP_022799073.1, XP_022799053.1, XP_022801334.1, XP_022803075.1	XP_001619847.2
OG0000137	XP_022790558.1, XP_022796475.1	XP_001626634.3
OG0000140	XP_022795883.1	XP_048577480.1, XP_032219423.2
OG0000140	XP_022804219.1	XP_048586192.1
OG0000150	XP_022807316.1, XP_022785191.1, XP_022778296.1, XP_022779083.1, XP_022779170.1, XP_022800381.1, XP_022798827.1	XP_032231438.2, XP_032233701.2, XP_001631296.3, XP_048588537.1, XP_048588345.1
OG0000152	XP_022805962.1, XP_022805958.1	XP_001631485.3
OG0000152	XP_022797344.1	XP_048575382.1
OG0000162	XP_022804700.1, XP_022804701.1	XP_032235644.2
OG0000163	XP_022792261.1	XP_032220365.2
OG0000163	XP_022800549.1	XP_001633192.1
OG0000163	XP_022787375.1	XP_048586491.1
OG0000163	XP_022787683.1, XP_022806390.1, XP_022798127.1	XP_048582846.1
OG0000163	XP_022787235.1	XP_032219169.2
OG0000163	XP_022802271.1, XP_022805913.1	XP_032221219.2
OG0000164	XP_022779081.1	XP_048588070.1
OG0000164	XP_022805424.1	XP_001640303.2
OG0000164	XP_022781487.1	XP_001623512.2
OG0000164	XP_022802074.1	XP_032220434.2
OG0000164	XP_022780400.1	XP_048583999.1
OG0000164	XP_022780423.1, XP_022780354.1	XP_001637706.3, XP_048584057.1
OG0000165	XP_022786570.1	XP_048587973.1, XP_032237984.2, XP_048587974.1
OG0000165	XP_022807096.1, XP_022807095.1, XP_022807101.1, XP_022804303.1, XP_022804319.1, XP_022807100.1, XP_022807103.1	XP_048583480.1, XP_032218166.2
OG0000167	XP_022810602.1, XP_022805493.1, XP_022778859.1, XP_022805494.1, XP_022777958.1, XP_022800150.1, XP_022810022.1	XP_001640494.1
OG0000170	XP_022786114.1	XP_032235111.2, XP_048579142.1, XP_001636151.1
OG0000170	XP_022789830.1, XP_022801488.1, XP_022802884.1, XP_022809296.1, XP_022808686.1, XP_022809290.1, XP_022787698.1, XP_022787697.1, XP_022802879.1, XP_022809289.1, XP_022810556.1, XP_022802878.1, XP_022809295.1, XP_022810558.1, XP_022802890.1, XP_022806074.1, XP_022783916.1, XP_022783946.1, XP_022793438.1, XP_022805629.1, XP_022793468.1	XP_032218507.2
OG0000174	XP_022808177.1, XP_022803789.1, XP_022804265.1, XP_022795686.1, XP_022789245.1	XP_048587454.1, XP_048576611.1, XP_048576612.1, XP_048576613.1, XP_048586637.1
OG0000174	XP_022797183.1, XP_022794460.1, XP_022794443.1, XP_022784079.1	XP_032228291.1
OG0000174	XP_022802712.1	XP_048581982.1, XP_048576221.1, XP_048577802.1, XP_048583212.1, XP_048583125.1, XP_048589471.1
OG0000181	XP_022786586.1	XP_001638956.3
OG0000181	XP_022786608.1, XP_022786602.1, XP_022804399.1, XP_022786603.1	XP_048588401.1, XP_048582912.1, XP_048588343.1
OG0000181	XP_022798188.1	XP_048580978.1
OG0000182	XP_022782843.1, XP_022780837.1	XP_032223360.1
OG0000182	XP_022785496.1, XP_022805553.1, XP_022805547.1, XP_022805546.1, XP_022786417.1, XP_022805540.1, XP_022790532.1, XP_022805538.1	XP_048579162.1, XP_032229666.2
OG0000183	XP_022810260.1, XP_022797601.1, XP_022797609.1, XP_022797607.1, XP_022797596.1, XP_022780308.1, XP_022802838.1, XP_022796855.1, XP_022809129.1, XP_022809128.1, XP_022797594.1, XP_022790983.1, XP_022802852.1, XP_022790982.1, XP_022796818.1, XP_022796841.1	XP_048576535.1
OG0000185	XP_022796378.1, XP_022779598.1, XP_022808726.1, XP_022808447.1, XP_022804383.1, XP_022804379.1, XP_022798314.1, XP_022806790.1, XP_022778053.1, XP_022806777.1, XP_022808724.1, XP_022806948.1, XP_022806801.1, XP_022806811.1, XP_022794344.1, XP_022808728.1, XP_022806199.1, XP_022785405.1	XP_048586335.1, XP_048578936.1, XP_032228947.2
OG0000187	XP_022805427.1, XP_022802882.1, XP_022802853.1, XP_022807358.1, XP_022780312.1, XP_022785161.1, XP_022778459.1, XP_022785164.1, XP_022800003.1, XP_022799999.1, XP_022777616.1, XP_022795531.1, XP_022779183.1, XP_022806183.1, XP_022806080.1, XP_022806078.1, XP_022806085.1, XP_022802875.1, XP_022806084.1, XP_022806081.1, XP_022802886.1, XP_022780264.1, XP_022806088.1, XP_022806087.1, XP_022800019.1	XP_048578165.1
OG0000196	XP_022800953.1, XP_022800944.1	XP_048590066.1
OG0000198	XP_022778663.1	XP_048580434.1
OG0000199	XP_022799240.1	XP_001634790.2
OG0000202	XP_022808995.1, XP_022777479.1, XP_022793023.1, XP_022808925.1, XP_022777477.1, XP_022808998.1, XP_022778006.1, XP_022799677.1, XP_022808926.1, XP_022810276.1, XP_022808994.1, XP_022808892.1, XP_022777435.1, XP_022777427.1, XP_022799693.1, XP_022777691.1, XP_022808928.1, XP_022808997.1, XP_022777508.1, XP_022808785.1	XP_032232383.2, XP_048586416.1
OG0000216	XP_022810263.1	XP_048580105.1
OG0000216	XP_022800783.1, XP_022803109.1	XP_048583608.1
OG0000216	XP_022777752.1	XP_048588591.1, XP_048587356.1, XP_048587749.1, XP_048577718.1, XP_048582201.1
OG0000217	XP_022782755.1, XP_022806073.1	XP_048579336.1
OG0000219	XP_022784029.1	XP_032238044.2
OG0000222	XP_022790904.1, XP_022810078.1, XP_022810079.1, XP_022810080.1, XP_022807906.1, XP_022790898.1, XP_022784741.1	XP_048590404.1, XP_001638430.1
OG0000222	XP_022808225.1, XP_022805346.1	XP_048576419.1, XP_048576401.1
OG0000224	XP_022808251.1	XP_048587220.1
OG0000224	XP_022794080.1, XP_022794049.1, XP_022793899.1	XP_032220088.2
OG0000225	XP_022802973.1	XP_048575891.1
OG0000226	XP_022793769.1	XP_032240735.2
OG0000235	XP_022794450.1	XP_001622151.1
OG0000235	XP_022800054.1, XP_022800037.1, XP_022801467.1, XP_022800049.1, XP_022784612.1	XP_001636833.2
OG0000235	XP_022790813.1	XP_032220755.1
OG0000236	XP_022797473.1, XP_022797495.1	XP_032218877.1
OG0000236	XP_022797489.1	XP_048587822.1
OG0000236	XP_022797466.1	XP_048587847.1
OG0000236	XP_022797484.1	XP_032239920.2
OG0000236	XP_022783965.1, XP_022783943.1	XP_032235763.1, XP_032235733.1
OG0000238	XP_022800754.1, XP_022806469.1	XP_048580448.1
OG0000239	XP_022789324.1	XP_048588638.1, XP_048576978.1, XP_032219840.1, XP_048581370.1, XP_048581373.1
OG0000240	XP_022803019.1, XP_022785184.1, XP_022806155.1, XP_022792206.1, XP_022785751.1, XP_022796425.1, XP_022802241.1, XP_022802242.1, XP_022780950.1, XP_022796292.1, XP_022785093.1	XP_032225355.2, XP_048583324.1, XP_048577012.1, XP_032241547.2, XP_048589702.1, XP_048584427.1, XP_048582953.1, XP_048584485.1
OG0000241	XP_022804811.1, XP_022791126.1, XP_022779000.1, XP_022779443.1, XP_022804447.1, XP_022809935.1, XP_022809685.1, XP_022781218.1, XP_022777784.1	XP_048585435.1
OG0000241	XP_022781217.1, XP_022808889.1, XP_022777761.1	XP_048585434.1
OG0000241	XP_022789290.1	XP_048580703.1
OG0000242	XP_022781355.1	XP_032235309.2
OG0000244	XP_022800753.1, XP_022806743.1	XP_048580481.1
OG0000256	XP_022783890.1, XP_022783952.1	XP_032232807.1, XP_048590106.1
OG0000256	XP_022783886.1	XP_048577985.1
OG0000256	XP_022803837.1	XP_032223461.1, XP_032230428.1
OG0000257	XP_022804273.1	XP_001640346.1, XP_001640367.1, XP_001619715.1, XP_048576880.1, XP_032232850.1, XP_032238438.1, XP_032225150.1, XP_001622257.2, XP_001638460.2, XP_032237529.2
OG0000259	XP_022789485.1, XP_022789480.1, XP_022789508.1, XP_022792237.1, XP_022792221.1, XP_022805036.1, XP_022803158.1, XP_022792235.1, XP_022789481.1, XP_022803157.1, XP_022789484.1	XP_048578368.1, XP_048578597.1
OG0000260	XP_022784683.1	XP_001629173.1, XP_048584459.1
OG0000261	XP_022779497.1, XP_022779499.1, XP_022779498.1	XP_001632008.1
OG0000261	XP_022779496.1	XP_048576882.1
OG0000261	XP_022793293.1	XP_001636043.1
OG0000262	XP_022807310.1, XP_022777562.1, XP_022778358.1, XP_022810445.1, XP_022777564.1, XP_022810442.1, XP_022778817.1, XP_022777578.1, XP_022810160.1, XP_022810443.1, XP_022806845.1, XP_022806846.1, XP_022786226.1, XP_022778522.1	XP_032229313.2, XP_048586682.1
OG0000262	XP_022778106.1	XP_001625906.3
OG0000263	XP_022809346.1	XP_048589886.1
OG0000263	XP_022794374.1	XP_048590127.1, XP_048589984.1
OG0000264	XP_022781608.1	XP_048588382.1, XP_048588381.1, XP_048579042.1, XP_048579043.1, XP_048583847.1, XP_048583485.1, XP_032238885.2, XP_048577296.1, XP_048581405.1, XP_048583266.1
OG0000264	XP_022808392.1, XP_022777822.1, XP_022797407.1, XP_022808553.1	XP_048585312.1, XP_048582217.1, XP_048577856.1, XP_048588893.1, XP_048587295.1
OG0000265	XP_022808154.1	XP_001635917.3
OG0000265	XP_022799392.1, XP_022800134.1	XP_001640250.3
OG0000265	XP_022798564.1	XP_048587487.1
OG0000265	XP_022810282.1, XP_022796921.1, XP_022810283.1	XP_048581533.1, XP_048581531.1, XP_048581534.1, XP_048580699.1
OG0000266	XP_022785358.1, XP_022782308.1, XP_022782410.1	XP_048576640.1, XP_032223642.2
OG0000273	XP_022797793.1, XP_022807362.1, XP_022777518.1, XP_022807809.1, XP_022780490.1, XP_022786247.1	XP_032226592.2, XP_032234851.1, XP_048588389.1, XP_048589481.1, XP_048583930.1, XP_048583960.1, XP_032235740.2, XP_048588870.1
OG0000274	XP_022807107.1	XP_001639806.1
OG0000274	XP_022798349.1, XP_022798350.1, XP_022800254.1	XP_001640893.3, XP_001640891.2, XP_048586574.1
OG0000276	XP_022796349.1	XP_032238799.2
OG0000276	XP_022796356.1	XP_032233196.2
OG0000276	XP_022804074.1	XP_032238546.1
OG0000277	XP_022804923.1, XP_022805919.1, XP_022805927.1, XP_022805930.1	XP_048577682.1, XP_048577671.1, XP_048577678.1, XP_048577681.1, XP_048577674.1
OG0000278	XP_022786418.1, XP_022788128.1, XP_022783273.1, XP_022806486.1, XP_022808778.1, XP_022797622.1	XP_048589970.1
OG0000278	XP_022808640.1, XP_022807326.1	XP_048582656.1
OG0000278	XP_022803016.1, XP_022809728.1, XP_022797033.1	XP_032233880.1, XP_048587489.1
OG0000279	XP_022802349.1, XP_022802335.1, XP_022802347.1, XP_022802341.1, XP_022808138.1, XP_022802337.1, XP_022808139.1, XP_022802348.1, XP_022802338.1, XP_022808133.1, XP_022808131.1, XP_022808130.1, XP_022782520.1	XP_032221057.1
OG0000280	XP_022805148.1, XP_022780505.1, XP_022803018.1	XP_048587737.1, XP_048577021.1, XP_032225162.2, XP_048577010.1, XP_048578034.1, XP_048586408.1, XP_048578270.1, XP_048577011.1
OG0000280	XP_022790440.1	XP_032235493.1, XP_048583530.1, XP_048577020.1
OG0000281	XP_022787432.1	XP_032237160.1, XP_001635316.2, XP_001625497.2
OG0000282	XP_022781541.1	XP_048577816.1
OG0000294	XP_022794420.1	XP_048579829.1
OG0000294	XP_022780033.1	XP_001630583.1, XP_032239984.1, XP_001630039.1
OG0000299	XP_022800752.1, XP_022804977.1	XP_048584711.1
OG0000299	XP_022778082.1	XP_048590532.1
OG0000299	XP_022784519.1	XP_048585989.1
OG0000301	XP_022777516.1	XP_001639867.2, XP_032242825.2, XP_048580479.1
OG0000302	XP_022802399.1, XP_022803920.1	XP_048576561.1, XP_048576559.1, XP_032231190.1
OG0000303	XP_022791880.1	XP_032240168.1, XP_032240167.1
OG0000303	XP_022798144.1, XP_022798142.1	XP_048584679.1, XP_032243163.2
OG0000305	XP_022797123.1	XP_032223292.2
OG0000305	XP_022808301.1, XP_022777457.1, XP_022777889.1, XP_022802122.1, XP_022799077.1, XP_022777888.1, XP_022801898.1, XP_022799057.1, XP_022777456.1, XP_022802982.1, XP_022805686.1, XP_022777890.1	XP_032234662.1, XP_032220973.1, XP_048584930.1
OG0000306	XP_022789967.1	XP_032236954.2, XP_032227459.2, XP_032227807.2, XP_048579824.1
OG0000306	XP_022807955.1, XP_022778077.1, XP_022807956.1, XP_022799325.1, XP_022807952.1, XP_022810399.1, XP_022794383.1, XP_022777722.1, XP_022794411.1, XP_022794382.1, XP_022777721.1	XP_048586482.1
OG0000312	XP_022788302.1, XP_022778462.1, XP_022780898.1, XP_022780897.1	XP_048582594.1, XP_048588913.1, XP_048575583.1, XP_032225581.2, XP_048581710.1, XP_048576532.1, XP_048589863.1, XP_032229407.1, XP_048581000.1, XP_048589878.1, XP_048580271.1, XP_048590042.1, XP_048576167.1, XP_048588387.1, XP_048587653.1, XP_048577719.1
OG0000326	XP_022787775.1, XP_022791110.1, XP_022807473.1	XP_001633623.3
OG0000326	XP_022807468.1, XP_022791119.1, XP_022787724.1	XP_048576482.1
OG0000329	XP_022778081.1	XP_032227723.2
OG0000331	XP_022805183.1	XP_001630453.1
OG0000331	XP_022785353.1	XP_001634642.1
