Orthogroup	spis_longest_isoform_marker	xenia_longest_isoforms
OG0000015	XP_022784276.1, XP_022778220.1, XP_022791932.1	Xe_027789-T1
OG0000018	XP_022778163.1	Xe_024161-T1
OG0000018	XP_022801177.1, XP_022810222.1, XP_022778637.1, XP_022810223.1, XP_022808388.1, XP_022778819.1, XP_022777826.1, XP_022777613.1, XP_022777694.1, XP_022777875.1, XP_022808810.1, XP_022809201.1, XP_022809205.1, XP_022805410.1, XP_022808360.1, XP_022809472.1, XP_022809639.1, XP_022808363.1, XP_022801208.1, XP_022808361.1, XP_022807919.1, XP_022809266.1, XP_022786307.1, XP_022809265.1, XP_022801209.1, XP_022801242.1, XP_022806583.1, XP_022807757.1, XP_022810315.1, XP_022808739.1, XP_022805933.1, XP_022801210.1, XP_022807921.1, XP_022807756.1, XP_022808362.1	Xe_024121-T1, Xe_024337-T1, Xe_024359-T1, Xe_024142-T1, Xe_024105-T1, Xe_024390-T1, Xe_024376-T1, Xe_024122-T1, Xe_024150-T1, Xe_024364-T1, Xe_024139-T1, Xe_024399-T1, Xe_024336-T1, Xe_024133-T1, Xe_024298-T1, Xe_024194-T1, Xe_024116-T1, Xe_024160-T1, Xe_024106-T1, Xe_024163-T1, Xe_024361-T1, Xe_024171-T1, Xe_024385-T1
OG0000018	XP_022805413.1, XP_022784116.1	Xe_001962-T1
OG0000020	XP_022778885.1, XP_022795107.1, XP_022795225.1, XP_022808000.1, XP_022778242.1, XP_022778534.1, XP_022777770.1, XP_022789061.1, XP_022795108.1, XP_022802525.1, XP_022798568.1, XP_022787623.1, XP_022787576.1, XP_022807163.1, XP_022778083.1, XP_022806930.1, XP_022778862.1, XP_022778353.1, XP_022809668.1, XP_022790393.1, XP_022778856.1, XP_022798954.1, XP_022777774.1, XP_022787615.1, XP_022787620.1, XP_022809095.1, XP_022799779.1, XP_022807939.1, XP_022789300.1, XP_022807937.1, XP_022787575.1, XP_022795109.1, XP_022787614.1, XP_022787621.1, XP_022808213.1, XP_022799415.1, XP_022779219.1, XP_022791970.1, XP_022797219.1, XP_022804965.1, XP_022809559.1, XP_022784317.1, XP_022809897.1, XP_022789568.1, XP_022808949.1, XP_022808912.1, XP_022808900.1, XP_022809967.1, XP_022792365.1, XP_022803022.1, XP_022790431.1, XP_022806091.1, XP_022794269.1, XP_022799597.1, XP_022807167.1, XP_022807065.1, XP_022795054.1, XP_022807186.1, XP_022777935.1, XP_022777735.1, XP_022802204.1, XP_022802498.1, XP_022805634.1, XP_022789049.1, XP_022791369.1, XP_022779208.1	Xe_014937-T1
OG0000029	XP_022777551.1, XP_022797811.1, XP_022790310.1, XP_022808045.1, XP_022808048.1, XP_022808043.1, XP_022799048.1, XP_022810564.1, XP_022809821.1, XP_022808257.1, XP_022791160.1, XP_022791158.1, XP_022791408.1, XP_022793202.1, XP_022793200.1, XP_022787435.1, XP_022808046.1, XP_022805568.1, XP_022804046.1, XP_022801427.1, XP_022810563.1, XP_022806740.1, XP_022806741.1, XP_022804035.1, XP_022777664.1, XP_022778591.1, XP_022784717.1, XP_022784725.1, XP_022786258.1, XP_022805209.1, XP_022778203.1, XP_022790311.1, XP_022778556.1, XP_022801739.1, XP_022801735.1, XP_022792340.1, XP_022786217.1, XP_022800827.1, XP_022786251.1, XP_022808654.1, XP_022808652.1, XP_022805567.1, XP_022805575.1, XP_022791341.1, XP_022810345.1, XP_022800829.1, XP_022809347.1, XP_022798462.1, XP_022777799.1, XP_022809396.1, XP_022804043.1, XP_022809398.1, XP_022808888.1, XP_022808656.1	Xe_027690-T1, Xe_027700-T1, Xe_027721-T1, Xe_028003-T1, Xe_028005-T1
OG0000031	XP_022794560.1	Xe_028329-T1, Xe_011577-T1, Xe_018919-T1, Xe_019182-T1, Xe_019490-T1, Xe_019443-T1, Xe_013369-T1, Xe_019223-T1, Xe_019132-T1, Xe_019207-T1, Xe_018853-T1, Xe_019088-T1, Xe_019028-T1, Xe_025110-T1, Xe_018850-T1, Xe_019220-T1, Xe_019143-T1, Xe_016668-T1, Xe_019099-T1, Xe_019103-T1, Xe_019229-T1, Xe_019027-T1, Xe_019294-T1, Xe_014002-T1, Xe_028843-T1, Xe_000334-T1, Xe_013978-T1, Xe_019521-T1, Xe_007843-T1, Xe_019563-T1, Xe_012041-T1, Xe_014237-T1, Xe_014267-T1, Xe_012075-T1, Xe_012375-T1, Xe_018553-T1, Xe_010179-T1, Xe_002873-T1, Xe_012507-T1, Xe_014096-T1, Xe_017979-T1, Xe_017980-T1, Xe_025240-T1, Xe_012690-T1, Xe_011168-T1, Xe_011114-T1, Xe_011184-T1, Xe_000336-T1, Xe_003937-T1, Xe_029001-T1, Xe_006215-T1, Xe_001912-T1, Xe_001917-T1, Xe_013305-T1, Xe_001925-T1
OG0000034	XP_022803132.1	Xe_026133-T1, Xe_007324-T1, Xe_011919-T1, Xe_011504-T1, Xe_006240-T1, Xe_020816-T1, Xe_022482-T1, Xe_026192-T1, Xe_023985-T1, Xe_016715-T1, Xe_003227-T1, Xe_023893-T1, Xe_011920-T1, Xe_020815-T1, Xe_022483-T1, Xe_025036-T1, Xe_010757-T1, Xe_011182-T1, Xe_019189-T1, Xe_011156-T1, Xe_001462-T1, Xe_011102-T1, Xe_011149-T1, Xe_025249-T1, Xe_028761-T1, Xe_006244-T1, Xe_003197-T1, Xe_003200-T1, Xe_001463-T1, Xe_028792-T1, Xe_028608-T1, Xe_011140-T1, Xe_011103-T1, Xe_017520-T1, Xe_010280-T1, Xe_010770-T1, Xe_023910-T1, Xe_011087-T1, Xe_023801-T1, Xe_029158-T1, Xe_029113-T1, Xe_010756-T1, Xe_028786-T1, Xe_023802-T1, Xe_008724-T1, Xe_008688-T1, Xe_024986-T1, Xe_011137-T1, Xe_025077-T1, Xe_026132-T1, Xe_028850-T1, Xe_000560-T1, Xe_007325-T1, Xe_011505-T1, Xe_006239-T1
OG0000038	XP_022809724.1, XP_022797238.1, XP_022788576.1	Xe_021297-T1
OG0000039	XP_022797148.1, XP_022797152.1	Xe_025402-T1
OG0000039	XP_022807789.1, XP_022807788.1	Xe_016238-T1, Xe_004328-T1, Xe_016236-T1, Xe_016248-T1, Xe_016125-T1, Xe_009800-T1, Xe_016259-T1, Xe_016263-T1, Xe_025403-T1, Xe_015918-T1, Xe_017319-T1, Xe_012840-T1, Xe_027110-T1, Xe_015906-T1, Xe_015913-T1, Xe_015835-T1, Xe_015836-T1, Xe_016118-T1, Xe_016224-T1, Xe_015834-T1, Xe_016251-T1, Xe_016241-T1, Xe_016121-T1, Xe_016120-T1, Xe_016229-T1, Xe_016223-T1, Xe_015917-T1, Xe_016239-T1, Xe_016250-T1, Xe_016124-T1, Xe_016117-T1, Xe_016122-T1, Xe_015907-T1, Xe_016261-T1, Xe_016225-T1, Xe_016230-T1, Xe_016260-T1, Xe_016231-T1, Xe_016226-T1
OG0000044	XP_022807460.1, XP_022807456.1, XP_022787251.1, XP_022787222.1, XP_022787224.1, XP_022787223.1, XP_022787250.1, XP_022804938.1, XP_022808996.1, XP_022810500.1, XP_022799692.1, XP_022808400.1, XP_022808895.1, XP_022809000.1, XP_022808927.1, XP_022806681.1, XP_022799088.1, XP_022805155.1, XP_022809851.1, XP_022777813.1, XP_022803796.1, XP_022778927.1, XP_022803797.1, XP_022810307.1, XP_022786569.1	Xe_002591-T1
OG0000048	XP_022785376.1	Xe_010319-T1, Xe_010700-T1, Xe_010349-T1, Xe_010710-T1, Xe_010681-T1, Xe_010325-T1, Xe_010337-T1, Xe_010338-T1, Xe_010676-T1, Xe_010333-T1, Xe_010703-T1, Xe_010336-T1, Xe_010682-T1, Xe_010701-T1, Xe_010320-T1, Xe_025469-T1, Xe_010356-T1, Xe_010687-T1, Xe_010672-T1, Xe_010348-T1, Xe_010329-T1, Xe_010352-T1, Xe_010695-T1, Xe_010678-T1, Xe_010706-T1, Xe_010315-T1, Xe_010716-T1, Xe_010709-T1, Xe_010324-T1, Xe_010685-T1, Xe_010342-T1, Xe_010708-T1, Xe_010354-T1, Xe_010317-T1, Xe_010335-T1, Xe_010702-T1, Xe_010323-T1, Xe_010674-T1, Xe_010688-T1, Xe_010686-T1, Xe_010355-T1, Xe_010673-T1, Xe_010334-T1
OG0000053	XP_022785355.1	Xe_006883-T1, Xe_006910-T1, Xe_028526-T1, Xe_028537-T1, Xe_028550-T1, Xe_028545-T1, Xe_028553-T1, Xe_028524-T1, Xe_006864-T1, Xe_006865-T1, Xe_006863-T1, Xe_016683-T1, Xe_019198-T1, Xe_018918-T1, Xe_020330-T1, Xe_018720-T1, Xe_027600-T1, Xe_000786-T1, Xe_016328-T1, Xe_020914-T1, Xe_008566-T1, Xe_008569-T1, Xe_018651-T1, Xe_010130-T1, Xe_006874-T1, Xe_006913-T1, Xe_006866-T1, Xe_028540-T1, Xe_028549-T1, Xe_028516-T1, Xe_028556-T1, Xe_006880-T1, Xe_006907-T1, Xe_028507-T1, Xe_028529-T1, Xe_007072-T1, Xe_028511-T1, Xe_028533-T1, Xe_028508-T1, Xe_028543-T1, Xe_006915-T1
OG0000054	XP_022796461.1, XP_022802031.1, XP_022805756.1	Xe_021390-T1, Xe_028612-T1, Xe_017779-T1, Xe_017152-T1, Xe_028294-T1, Xe_028247-T1, Xe_028265-T1, Xe_020256-T1, Xe_029124-T1, Xe_025192-T1, Xe_025167-T1, Xe_025875-T1, Xe_025876-T1, Xe_027777-T1, Xe_026407-T1, Xe_007020-T1, Xe_011185-T1, Xe_027236-T1, Xe_018279-T1, Xe_023998-T1, Xe_022825-T1, Xe_019415-T1, Xe_028752-T1, Xe_007346-T1, Xe_023145-T1, Xe_006377-T1, Xe_017631-T1, Xe_029107-T1, Xe_029097-T1, Xe_000678-T1, Xe_009750-T1, Xe_023722-T1, Xe_028291-T1, Xe_015848-T1, Xe_023888-T1
