Orthogroup	spis_longest_isoform_marker	aip_longest_isoforms
OG0000031	XP_022794560.1	XP_020914234.1
OG0000038	XP_022809724.1, XP_022797238.1	XP_020897020.1
OG0000038	XP_022788576.1	XP_020904326.1, XP_028516362.1, XP_020907536.2, XP_020907549.1, XP_020917754.1, XP_020917750.1, XP_020917755.1, XP_028512441.1, XP_028519400.1, XP_020917713.1, XP_028512432.1, XP_020916387.2, XP_028512439.1, XP_020905049.1, XP_028512703.1, XP_020906682.1, XP_020904408.1, XP_028515978.1, XP_020907914.1, XP_028519455.1, XP_020916577.1, XP_020916576.1, XP_020916579.1, XP_028514686.1, XP_028514680.1, XP_028514681.1, XP_020899798.1, XP_020899800.1, XP_020899792.1, XP_020899796.1, XP_020899794.2, XP_020899793.2, XP_020906714.1, XP_020906712.1, XP_020916308.1, XP_020906378.2, XP_020906379.2, XP_020906359.1, XP_028516477.1, XP_020906358.2, XP_020892699.1, XP_020892722.1, XP_020910407.1, XP_020910416.1, XP_020917603.1, XP_020906751.1
OG0000039	XP_022797148.1, XP_022797152.1	XP_020909873.1, XP_028514906.1
OG0000039	XP_022807789.1	XP_028517518.1
OG0000039	XP_022807788.1	XP_028515588.1
OG0000040	XP_022780664.1	XP_020917809.2
OG0000040	XP_022805803.1	XP_028514548.1, XP_020910389.1, XP_028517718.1, XP_028519554.1, XP_028517720.1, XP_028519555.1, XP_020907581.1, XP_020910328.1, XP_028517716.1, XP_028517717.1, XP_028519553.1, XP_028513764.1, XP_020914186.1, XP_028513801.1, XP_028513795.1, XP_028513794.1, XP_020896576.1, XP_028518048.1, XP_028517719.1, XP_020907578.1, XP_020900960.2, XP_020892281.1, XP_028516301.1, XP_020898989.1, XP_020900758.1, XP_028516178.1, XP_020903266.1, XP_020914445.1, XP_020901315.1, XP_020905339.1, XP_020896265.1, XP_020914766.1, XP_028517331.1, XP_028518050.1, XP_020895654.1, XP_020909164.1, XP_020912640.1, XP_020899941.1, XP_020899037.1, XP_020911857.1, XP_020916586.1, XP_020913357.1, XP_020913254.1, XP_020910666.1, XP_028513851.1, XP_020917542.1
OG0000044	XP_022807460.1, XP_022807456.1, XP_022787251.1, XP_022787222.1, XP_022787224.1, XP_022787223.1, XP_022787250.1	XP_028516010.1, XP_020911103.1, XP_020897277.2
OG0000044	XP_022804938.1, XP_022808996.1, XP_022810500.1, XP_022799692.1, XP_022808400.1, XP_022808895.1, XP_022809000.1, XP_022808927.1, XP_022806681.1	XP_020907890.2, XP_020912868.2, XP_020912861.2, XP_020902857.2, XP_028518447.1, XP_028515600.1, XP_020916653.2, XP_020900414.2, XP_020907891.1, XP_028517870.1, XP_028517873.1, XP_020907884.2, XP_028519493.1, XP_028518810.1, XP_028518448.1, XP_028514228.1
OG0000044	XP_022805155.1	XP_020907892.1, XP_020907893.1
OG0000044	XP_022809851.1, XP_022777813.1	XP_028516009.1
OG0000048	XP_022785376.1	XP_020897096.1
OG0000053	XP_022785355.1	XP_020903072.1
OG0000054	XP_022796461.1	XP_020911923.1, XP_020908723.1, XP_020905899.2, XP_020911892.1, XP_028518526.1
OG0000054	XP_022802031.1, XP_022805756.1	XP_028518327.1
OG0000057	XP_022801337.1, XP_022799899.1, XP_022810557.1, XP_022777532.1, XP_022777521.1	XP_020892237.1
OG0000057	XP_022791426.1, XP_022810474.1, XP_022789777.1, XP_022790124.1, XP_022807138.1, XP_022791458.1, XP_022791436.1, XP_022808157.1, XP_022806213.1, XP_022809043.1, XP_022809432.1, XP_022787469.1, XP_022795073.1, XP_022804918.1, XP_022810499.1, XP_022790228.1, XP_022777443.1, XP_022810239.1, XP_022777604.1, XP_022806139.1, XP_022782499.1, XP_022810318.1, XP_022808837.1, XP_022777927.1, XP_022793854.1, XP_022785694.1, XP_022801522.1, XP_022777536.1, XP_022778025.1, XP_022788334.1, XP_022792052.1, XP_022809360.1, XP_022777895.1	XP_020898278.1, XP_020917690.2, XP_020898237.1, XP_028518537.1
OG0000058	XP_022784462.1, XP_022804402.1, XP_022800785.1, XP_022809738.1, XP_022808276.1, XP_022806463.1, XP_022808273.1, XP_022778047.1, XP_022808855.1, XP_022809735.1, XP_022808860.1, XP_022803777.1, XP_022809211.1, XP_022800834.1, XP_022800863.1, XP_022792742.1, XP_022785218.1, XP_022788768.1, XP_022793473.1, XP_022792962.1, XP_022810179.1, XP_022785234.1, XP_022785237.1, XP_022808807.1, XP_022810596.1, XP_022785235.1, XP_022808749.1, XP_022806763.1, XP_022785270.1, XP_022808809.1, XP_022784463.1, XP_022807927.1, XP_022790603.1, XP_022803776.1, XP_022803790.1, XP_022800838.1, XP_022784461.1, XP_022800846.1, XP_022800851.1, XP_022800839.1, XP_022800837.1	XP_020901049.1
OG0000064	XP_022793587.1, XP_022805515.1, XP_022795995.1, XP_022796000.1, XP_022779001.1	XP_020909418.1, XP_020905080.1, XP_020917218.1, XP_020916850.1, XP_028514288.1, XP_020916851.1, XP_028514276.1, XP_028514285.1, XP_020917219.1, XP_028514297.1, XP_028513671.1, XP_020894420.1, XP_020894419.1
OG0000069	XP_022797149.1, XP_022808192.1, XP_022809478.1, XP_022785957.1	XP_020905629.1, XP_020905881.2, XP_028513436.1, XP_020915404.1, XP_020899018.1, XP_020907805.1, XP_020916362.1, XP_020911659.1
OG0000072	XP_022778808.1, XP_022805254.1, XP_022809655.1, XP_022808270.1, XP_022777554.1, XP_022777538.1, XP_022809654.1, XP_022810163.1, XP_022809755.1, XP_022808269.1, XP_022791044.1, XP_022791056.1, XP_022809237.1, XP_022777891.1, XP_022809236.1, XP_022777552.1, XP_022803942.1, XP_022803806.1, XP_022791054.1, XP_022809754.1, XP_022791051.1, XP_022787961.1, XP_022809653.1, XP_022806849.1, XP_022778061.1, XP_022777726.1	XP_020895817.1, XP_028516946.1
OG0000072	XP_022791851.1	XP_020916515.2, XP_020892017.2, XP_028512557.1, XP_020907898.1
OG0000073	XP_022790818.1	XP_020901367.1
OG0000074	XP_022785710.1	XP_028518193.1
OG0000078	XP_022779885.1, XP_022779887.1, XP_022806707.1, XP_022793695.1, XP_022793741.1, XP_022806709.1, XP_022793697.1, XP_022806715.1, XP_022793738.1, XP_022793739.1, XP_022809553.1, XP_022797356.1, XP_022797380.1	XP_020897924.1, XP_028512638.1, XP_020914126.1, XP_020906911.1, XP_020914128.2, XP_020906907.1, XP_028517030.1, XP_020908228.1, XP_020892312.1, XP_020892311.1, XP_020900588.1, XP_020907501.1, XP_020906993.1, XP_020911045.1
OG0000079	XP_022791285.1, XP_022792247.1, XP_022794000.1	XP_020916218.1, XP_028518127.1, XP_020910066.1, XP_020905036.2, XP_028513360.1, XP_020914374.1, XP_028514697.1, XP_020907589.1, XP_028514699.1, XP_020907621.1, XP_028514159.1, XP_020909871.1, XP_020912547.1, XP_020896997.1, XP_020900778.1, XP_028515003.1, XP_028518245.1, XP_028519236.1, XP_028519237.1, XP_020900952.2, XP_028514671.1, XP_020893527.1, XP_028514937.1, XP_020893728.1, XP_028516893.1, XP_020895688.1
OG0000079	XP_022810600.1, XP_022810034.1, XP_022808851.1	XP_028515311.1, XP_028518122.1, XP_020907268.1
OG0000080	XP_022782075.1	XP_020907333.1, XP_020895988.1, XP_020916263.1, XP_020894115.1, XP_020896180.1, XP_020917549.1, XP_020893578.1, XP_020906584.1
OG0000081	XP_022805473.1, XP_022780723.1	XP_020893966.1
OG0000082	XP_022798052.1, XP_022809491.1, XP_022808321.1, XP_022810420.1, XP_022801366.1, XP_022788759.1, XP_022791841.1, XP_022809530.1	XP_028515843.1, XP_020908377.1
OG0000082	XP_022807801.1, XP_022803832.1, XP_022794660.1, XP_022792963.1, XP_022800665.1	XP_028516724.1
OG0000082	XP_022809204.1, XP_022808386.1, XP_022780656.1, XP_022799951.1, XP_022792808.1, XP_022784124.1, XP_022792807.1, XP_022800968.1, XP_022780657.1, XP_022783509.1	XP_028517251.1
OG0000083	XP_022808796.1, XP_022806347.1, XP_022800282.1, XP_022796743.1, XP_022785151.1, XP_022809575.1, XP_022810130.1, XP_022809194.1, XP_022804734.1, XP_022777916.1, XP_022779373.1, XP_022777983.1, XP_022809800.1, XP_022806342.1, XP_022809576.1, XP_022806344.1, XP_022778046.1, XP_022778193.1, XP_022785147.1, XP_022804727.1, XP_022808343.1, XP_022785159.1, XP_022809578.1, XP_022800207.1, XP_022796266.1, XP_022790555.1, XP_022780314.1, XP_022788047.1, XP_022810279.1, XP_022789411.1, XP_022810277.1, XP_022808643.1, XP_022805596.1, XP_022806775.1, XP_022796730.1, XP_022796727.1, XP_022796765.1	XP_028516434.1
OG0000085	XP_022794467.1, XP_022794466.1	XP_020914090.1
OG0000085	XP_022788684.1	XP_020912545.1, XP_020914096.1, XP_020914097.1
OG0000085	XP_022788721.1	XP_020896491.1
OG0000085	XP_022798161.1	XP_020903492.1
OG0000085	XP_022780698.1	XP_020911353.1
OG0000085	XP_022788486.1	XP_020907443.1
OG0000085	XP_022806989.1, XP_022806994.1	XP_020893194.1
OG0000085	XP_022801858.1	XP_020914091.1
OG0000088	XP_022809557.1	XP_020914552.1, XP_028518450.1, XP_028513092.1
OG0000088	XP_022806470.1, XP_022806473.1, XP_022806474.1, XP_022806471.1, XP_022777572.1, XP_022805104.1, XP_022781166.1, XP_022805659.1, XP_022805663.1	XP_020902114.1, XP_020902155.2, XP_028515347.1, XP_020893402.2, XP_020893406.1, XP_020902122.1, XP_020902154.1, XP_020896482.1
OG0000089	XP_022795472.1	XP_020916224.1
OG0000089	XP_022784137.1	XP_020900503.1
OG0000089	XP_022792400.1, XP_022808491.1	XP_020906581.1, XP_020899533.1, XP_020913117.1
OG0000089	XP_022808489.1	XP_020917665.1
OG0000090	XP_022787930.1, XP_022777519.1	XP_020905107.1, XP_020894078.1, XP_028519091.1, XP_028518942.1, XP_020908130.2, XP_028516393.1
OG0000090	XP_022810589.1	XP_020912990.1, XP_028512978.1, XP_028517608.1, XP_020899465.1
OG0000094	XP_022806735.1, XP_022785410.1, XP_022787043.1	XP_020901284.1, XP_028519051.1
OG0000094	XP_022808859.1, XP_022796427.1, XP_022782897.1, XP_022789755.1, XP_022800310.1, XP_022786263.1	XP_028515841.1
OG0000094	XP_022789301.1	XP_020917148.1
OG0000094	XP_022795149.1	XP_020893485.1, XP_020894168.1, XP_028518069.1
OG0000095	XP_022796432.1	XP_020895949.1
OG0000095	XP_022810133.1	XP_028516200.1
OG0000095	XP_022779457.1	XP_020914501.1
OG0000095	XP_022788133.1	XP_020897321.1
OG0000095	XP_022777857.1	XP_028517300.1, XP_028518208.1, XP_020901607.1, XP_028519733.1, XP_020905319.1
OG0000095	XP_022784619.1	XP_020908156.1
OG0000096	XP_022796783.1	XP_020903370.2
OG0000097	XP_022804845.1, XP_022794722.1	XP_028515485.1
OG0000097	XP_022793076.1	XP_020909917.1
OG0000097	XP_022799904.1	XP_028518341.1, XP_028516288.1
OG0000097	XP_022777513.1, XP_022788737.1, XP_022784319.1	XP_020913704.2, XP_020912962.1
OG0000102	XP_022801281.1	XP_020894114.1, XP_020907937.1, XP_020896925.1
OG0000103	XP_022806813.1, XP_022806810.1, XP_022806808.1, XP_022806825.1, XP_022806807.1, XP_022806806.1, XP_022778933.1, XP_022778509.1, XP_022778954.1, XP_022780973.1, XP_022809032.1, XP_022806968.1, XP_022807693.1, XP_022802107.1, XP_022807312.1, XP_022807311.1, XP_022802113.1, XP_022780924.1, XP_022800873.1, XP_022780936.1, XP_022781622.1, XP_022781603.1, XP_022792717.1, XP_022806015.1, XP_022806017.1, XP_022778136.1, XP_022805713.1, XP_022806014.1, XP_022781606.1, XP_022781621.1, XP_022792736.1	XP_020910854.2
OG0000104	XP_022810321.1, XP_022793268.1, XP_022808975.1	XP_028518353.1
OG0000106	XP_022790797.1	XP_028515930.1, XP_028512605.1, XP_020900646.1
OG0000113	XP_022777782.1	XP_028519468.1, XP_028517696.1, XP_028516684.1, XP_028515614.1, XP_028518067.1, XP_028514453.1, XP_028517294.1, XP_020913752.2, XP_028514356.1, XP_020905008.1, XP_028518328.1, XP_028516967.1, XP_028512973.1, XP_028518343.1, XP_028519078.1, XP_028516108.1, XP_020894700.1, XP_028518740.1, XP_028516907.1, XP_028519464.1, XP_020897343.1, XP_028516976.1, XP_028518738.1, XP_028514323.1, XP_028518355.1
OG0000114	XP_022779802.1, XP_022804400.1, XP_022793026.1, XP_022809645.1, XP_022804680.1	XP_028513028.1
OG0000114	XP_022779679.1	XP_020915790.1, XP_028512950.1, XP_028514676.1
OG0000115	XP_022800777.1	XP_020912346.1, XP_020914506.1, XP_020916607.1, XP_020912345.1, XP_020916604.1, XP_020897608.2, XP_028518523.1, XP_020916605.1, XP_020908675.1, XP_020913137.1, XP_020912347.1, XP_020913140.2, XP_020914505.1
OG0000134	XP_022804524.1, XP_022805387.1	XP_020914072.1, XP_020892069.1
OG0000134	XP_022795601.1	XP_028514468.1, XP_020896631.1, XP_020913579.2, XP_020910903.1, XP_020913580.2, XP_028517864.1, XP_028514466.1, XP_028518321.1, XP_020910901.2, XP_020911974.1, XP_020915389.2, XP_028518806.1, XP_028512556.1, XP_020910898.2, XP_028514467.1, XP_028512547.1, XP_020916513.2, XP_028518323.1, XP_028518807.1, XP_028512546.1, XP_028514463.1, XP_020898827.1, XP_028514700.1, XP_020916511.1
OG0000135	XP_022801335.1, XP_022805995.1, XP_022799386.1, XP_022795977.1, XP_022803082.1, XP_022803084.1, XP_022803073.1, XP_022808738.1, XP_022800128.1, XP_022809907.1, XP_022803039.1, XP_022808737.1, XP_022795988.1, XP_022799407.1, XP_022803074.1, XP_022803080.1, XP_022803081.1, XP_022803040.1, XP_022808870.1, XP_022803038.1, XP_022803036.1, XP_022799056.1, XP_022799073.1, XP_022799053.1, XP_022801334.1, XP_022803075.1	XP_020892077.1
OG0000137	XP_022790558.1, XP_022796475.1	XP_028515033.1, XP_020895069.2, XP_028518769.1, XP_020907931.2, XP_028515034.1, XP_028513307.1, XP_020897477.1, XP_028515024.1, XP_020901011.1, XP_020894709.1, XP_020901019.2, XP_020915486.1, XP_020912488.1, XP_028519154.1, XP_028519202.1, XP_020906423.2, XP_020911804.1, XP_020911761.1, XP_020913959.1, XP_028518574.1, XP_020899307.1, XP_020913953.1, XP_020894695.2, XP_020894568.1, XP_028518105.1, XP_020895081.1, XP_028518768.1
OG0000139	XP_022791402.1, XP_022788965.1, XP_022793984.1, XP_022793978.1, XP_022788962.1, XP_022791407.1, XP_022797827.1, XP_022789003.1, XP_022791410.1, XP_022788972.1, XP_022791390.1	XP_020909681.1
OG0000140	XP_022795883.1	XP_020914237.1
OG0000141	XP_022805961.1	XP_028517258.1
OG0000150	XP_022807316.1, XP_022785191.1, XP_022778296.1, XP_022779083.1, XP_022779170.1, XP_022800381.1, XP_022798827.1	XP_020903637.1, XP_028512714.1, XP_028512715.1, XP_028512716.1, XP_020899935.1, XP_020907925.1, XP_028516924.1, XP_020907936.2, XP_020907935.2, XP_020892519.1, XP_020892547.2, XP_028512720.1, XP_020892517.2, XP_020892515.1, XP_020892548.1
OG0000151	XP_022777949.1, XP_022797659.1, XP_022796394.1, XP_022784202.1, XP_022806300.1, XP_022784351.1, XP_022794578.1, XP_022809427.1, XP_022796750.1, XP_022779421.1, XP_022809672.1, XP_022800738.1, XP_022790581.1, XP_022805480.1, XP_022779005.1, XP_022777600.1, XP_022808600.1, XP_022784420.1, XP_022791103.1, XP_022783236.1, XP_022804745.1, XP_022805763.1, XP_022796720.1, XP_022796433.1	XP_020892954.1
OG0000152	XP_022805962.1, XP_022805958.1	XP_020897702.1, XP_020897700.1, XP_020897699.1, XP_028514147.1, XP_020913517.1
OG0000154	XP_022790245.1, XP_022809705.1, XP_022790277.1, XP_022808222.1, XP_022778373.1, XP_022802732.1, XP_022810262.1, XP_022783016.1, XP_022802731.1, XP_022779951.1, XP_022802734.1, XP_022802723.1, XP_022802730.1, XP_022799946.1, XP_022778114.1, XP_022778287.1, XP_022777812.1, XP_022802965.1, XP_022810481.1, XP_022783613.1, XP_022805286.1, XP_022778018.1, XP_022807529.1, XP_022778017.1, XP_022794550.1, XP_022778141.1, XP_022806955.1, XP_022794512.1	XP_020898869.1
OG0000155	XP_022797921.1, XP_022797920.1, XP_022797939.1, XP_022788209.1	XP_020908522.1
OG0000155	XP_022788241.1	XP_028517127.1
OG0000162	XP_022807642.1, XP_022777495.1, XP_022804288.1, XP_022777496.1, XP_022808027.1	XP_020892615.2
OG0000163	XP_022792261.1	XP_020912930.1
OG0000163	XP_022787375.1	XP_020893539.1, XP_020893184.1
OG0000163	XP_022787683.1, XP_022806390.1, XP_022798127.1	XP_028517451.1
OG0000163	XP_022787228.1	XP_020910944.1
OG0000163	XP_022787235.1	XP_028514287.1, XP_028514291.1
OG0000163	XP_022802271.1, XP_022805913.1	XP_020897957.1
OG0000164	XP_022779081.1	XP_020908014.1
OG0000164	XP_022805424.1	XP_020898942.1
OG0000164	XP_022781487.1	XP_028515383.1, XP_020902199.1
OG0000164	XP_022802074.1	XP_020917029.1
OG0000164	XP_022780400.1	XP_020914309.1
OG0000164	XP_022780423.1, XP_022780354.1	XP_020904868.1, XP_020914410.2
OG0000165	XP_022786570.1	XP_020906559.1
OG0000165	XP_022807096.1, XP_022807095.1, XP_022807101.1, XP_022804303.1, XP_022804319.1, XP_022807100.1, XP_022807103.1	XP_028516681.1, XP_020907018.2, XP_020901461.1, XP_020916020.1, XP_020908170.1, XP_020910129.1, XP_020901632.1, XP_020901633.1, XP_020901634.1, XP_020901630.1, XP_028515202.1
OG0000166	XP_022788901.1	XP_020904122.1
OG0000167	XP_022810602.1, XP_022805493.1, XP_022778859.1, XP_022805494.1, XP_022777958.1, XP_022800150.1, XP_022810022.1	XP_028518815.1, XP_028518449.1, XP_020916895.1, XP_028518811.1, XP_028518279.1, XP_020904558.1, XP_020904559.2, XP_028518390.1, XP_020912726.1, XP_028515180.1
OG0000168	XP_022782106.1, XP_022809222.1, XP_022810128.1, XP_022809609.1, XP_022809610.1, XP_022809540.1, XP_022804616.1, XP_022809617.1, XP_022809538.1, XP_022777539.1, XP_022783275.1, XP_022784580.1, XP_022804888.1, XP_022788397.1, XP_022805606.1, XP_022808993.1, XP_022809220.1, XP_022783370.1, XP_022800898.1, XP_022786415.1, XP_022798039.1, XP_022798040.1	XP_020905860.2
OG0000168	XP_022778776.1	XP_020914493.1, XP_028513421.1, XP_028514687.1
OG0000169	XP_022784025.1	XP_028516786.1
OG0000174	XP_022797984.1	XP_020894063.1
OG0000174	XP_022808177.1, XP_022803789.1, XP_022804265.1, XP_022795686.1, XP_022789245.1, XP_022797183.1, XP_022794460.1, XP_022794443.1, XP_022784079.1	XP_020909861.1, XP_020893302.1
OG0000181	XP_022786586.1	XP_020897887.1
OG0000181	XP_022786608.1, XP_022786602.1, XP_022804399.1, XP_022786603.1	XP_020911425.1
OG0000181	XP_022798188.1	XP_020891878.1, XP_028513247.1, XP_028519228.1
OG0000182	XP_022782843.1, XP_022780837.1	XP_028515545.1
OG0000182	XP_022785496.1, XP_022805553.1, XP_022805547.1, XP_022805546.1, XP_022786417.1, XP_022805540.1, XP_022790532.1, XP_022805538.1	XP_028516529.1, XP_020901097.1
OG0000182	XP_022789751.1	XP_020906365.1
OG0000183	XP_022810260.1, XP_022797601.1, XP_022797609.1, XP_022797607.1, XP_022797596.1, XP_022780308.1, XP_022802838.1, XP_022796855.1, XP_022809129.1, XP_022809128.1, XP_022797594.1, XP_022790983.1, XP_022802852.1, XP_022790982.1, XP_022796818.1, XP_022796841.1	XP_020907821.2
OG0000183	XP_022796816.1	XP_020907817.1, XP_020907828.1
OG0000184	XP_022806977.1	XP_028518737.1, XP_028518209.1, XP_020914293.1, XP_028516078.1, XP_028519017.1, XP_028518992.1, XP_028518706.1, XP_028514378.1, XP_020913747.1, XP_028518712.1, XP_020893986.1, XP_020904703.1, XP_020905057.1, XP_020900519.2, XP_020911587.2, XP_028514382.1, XP_020898505.2, XP_020913814.1, XP_028514500.1, XP_020913152.1, XP_028516695.1, XP_020913778.2, XP_020905056.1, XP_020913762.2
OG0000185	XP_022796378.1, XP_022779598.1	XP_020901425.1, XP_028518785.1, XP_020914010.2
OG0000185	XP_022808726.1, XP_022808447.1, XP_022804383.1, XP_022804379.1, XP_022798314.1, XP_022806790.1, XP_022778053.1, XP_022806777.1, XP_022808724.1, XP_022806948.1, XP_022806801.1, XP_022806811.1, XP_022794344.1, XP_022808728.1, XP_022806199.1, XP_022785405.1	XP_020904668.2
OG0000196	XP_022800953.1, XP_022800944.1	XP_020897227.1
OG0000198	XP_022809094.1	XP_020906322.1
OG0000199	XP_022799240.1	XP_020906975.1
OG0000201	XP_022804638.1, XP_022806099.1, XP_022804668.1, XP_022800897.1, XP_022804643.1, XP_022804642.1, XP_022806100.1, XP_022804662.1, XP_022806101.1, XP_022804633.1, XP_022807614.1, XP_022804628.1, XP_022804619.1, XP_022807624.1, XP_022804618.1, XP_022804625.1, XP_022804663.1, XP_022804621.1, XP_022806097.1, XP_022806089.1, XP_022804653.1, XP_022804635.1, XP_022804647.1, XP_022804640.1	XP_020912722.1
OG0000202	XP_022808995.1, XP_022777479.1, XP_022793023.1, XP_022808925.1, XP_022777477.1, XP_022808998.1, XP_022778006.1, XP_022799677.1, XP_022808926.1, XP_022810276.1, XP_022808994.1, XP_022808892.1, XP_022777435.1, XP_022777427.1, XP_022799693.1, XP_022777691.1, XP_022808928.1, XP_022808997.1, XP_022777508.1, XP_022808785.1	XP_028515692.1
OG0000215	XP_022809224.1, XP_022809223.1	XP_020898265.1, XP_020899644.1, XP_020904283.1, XP_020917211.1
OG0000215	XP_022791287.1	XP_028519766.1
OG0000215	XP_022778786.1	XP_028515840.1, XP_020908704.2, XP_020895331.1
OG0000215	XP_022808037.1, XP_022808038.1	XP_028517681.1, XP_020897147.1
OG0000216	XP_022796953.1, XP_022791802.1, XP_022810103.1	XP_020895851.2
OG0000216	XP_022800783.1, XP_022803109.1	XP_020911487.1
OG0000216	XP_022777752.1	XP_020910275.1, XP_028515637.1, XP_028513978.1
OG0000217	XP_022782755.1, XP_022806073.1	XP_020909541.1
OG0000217	XP_022784549.1	XP_020897308.2, XP_020906540.1, XP_020915212.2, XP_028517429.1
OG0000217	XP_022801968.1, XP_022792406.1	XP_028519087.1
OG0000219	XP_022784029.1	XP_020898871.1
OG0000222	XP_022790904.1, XP_022810078.1, XP_022810079.1, XP_022810080.1, XP_022807906.1, XP_022790898.1, XP_022784741.1	XP_028516023.1, XP_020903521.2
OG0000224	XP_022808251.1	XP_028517582.1, XP_020906331.2, XP_028519346.1, XP_020916260.1, XP_020917808.2, XP_028512777.1, XP_020909976.2, XP_028519358.1, XP_028519356.1, XP_028517748.1, XP_020910250.1
OG0000224	XP_022794080.1, XP_022794049.1, XP_022793899.1	XP_028518709.1
