gene.ID	PFAM	gene_name	total.UMIs	X..UMIs	median.fc	tf	cell_type
Spis_XP_022799980_1	EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/Laminin_G_3/	Laminin.HG4.5:NA	15	10.34	2.56	no	cnidocyte
Spis_XP_022787040_1	Collagen/	cuticle collagen 34-like	16	39.02	2.53	no	cnidocyte
Spis_XP_022802502_1	Otopetrin/Otopetrin/	otopetrin_3	13	5.75	2.52	no	cnidocyte
Spis_XP_022804270_1	Collagen/	Collagen.HG10.2:NA	15	42.86	2.47	no	cnidocyte
Spis_XP_022803627_1		uncharacterized protein LOC111340966	19	32.76	2.45	no	cnidocyte
Spis_XP_022794246_1	FKBP_C/EF-hand_7/	FKBP_prolyl_isomerase_14	21	2.63	2.42	no	cnidocyte
Spis_XP_022800114_1	Lectin_C/	aggrecan	13	15.29	2.4	no	cnidocyte
Spis_XP_022780753_1	ILEI/ILEI/ILEI/	cell_migration_inducing_hyaluronidase_1	13	4.26	2.39	no	cnidocyte
Spis_XP_022789525_1		keratin-associated protein 10-6-like	16	47.06	2.39	no	cnidocyte
Spis_XP_022798678_1	Peptidase_M1_N/Peptidase_M1/ERAP1_C/	endoplasmic_reticulum_aminopeptidase_1	10	5.99	2.39	no	cnidocyte
Spis_XP_022784043_1	WSC/WSC/	kringle_containing_transmembrane_protein_1	16	19.75	2.35	no	cnidocyte
Spis_XP_022808147_1	SEA/SEA/GON/	uncharacterized protein LOC111345135 isoform X1	26	14.36	2.35	no	cnidocyte
Spis_XP_022807675_1	ShK/ShK/	basic proline-rich protein-like	10	32.26	2.32	no	cnidocyte
Spis_XP_022801930_1	GAIN/GPS/	adhesion_G_protein_coupled_receptor_B3	13	12.62	2.29	no	cnidocyte
Spis_XP_022805488_1	S8_pro-domain/Peptidase_S8/P_proprotein/	furin_paired_basic_amino_acid_cleaving_enzyme	18	30	2.27	no	cnidocyte
Spis_XP_022785805_1	EF-hand_7/EF-hand_7/EF-hand_7/	reticulocalbin_1	15	22.39	2.25	no	cnidocyte
Spis_XP_022798655_1		uncharacterized protein LOC111336759 isoform X2	13	26	2.23	no	cnidocyte
Spis_XP_022782970_1		proline-rich protein 36-like	12	12.12	2.2	no	cnidocyte
Spis_XP_022783752_1	CAP/ShK/ShK/CAP/	cysteine_rich_secretory_protein_3	14	22.22	2.2	no	cnidocyte
Spis_XP_022796494_1		uncharacterized protein LOC111334949	10	3.69	2.19	no	cnidocyte
Spis16742_1			13	15.29	2.16	no	cnidocyte
Spis_XP_022807233_1	EGF/Lipoxygenase/	arachidonate_5_lipoxygenase	14	1.29	2.16	no	cnidocyte
Spis_XP_022798609_1	PAN_4/Glyco_hydr_116N/PAN_4/DUF608/	uncharacterized protein LOC111336726	13	13.83	2.15	no	cnidocyte
Spis_XP_022780819_1	Laminin_G_3/	Laminin.HG4.3:NA	10	15.15	2.13	no	cnidocyte
Spis_XP_022796188_1	VWA/TSP_1/F5_F8_type_C/	collagen_type_XXII_alpha_1_chain	11	11.83	2.13	no	cnidocyte
Spis_XP_022797792_1	TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/VWA/TSP_1/VWA/VWA/Laminin_G_3/PA14/GON/	Laminin.HG4.9:NA	26	6.5	2.12	no	cnidocyte
Spis_XP_022783894_1		uncharacterized protein LOC111324563	9	19.15	2.09	no	cnidocyte
Spis_XP_022797070_1		uncharacterized protein LOC111335441	43	15.25	2.07	no	cnidocyte
Spis_XP_022783895_1	Gal_Lectin/Gal_Lectin/Gal_Lectin/Gal_Lectin/	adhesion_G_protein_coupled_receptor_L3	9	24.32	2.06	no	cnidocyte
Spis_XP_022805022_1	Thioredoxin/	protein_disulfide_isomerase_family_A_member_3	8	21.62	2.06	no	cnidocyte
Spis_XP_022807057_1		dentin sialophosphoprotein-like	15	51.72	2.05	no	cnidocyte
Spis_XP_022779720_1	Vitellogenin_N/DUF1943/DUF1944/VWD/	apolipoprotein_B	94	0.26	2.03	no	cnidocyte
Spis_XP_022796800_1	Pep_M12B_propep/Reprolysin/ADAM_CR_2/TSP_1/TSP1_ADAMTS/TSP1_ADAMTS/TSP1_ADAMTS/CUB/CUB/	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_16	9	5.88	2.03	no	cnidocyte
Spis_XP_022789514_1		keratin-associated protein 5-4-like	17	42.5	2.02	no	cnidocyte
Spis_XP_022793252_1		uncharacterized protein LOC111332217	10	12.35	2	no	cnidocyte
Spis_XP_022793420_1		trichohyalin-like isoform X1	90366	81.72	4.38	no	gastrodermis
Spis_XP_022794351_1	Ependymin/	ependymin_related_1	30429	86.6	3.61	no	gastrodermis
Spis_XP_022803036_1	TSP_1/TSP_1/Lectin_C/	Lectin_C.HG8.0:NA	10990	90.59	3.4	no	gastrodermis
Spis_XP_022785263_1	Vitellogenin_N/DUF1943/DUF1081/VWD/	novel_lipoprotein_amino_terminal_region_containing_protein	75510	75.4	3.16	no	gastrodermis
Spis_XP_022777441_1		uncharacterized protein LOC111318839	14251	76.25	3.02	no	gastrodermis
Spis_XP_022803038_1	TSP_1/Lectin_C/	Lectin_C.HG8.0:NA	17202	91.56	2.87	no	gastrodermis
Spis_XP_022787039_1	TIMP/	TIMP_metallopeptidase_inhibitor_2	18023	89.55	2.85	no	gastrodermis
Spis_XP_022787225_1	CUB/CUB/FXa_inhibition/FXa_inhibition/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/cEGF/EGF_CA/FXa_inhibition/cEGF/cEGF/FXa_inhibition/FXa_inhibition/	tolloid_like_2	14474	68.66	2.59	no	gastrodermis
Spis_XP_022799213_1	Laminin_G_3/F5_F8_type_C/	milk_fat_globule_EGF_factor_8_protein	26951	85.79	2.58	no	gastrodermis
Spis_XP_022808870_1	TSP_1/Lectin_C/	Lectin_C.HG8.0:NA	7083	89.57	2.58	no	gastrodermis
Spis_XP_022806376_1		proprotein convertase subtilisin/kexin type 5-like isoform X3	7180	85.68	2.52	no	gastrodermis
Spis_XP_022805721_1	ILEI/CUB/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/	neuropilin_2	18432	84.97	2.48	no	gastrodermis
Spis_XP_022784397_1	PG_binding_1/Peptidase_M10/Hemopexin/Hemopexin/Hemopexin/	matrix_metallopeptidase_25	14313	82.45	2.45	no	gastrodermis
Spis_XP_022799949_1	Fibrinogen_C/	angiopoietin_like_7	19302	92.36	2.43	no	gastrodermis
Spis_XP_022790259_1	Ferritin/	ferritin_heavy_chain_1	7513	82.9	2.38	no	gastrodermis
Spis_XP_022788102_1	Sulfatase/	sulfatase_1	9458	84.57	2.3	no	gastrodermis
Spis_XP_022790303_1	Ig_3/Ig_3/Pkinase_Tyr/	Pkinase.HG1.1:NA	6284	84.43	2.27	no	gastrodermis
Spis_XP_022779720_1	Vitellogenin_N/DUF1943/DUF1944/VWD/	apolipoprotein_B	31656	87.44	2.24	no	gastrodermis
Spis_XP_022785952_1	TIMP/	TIMP_metallopeptidase_inhibitor_2	8494	90.18	2.2	no	gastrodermis
Spis_XP_022795065_1	Peptidase_C1/	cathepsin_B	14127	75.67	2.2	no	gastrodermis
Spis_XP_022781017_1	Inhibitor_I29/Peptidase_C1/	cathepsin_L	9437	79.8	2.15	no	gastrodermis
Spis_XP_022795291_1	TSP_1/TSP_1/TSP_1/	thrombospondin_1	4973	83.96	2.14	no	gastrodermis
Spis_XP_022777933_1	Actin/	actin_beta	16222	72.49	2.13	no	gastrodermis
Spis_XP_022809032_1		uncharacterized protein LOC111346013 isoform X1	7850	78.63	2.05	no	gastrodermis
Spis_XP_022802023_1		uncharacterized protein LOC111339600	4631	76.74	2.01	no	gastrodermis
Spis_XP_022793850_1		uncharacterized protein LOC111332701	1411	76.39	21.91	no	Immune_1
Spis_XP_022802936_1	DUF4773/DUF4773/	uncharacterized protein LOC111340363	1265	76.76	15.59	no	Immune_1
Spis_XP_022793834_1		protein RNA-directed DNA methylation 3-like	519	49.29	9.32	no	Immune_1
Spis20505_1			203	65.7	8.9	no	Immune_1
Spis_XP_022798553_1		uncharacterized protein LOC111336682	253	29.83	6.12	no	Immune_1
Spis_XP_022787216_1	E1_DerP2_DerF2/	sterol_recognition.HG1.7:like:NPC2:likeclu:10	142	25.31	5.45	no	Immune_1
Spis_XP_022806069_1	IRF/	IRF.IRF1/IRF2	121	20.9	5.45	yes	Immune_1
Spis_XP_022807111_1	MACPF/	macrophage_expressed_1	206	10.17	5.36	no	Immune_1
Spis_XP_022805878_1		uncharacterized protein LOC111343018	232	7.89	5.3	no	Immune_1
Spis_XP_022796612_1	LBP_BPI_CETP/LBP_BPI_CETP_C/	lipopolysaccharide_binding_protein	134	4.61	4.39	no	Immune_1
Spis24340_1	TPR_7/TPR_12/TPR_7/TPR_12/TPR_12/TPR_12/TPR_8/TPR_12/TPR_12/TPR_12/CHAT/	tetratricopeptide_repeat_domain_28	115	20.39	4.24	no	Immune_1
Spis_XP_022794272_1	Vault_2/Vault/Vault/Vault/Vault_2/Vault/Vault_4/Vault_3/MVP_shoulder/	major_vault_protein	125	7.81	3.88	no	Immune_1
Spis_XP_022784236_1	HH_signal/VWA/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Ig_3/Ig_3/EGF/SH2/	HH_signal.HG1.4:like:DHH/IHH/SHH:likeclu:2	102	5.98	3.59	no	Immune_1
Spis_XP_022778233_1		uncharacterized protein LOC111319754	96	7.64	3.49	no	Immune_1
Spis_XP_022802168_1	IRF/IRF-3/	IRF.IRF3/IRF4/IRF5/IRF6/IRF7/IRF8/IRF9	74	13.36	3.46	yes	Immune_1
Spis_XP_022786839_1	DED/	uncharacterized protein LOC111327019	538	3.17	3.26	no	Immune_1
Spis6626_1			60	19.05	3.21	no	Immune_1
Spis_XP_022806608_1	Amnionless/	cysteine_rich_transmembrane_BMP_regulator_1	51	13.49	3.06	no	Immune_1
Spis_XP_022784317_1	TPR_12/TPR_7/TPR_12/TPR_7/TPR_12/TPR_8/CHAT/	tetratricopeptide_repeat_domain_28	70	12.32	3.03	no	Immune_1
Spis_XP_022781957_1	A1_Propeptide/Asp/	cathepsin_D	245	2.86	3.01	no	Immune_1
Spis_XP_022793911_1		uncharacterized protein LOC111332750	54	14.21	3.01	no	Immune_1
Spis_XP_022778684_1	SEFIR/	uncharacterized protein LOC111320263	94	4.16	2.97	no	Immune_1
Spis_XP_022785526_1	DUF4773/	uncharacterized protein LOC111325880	136	3	2.92	no	Immune_1
Spis_XP_022803680_1	RRM_1/RRM_1/	RRM.HG1.20:HNRNPAB/HNRNPD/HNRNPDL	104	2.41	2.9	no	Immune_1
Spis_XP_022795880_1	RHD_DNA_bind/RHD_dimer/	RHD_Rel.NFAT5/NFATC1/NFATC2/NFATC3/NFATC4	135	3.52	2.86	yes	Immune_1
Spis21300_1			52	16	2.84	no	Immune_1
Spis_XP_022809897_1	TPR_12/TPR_12/CHAT/	tetratricopeptide_repeat_domain_28	69	4.35	2.82	no	Immune_1
Spis_XP_022807333_1		altered inheritance of mitochondria protein 44-like	76	3.63	2.81	no	Immune_1
Spis_XP_022789435_1	DSL/EGF/hEGF/hEGF/hEGF/hEGF/EGF/hEGF/hEGF/EGF/EGF/EGF/EGF/EGF/EGF_CA/EGF/EGF_CA/EGF/	DSL.HG1.0:DLL1/DLL4/JAG1/JAG2	75	10.07	2.8	no	Immune_1
Spis_XP_022796636_1	LBP_BPI_CETP/LBP_BPI_CETP_C/	lipopolysaccharide_binding_protein	92	7.28	2.8	no	Immune_1
Spis_XP_022792803_1	Ig_3/I-set/Ig_3/Ig_3/Ig_3/Ig_3/I-set/fn3/fn3/fn3/fn3/I-set/	fibronectin.HG11.2:DSCAM/DSCAML1	55	5.46	2.77	no	Immune_1
Spis_XP_022800213_1	CD36/CD36/	CD36_molecule	46	47.42	2.72	no	Immune_1
Spis_XP_022795721_1	DOCK_N/DOCK-C2/DHR-2/	dedicator_of_cytokinesis_1	59	5.32	2.71	no	Immune_1
Spis_XP_022779232_1		uncharacterized protein LOC111320800 isoform X1	69	81.18	2.68	no	Immune_1
Spis_XP_022788614_1	NACHT/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/	NLR_family_pyrin_domain_containing_12	81	4.58	2.66	no	Immune_1
Spis22515_1			42	29.17	2.65	no	Immune_1
Spis_XP_022800497_1	Astacin/	meprin_A_subunit_beta	62	2.44	2.51	no	Immune_1
Spis_XP_022780513_1	Sugar_tr/MFS_1/	Sugar_tr.HG2.2:SVOP/SVOPL	54	5.55	2.5	no	Immune_1
Spis_XP_022795914_1	NAAA-beta/CBAH/	N_acylsphingosine_amidohydrolase_1	47	4.94	2.49	no	Immune_1
Spis_XP_022799424_1	Ig_3/ig/TIR_2/	TIR.HG1.11:like:IL1R1/IL1RAP/IL1RAPL1/IL1RAPL2/IL1RL1/IL1RL2/IL18R1/IL18RAP/SIGIRR:likeclu:9	42	10.63	2.49	no	Immune_1
Spis_XP_022801965_1		uncharacterized protein LOC111339551	52	8.52	2.49	no	Immune_1
Spis_XP_022793026_1	Lipase/	pancreatic_lipase_related_protein_1	39	13	2.48	no	Immune_1
Spis_XP_022800134_1	I-set/I-set/Ig_3/I-set/Ig_3/I-set/I-set/I-set/I-set/I-set/Ig_3/I-set/Ig_3/Ig_3/I-set/fn3/fn3/fn3/fn3/Y_phosphatase/Y_phosphatase/	protein_tyrosine_phosphatase_receptor_type_D	66	3.61	2.48	no	Immune_1
Spis_XP_022795065_1	Peptidase_C1/	cathepsin_B	335	1.79	2.44	no	Immune_1
Spis_XP_022797219_1	TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_8/CHAT/	tetratricopeptide_repeat_domain_28	46	26.29	2.43	no	Immune_1
Spis_XP_022781880_1	ANF_receptor/NCD3G/7tm_3/	GPCR-glutamate.HG1.0:CASR/GPRC6A/TAS1R1/TAS1R2/TAS1R3	44	23.04	2.42	no	Immune_1
Spis_XP_022805190_1	SapA/SapB_1/SapB_2/SapB_1/SapB_2/SapB_1/SapB_2/SapA/	prosaposin	192	1.88	2.42	no	Immune_1
Spis_XP_022802946_1	IRF/	IRF.IRF1/IRF2	38	15.2	2.37	yes	Immune_1
Spis_XP_022810272_1	Ion_trans/Ion_trans/Ion_trans/Ion_trans/GPHH/	ion-NaKCa.HG9.3:SCN10A/SCN11A/SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN7A/SCN8A/SCN9A	63	4.73	2.37	no	Immune_1
Spis_XP_022799884_1	7tm_1/	GPCR-rhodopsin.HG6.22:NA	37	27.01	2.36	no	Immune_1
Spis_XP_022810471_1	NACHT/LRR_6/	NLR_family_pyrin_domain_containing_12	48	4.95	2.36	no	Immune_1
Spis18328_1	RVT_1/	protein_tyrosine_phosphatase_non_receptor_type_12	44	6.04	2.35	no	Immune_1
Spis_XP_022801064_1		uncharacterized protein LOC111338799	52	2.19	2.35	no	Immune_1
Spis_XP_022792692_1		uncharacterized protein LOC111331782 isoform X1	41	6.26	2.32	no	Immune_1
Spis_XP_022792466_1	fn3/	fibronectin.HG9.0:like:CHL1/CNTN1/CNTN2/CNTN3/CNTN4/CNTN5/CNTN6/L1CAM/NFASC/NRCAM:likeclu:1/3	48	3.18	2.31	no	Immune_1
Spis_XP_022799423_1	Ig_3/Ig_3/ig/ig/ig/TIR_2/	TIR.HG1.11:like:IL1R1/IL1RAP/IL1RAPL1/IL1RAPL2/IL1RL1/IL1RL2/IL18R1/IL18RAP/SIGIRR:likeclu:9	31	38.27	2.31	no	Immune_1
Spis10593_1	TPR_12/TPR_12/		36	17.14	2.3	no	Immune_1
Spis_XP_022803526_1	Abhydro_lipase/	lipase_F_gastric_type	49	4.77	2.3	no	Immune_1
Spis_XP_022779194_1		probable T4-type lysozyme 1	42	11.8	2.29	no	Immune_1
Spis_XP_022785860_1		uncharacterized protein LOC111326185 isoform X2	42	6.35	2.28	no	Immune_1
Spis_XP_022809957_1		uncharacterized protein LOC111346974	33	25.58	2.28	no	Immune_1
Spis_XP_022802777_1	Peptidase_C1/	cathepsin_B	63	3.43	2.23	no	Immune_1
Spis_XP_022780380_1	Homeodomain/OAR/	Homeodomains.like:PRD_OTP/PRD_PROP1	40	4.05	2.21	yes	Immune_1
Spis_XP_022786837_1		uncharacterized protein LOC111327017	35	8.18	2.18	no	Immune_1
Spis_XP_022803992_1	F-box-like/	uncharacterized protein LOC111341296 isoform X2	42	15.16	2.18	no	Immune_1
Spis_XP_022778077_1	LRR_8/LRR_1/LRR_8/	platelet glycoprotein V-like	31	14.49	2.17	no	Immune_1
Spis_XP_022795188_1		titin homolog	48	3.04	2.16	no	Immune_1
Spis_XP_022788783_1	PDZ/PDZ/	PATJ_crumbs_cell_polarity_complex_component	33	25.19	2.13	no	Immune_1
Spis_XP_022806885_1	Peptidase_C14/	uncharacterized protein LOC111343949 isoform X1	43	8.85	2.13	no	Immune_1
Spis_XP_022810481_1	HEPN_DZIP3/TPR_12/	DAZ_interacting_zinc_finger_protein_3	37	4.07	2.13	no	Immune_1
Spis_XP_022789179_1	DSPc/PTEN_C2/	phosphatase_and_tensin_homolog	41	3.67	2.11	no	Immune_1
Spis_XP_022804680_1	Lipase/	pancreatic_lipase	38	21.97	2.1	no	Immune_1
Spis_XP_022780004_1	p53-inducible11/	tumor_protein_p53_inducible_protein_11	40	4.2	2.08	no	Immune_1
Spis_XP_022803552_1	Zona_pellucida/	transforming_growth_factor_beta_receptor_3	27	4.6	2.08	no	Immune_1
Spis_XP_022785107_1	Pkinase_Tyr/	Pkinase.HG1.1:NA	30	9.06	2.07	no	Immune_1
Spis_XP_022781537_1	DEK_C/DSPc/	slingshot_protein_phosphatase_2	56	3.43	2.06	no	Immune_1
Spis_XP_022799087_1	Sortilin-Vps10/Sortilin-Vps10/Sortilin_C/PKD/PKD/	sortilin_related_VPS10_domain_containing_receptor_1	57	2.22	2.05	no	Immune_1
Spis_XP_022780695_1	TMEM173/	stimulator_of_interferon_response_cGAMP_interactor_1	30	33.33	2.04	no	Immune_1
Spis_XP_022785622_1	SH3_19/Myosin_head/PH/PH/MyTH4/FERM_M/	Myosin.HG1.6:MYO10	75	1.87	2.03	no	Immune_1
Spis_XP_022798998_1	ANF_receptor/7tm_3/	GPCR-glutamate.HG1.0:CASR/GPRC6A/TAS1R1/TAS1R2/TAS1R3	34	9.58	2.03	no	Immune_1
Spis_XP_022803635_1	Ig_3/SEA/Pkinase_Tyr/	Pkinase.HG1.1:NA	40	8.03	2.03	no	Immune_1
