aip_LOC	aip_cluster	nvec	nvec_cluster	spis	spis_cell_type	xenia	xenia_cluster
LOC110231643	NA	XP_048586564.1	NA	XP_022787220.1	NA	Xe_012187	NA
LOC110231644	NA	XP_048584663.1	NA	XP_022800096.1	NA	Xe_013608	8
LOC110231647	NA	XP_032229812.2	NA	XP_022782907.1	NA	Xe_013265	10
LOC110231651	NA	XP_048584678.1	NA	XP_022800103.1	NA	Xe_013951	NA
LOC110231652	NA	XP_048585054.1	NA	XP_022779034.1	NA	Xe_013229	NA
LOC110231653	NA	XP_032237132.1	NA	XP_022782256.1	NA	Xe_001881	14
LOC110231654	NA	XP_001640803.2	NA	XP_022783729.1	NA	Xe_013211	NA
LOC110231655	NA	XP_001627986.2	NA	XP_022799114.1	neuron_6, neuron_7, neuron_8, neuron_9, neuron_10, neuron_11, gland_6, gland_7	Xe_013172	NA
LOC110231658	NA	XP_001626346.2	NA	XP_022782903.1	NA	Xe_013146	NA
LOC110231659	NA	XP_001633268.2	NA	XP_022787127.1	NA	Xe_012313	8
LOC110231660	NA	XP_048586418.1	NA	XP_022787129.1	NA	Xe_012230	10
LOC110231661	NA	XP_032234517.2	NA	XP_022796491.1	NA	Xe_012284	NA
LOC110231662	NA	XP_032227905.1	NA	XP_022797779.1	NA	Xe_013261	NA
LOC110231679	NA	XP_001638907.3	NA	XP_022787123.1	NA	Xe_011854	NA
LOC110231680	NA	XP_001632276.1	endomesoderm.embryonic	XP_022787203.1	NA	Xe_011855	NA
LOC110231703	NA	XP_032231634.2	NA	XP_022790598.1	NA	Xe_002546	NA
LOC110231704	NA	XP_048586945.1	NA	XP_022786876.1	neuron_13	Xe_007973	NA
LOC110231706	NA	XP_001630264.2	NA	XP_022790537.1	NA	Xe_007924	NA
LOC110231708	NA	XP_032240766.1	NA	XP_022789612.1	NA	Xe_013232	NA
LOC110231715	NA	XP_048587352.1	NA	XP_022790538.1	germline_sperm	Xe_007933	14
LOC110231712	NA	XP_032234727.2	NA	XP_022797487.1	NA	Xe_003438	NA
LOC110231719	NA	XP_001626462.2	NA	XP_022793361.1	NA	Xe_007972	NA
LOC110231720	NA	XP_048587226.1	NA	XP_022790535.1	NA	Xe_008352	NA
LOC110231740	NA	XP_001627826.1	NA	XP_022800051.1	NA	Xe_021760	NA
LOC110231742	NA	XP_032236388.1	NA	XP_022799207.1	NA	Xe_021610	NA
LOC110231743	NA	XP_048581270.1	NA	XP_022788471.1	NA	Xe_021652	1, 4, 7, 14
LOC110231744	NA	XP_001641924.1	NA	XP_022788913.1	NA	Xe_022276	5, 10
LOC110231745	2	XP_001642047.1	NA	XP_022788937.1	NA	Xe_022279	1, 4, 7
LOC110231747	NA	XP_048580496.1	NA	XP_022789252.1	NA	Xe_021773	NA
LOC110231749	NA	XP_032233408.1	NA	XP_022789054.1	NA	Xe_021706	NA
LOC110231751	NA	XP_048581165.1	NA	XP_022799457.1	NA	Xe_022347	NA
LOC110231752	NA	XP_001641895.2	NA	XP_022792586.1	NA	Xe_021653	NA
LOC110231753	NA	XP_001633082.3	NA	XP_022790321.1	NA	Xe_022283	2
LOC110231756	NA	XP_032231592.1	NA	XP_022806903.1	NA	Xe_021690	3, 5, 9, 15
LOC110231761	NA	XP_001624998.3	NA	XP_022805391.1	NA	Xe_014126	NA
LOC110231762	NA	XP_001631667.1	NA	XP_022799426.1	NA	Xe_021611	NA
LOC110231763	NA	XP_048581464.1	NA	XP_022796648.1	NA	Xe_021704	NA
LOC110231766	NA	XP_032227154.2	NA	XP_022798696.1	NA	Xe_022343	NA
LOC110231769	NA	XP_001638383.1	NA	XP_022789214.1	NA	Xe_021655	NA
LOC110231779	NA	XP_032236420.1	NA	XP_022798845.1	NA	Xe_015971	NA
LOC110231786	NA	XP_032231590.1	NA	XP_022799936.1	NA	Xe_021630	NA
LOC110231787	NA	XP_032231597.2	NA	XP_022799505.1	NA	Xe_022394	NA
LOC110231790	NA	XP_048580382.1	NA	XP_022799230.1	NA	Xe_022320	10
LOC110231800	NA	XP_048587253.1	NA	XP_022786445.1	NA	Xe_008297	NA
LOC110231806	NA	XP_048577974.1	NA	XP_022810270.1	NA	Xe_010541	NA
LOC110231807	NA	XP_048577271.1	NA	XP_022795683.1	NA	Xe_010837	9
LOC110231808	NA	XP_048577318.1	NA	XP_022795597.1	NA	Xe_010392	NA
LOC110231810	NA	XP_048578230.1	NA	XP_022796521.1	NA	Xe_011212	NA
LOC110231811	NA	XP_032235452.2	NA	XP_022789859.1	neuron_13	Xe_011638	NA
LOC110231776	NA	XP_048587212.1	NA	XP_022784538.1	NA	Xe_022308	NA
LOC110231813	NA	XP_001634094.2	NA	XP_022803220.1	NA	Xe_010534	NA
LOC110231814	NA	XP_032238133.2	NA	XP_022785581.1	NA	Xe_010272	NA
LOC110231827	NA	XP_048577592.1	NA	XP_022785536.1	NA	Xe_010949	NA
LOC110231859	NA	XP_048586346.1	NA	XP_022788036.1	NA	Xe_012310	NA
LOC110231863	NA	XP_001632262.2	NA	XP_022803091.1	NA	Xe_012374	NA
LOC110231865	1, 15	XP_001633323.2	NA	XP_022803293.1	NA	Xe_012100	7, 13
LOC110231867	NA	XP_001628505.2	NA	XP_022800226.1	NA	Xe_012013	8
LOC110231871	NA	XP_032221722.1	NA	XP_022790316.1	neuron_10	Xe_012321	NA
LOC110231874	NA	XP_032221710.1	NA	XP_022794371.1	germline_sperm	Xe_012256	NA
LOC110231875	NA	XP_032219616.1	NA	XP_022792828.1	NA	Xe_012143	NA
LOC110231877	NA	XP_032221720.1	NA	XP_022790322.1	NA	Xe_012346	NA
LOC110231886	NA	XP_001630181.3	NA	XP_022792789.1	neuron_13, neuron_14	Xe_011742	NA
LOC110231896	NA	XP_001632261.1	NA	XP_022803103.1	NA	Xe_012373	NA
LOC110231897	NA	XP_001633277.2	NA	XP_022809388.1	NA	Xe_015689	NA
LOC110231899	NA	XP_048586233.1	NA	XP_022779419.1	NA	Xe_011952	2
LOC110231924	NA	XP_032240758.2	NA	XP_022782815.1	NA	Xe_007498	NA
LOC110231927	NA	XP_032228051.1	NA	XP_022802576.1	NA	Xe_007882	NA
LOC110231928	NA	XP_032231636.1	NA	XP_022782750.1	NA	Xe_007767	NA
LOC110231932	NA	XP_048586819.1	NA	XP_022782857.1	NA	Xe_007502	NA
LOC110231933	NA	XP_001625410.1	NA	XP_022782805.1	NA	Xe_021957	NA
LOC110231934	NA	XP_048587774.1	NA	XP_022803155.1	NA	Xe_008054	NA
LOC110231936	NA	XP_001626560.3	NA	XP_022796790.1	NA	Xe_008303	NA
LOC110231943	NA	XP_048587043.1	NA	XP_022786871.1	NA	Xe_008037	NA
LOC110231948	NA	XP_032240840.1	NA	XP_022790172.1	neuron_13	Xe_007462	NA
LOC110231949	NA	XP_032225929.2	NA	XP_022790167.1	NA	Xe_007901	NA
LOC110231972	NA	XP_032220072.1	NA	XP_022782844.1	NA	Xe_008247	NA
LOC110231974	NA	XP_001635376.1	NA	XP_022782818.1	NA	Xe_007501	NA
LOC110231976	NA	XP_001625400.1	NA	XP_022782807.1	NA	Xe_021958	NA
LOC110231989	NA	XP_001636333.1	NA	XP_022795304.1	NA	Xe_008573	NA
LOC110232000	NA	XP_032226983.1	NA	XP_022802725.1	NA	Xe_008428	3, 13
LOC110232002	NA	XP_001630488.2	NA	XP_022802743.1	NA	Xe_028893	NA
LOC110232003	NA	XP_001635734.2	ectoderm.embryonic	XP_022798479.1	germline_sperm	Xe_008421	7
LOC110232004	NA	XP_001632800.2	cnidocyte	XP_022789521.1	cnidocyte	Xe_008469	11
LOC110232006	NA	XP_032241276.2	NA	XP_022802742.1	NA	Xe_008446	NA
LOC110232009	NA	XP_048578546.1	NA	XP_022808440.1	NA	Xe_008608	5
LOC110231977	NA	XP_032235700.1	NA	XP_022804104.1	NA	Xe_003279	NA
LOC110232019	9, 10	XP_001635775.2	NA	XP_022798499.1	NA	Xe_008420	7
LOC110232026	NA	XP_001623784.3	NA	XP_022798495.1	NA	Xe_008419	15
LOC110232039	NA	XP_048578679.1	NA	XP_022804868.1	NA	Xe_008424	NA
LOC110232045	NA	XP_048586375.1	NA	XP_022796965.1	NA	Xe_004312	NA
LOC110232065	NA	XP_032241614.2	NA	XP_022801802.1	NA	Xe_004662	NA
LOC110232068	NA	XP_001638123.3	NA	XP_022791224.1	NA	Xe_014254	NA
LOC110232071	2	XP_032228396.2	NA	XP_022793416.1	NA	Xe_021403	NA
LOC110232072	NA	XP_001641079.1	NA	XP_022799031.1	NA	Xe_000889	NA
LOC110232074	16	XP_001634566.2	NA	XP_022791830.1	NA	Xe_000725	16
LOC110232075	NA	XP_001634567.2	NA	XP_022791827.1	germline_sperm	Xe_000723	NA
LOC110232076	NA	XP_032222318.1	ectoderm.embryonic, endomesoderm.embryonic	XP_022779276.1	NA	Xe_010185	NA
LOC110232077	NA	XP_032241027.2	NA	XP_022801421.1	NA	Xe_015552	10
LOC110232079	9	XP_032233818.2	cnidocyte	XP_022807057.1	cnidocyte	Xe_022238	11
LOC110232081	NA	XP_032222314.2	NA	XP_022779275.1	mitotic_host_cells	Xe_009599	NA
LOC110232082	NA	XP_032222357.2	NA	XP_022779305.1	NA	Xe_009600	NA
LOC110232083	NA	XP_001637887.3	NA	XP_022799434.1	NA	Xe_010133	10
LOC110232086	NA	XP_001629337.2	NA	XP_022807063.1	NA	Xe_022143	1
LOC110232092	NA	XP_001626427.1	NA	XP_022798535.1	NA	Xe_001329	10
LOC110232093	NA	XP_001635499.2	NA	XP_022801420.1	NA	Xe_015548	15
LOC110232094	NA	XP_001641580.3	NA	XP_022787564.1	NA	Xe_021866	NA
LOC110232098	NA	XP_032240306.2	NA	XP_022807060.1	NA	Xe_022139	NA
LOC110232123	NA	XP_032228401.1	NA	XP_022807066.1	NA	Xe_021404	NA
LOC110232134	NA	XP_001638177.1	NA	XP_022792236.1	NA	Xe_014653	NA
LOC110232137	NA	XP_001638124.3	NA	XP_022792857.1	NA	Xe_015515	NA
LOC110232138	NA	XP_001625168.1	NA	XP_022807073.1	NA	Xe_000820	NA
LOC110232139	NA	XP_001625170.3	NA	XP_022785331.1	NA	Xe_021824	NA
LOC110232141	NA	XP_048580044.1	NA	XP_022799046.1	germline_sperm, neuron_6	Xe_010055	NA
LOC110232142	NA	XP_032218678.1	NA	XP_022793355.1	NA	Xe_014651	1, 4, 7
LOC110232149	NA	XP_032236024.2	NA	XP_022785774.1	NA	Xe_004873	NA
LOC110232151	NA	XP_048576875.1	NA	XP_022781019.1	NA	Xe_006337	NA
LOC110232156	NA	XP_032232682.2	NA	XP_022806145.1	NA	Xe_005226	NA
LOC110232165	NA	XP_032228354.2	NA	XP_022791766.1	NA	Xe_005337	NA
LOC110232166	NA	XP_048587638.1	NA	XP_022791744.1	algae_hosting	Xe_010143	NA
LOC110232168	NA	XP_032232718.2	NA	XP_022794192.1	NA	Xe_005632	NA
LOC110232190	NA	XP_001641356.1	NA	XP_022785668.1	NA	Xe_024409	16
LOC110232175	NA	XP_001624631.2	NA	XP_022788450.1	NA	Xe_005292	NA
LOC110232192	NA	XP_001627020.2	NA	XP_022802500.1	NA	Xe_005324	NA
LOC110232193	NA	XP_001624629.1	NA	XP_022781021.1	NA	Xe_005427	10, 14
LOC110232203	NA	XP_001628650.2	NA	XP_022801650.1	NA	Xe_005212	NA
LOC110232207	NA	XP_032232694.1	NA	XP_022801639.1	NA	Xe_005210	NA
LOC110232210	NA	XP_001624633.2	NA	XP_022794792.1	NA	Xe_005284	NA
LOC110232213	NA	XP_001630403.2	NA	XP_022781372.1	NA	Xe_011273	NA
LOC110232215	NA	XP_032238757.1	NA	XP_022794783.1	NA	Xe_005272	NA
LOC110232217	NA	XP_032225196.1	ectoderm.embryonic, endomesoderm.embryonic	XP_022801645.1	NA	Xe_005213	NA
LOC110232220	NA	XP_032225197.1	NA	XP_022801646.1	NA	Xe_005214	NA
LOC110232233	13	XP_048579593.1	NA	XP_022790765.1	neuron_2	Xe_022156	NA
LOC110232240	NA	XP_001640986.2	NA	XP_022788319.1	NA	Xe_021262	NA
LOC110232242	NA	XP_032233887.1	NA	XP_022793157.1	NA	Xe_002333	NA
LOC110232244	NA	XP_032241492.2	NA	XP_022782472.1	NA	Xe_022237	NA
LOC110232245	NA	XP_001626548.1	NA	XP_022794164.1	NA	Xe_001968	NA
LOC110232248	NA	XP_048579712.1	NA	XP_022800484.1	NA	Xe_009601	NA
LOC110232250	NA	XP_001626064.1	NA	XP_022800503.1	NA	Xe_009602	10, 16
LOC110232252	NA	XP_001637839.1	NA	XP_022790794.1	NA	Xe_021271	NA
LOC110232253	NA	XP_032222432.2	NA	XP_022788271.1	NA	Xe_021261	NA
LOC110232255	NA	XP_001637908.3	NA	XP_022788281.1	NA	Xe_021527	10
LOC110232256	NA	XP_032222907.2	NA	XP_022794840.1	NA	Xe_010079	NA
LOC110232258	NA	XP_048588543.1	NA	XP_022788932.1	NA	Xe_014611	NA
LOC110232259	NA	XP_001624100.3	NA	XP_022788910.1	NA	Xe_014197	NA
LOC110232261	NA	XP_032239838.1	NA	XP_022798358.1	NA	Xe_021534	NA
LOC110232267	NA	XP_032240353.2	NA	XP_022779258.1	NA	Xe_009872	NA
LOC110232271	NA	XP_001634992.3	NA	XP_022782626.1	NA	Xe_025194	NA
LOC110232247	NA	XP_001634654.3	NA	XP_022784599.1	NA	Xe_003906	NA
LOC110232277	NA	XP_001647528.3	NA	XP_022785284.1	NA	Xe_022157	NA
LOC110232279	NA	XP_032218280.1	NA	XP_022789931.1	NA	Xe_022194	NA
LOC110232280	NA	XP_001629462.3	NA	XP_022791646.1	NA	Xe_022127	NA
LOC110232282	5	XP_001637855.1	NA	XP_022802442.1	neuron_12, neuron_13	Xe_021429	3, 5, 9, 15
LOC110232284	NA	XP_048586077.1	NA	XP_022799074.1	NA	Xe_005041	NA
LOC110232287	NA	XP_032239563.2	NA	XP_022802445.1	NA	Xe_021183	NA
LOC110232291	9	XP_032222234.1	cnidocyte	XP_022803627.1	cnidocyte	Xe_001279	11
LOC110232303	NA	XP_001634485.2	NA	XP_022794483.1	NA	Xe_009644	NA
LOC110232304	NA	XP_032239798.1	NA	XP_022791813.1	NA	Xe_009645	NA
LOC110232307	NA	XP_048580343.1	NA	XP_022803451.1	NA	Xe_000886	NA
LOC110232309	NA	XP_032239513.2	NA	XP_022806447.1	NA	Xe_021820	2, 10
LOC110232310	NA	XP_001622809.3	NA	XP_022788933.1	NA	Xe_014280	16
LOC110232311	NA	XP_032222726.1	NA	XP_022798340.1	NA	Xe_022159	NA
LOC110232312	15	XP_032241137.1	endomesoderm.embryonic	XP_022793645.1	NA	Xe_021880	NA
LOC110232313	NA	XP_001634949.3	NA	XP_022798354.1	NA	Xe_021370	NA
LOC110232321	NA	XP_048579540.1	NA	XP_022795965.1	NA	Xe_001298	NA
LOC110232324	NA	XP_001641126.2	NA	XP_022798357.1	NA	Xe_021369	NA
LOC110232326	NA	XP_001629066.1	NA	XP_022789915.1	NA	Xe_021860	10
LOC110232327	NA	XP_032238556.1	NA	XP_022782518.1	germline_sperm	Xe_009992	2, 8, 10, 12
LOC110232329	NA	XP_032233473.1	NA	XP_022807062.1	NA	Xe_022146	NA
LOC110232330	NA	XP_001641494.1	NA	XP_022791674.1	NA	Xe_022126	10
LOC110232331	NA	XP_001634983.2	NA	XP_022785350.1	NA	Xe_021393	NA
LOC110232332	NA	XP_001635900.1	NA	XP_022791669.1	NA	Xe_021522	NA
LOC110232352	NA	XP_048580153.1	NA	XP_022798341.1	NA	Xe_021842	NA
LOC110232354	NA	XP_001637910.3	NA	XP_022789948.1	NA	Xe_022192	NA
LOC110232360	NA	XP_032222736.2	NA	XP_022795960.1	NA	Xe_009734	NA
LOC110232364	NA	XP_001647547.2	NA	XP_022785283.1	NA	Xe_022129	NA
LOC110232365	NA	XP_032231585.2	NA	XP_022785314.1	NA	Xe_022128	NA
LOC110232367	NA	XP_032239506.2	NA	XP_022793652.1	germline_sperm, neuron_13	Xe_021513	NA
LOC110232369	NA	XP_032239564.2	NA	XP_022802449.1	germline_sperm	Xe_021518	NA
LOC110232370	NA	XP_001634246.2	NA	XP_022802457.1	NA	Xe_021512	NA
LOC110232338	NA	XP_032221985.2	NA	XP_022808488.1	NA	Xe_016052	NA
LOC110232384	NA	XP_048579753.1	NA	XP_022806995.1	NA	Xe_010134	NA
LOC110232391	NA	XP_048579758.1	NA	XP_022782485.1	NA	Xe_021525	NA
LOC110232395	NA	XP_048577037.1	NA	XP_022803270.1	neuron_13	Xe_021295	NA
LOC110232403	NA	XP_048580344.1	NA	XP_022787484.1	NA	Xe_009253	NA
LOC110232404	NA	XP_032233827.1	NA	XP_022803636.1	NA	Xe_009792	NA
LOC110232406	NA	XP_032222731.1	NA	XP_022795928.1	NA	Xe_009515	14
LOC110232420	NA	XP_001638539.2	NA	XP_022788387.1	NA	Xe_006276	NA
LOC110232421	NA	XP_032219184.1	NA	XP_022799800.1	NA	Xe_006275	NA
LOC110232423	NA	XP_048576591.1	NA	XP_022779560.1	germline_sperm	Xe_005410	1, 4, 7
LOC110232427	NA	XP_001625997.2	NA	XP_022798049.1	NA	Xe_005749	NA
LOC110232431	NA	XP_001632585.2	NA	XP_022796566.1	NA	Xe_005239	NA
LOC110232438	NA	XP_032220249.2	NA	XP_022796565.1	NA	Xe_005237	NA
LOC110232442	NA	XP_001633689.3	NA	XP_022779561.1	NA	Xe_005412	NA
LOC110232444	16	XP_048576639.1	NA	XP_022786672.1	NA	Xe_007026	NA
LOC110232445	NA	XP_001641857.1	NA	XP_022804305.1	NA	Xe_015729	NA
LOC110232451	NA	XP_001638473.2	NA	XP_022799794.1	NA	Xe_006286	NA
LOC110232453	NA	XP_001625998.1	NA	XP_022798059.1	NA	Xe_004238	NA
LOC110232457	NA	XP_032222640.1	NA	XP_022802691.1	NA	Xe_022188	NA
LOC110232455	NA	XP_001633992.2	NA	XP_022783339.1	NA	Xe_016032	NA
LOC110232461	NA	XP_048576396.1	NA	XP_022798054.1	NA	Xe_005578	NA
LOC110232467	NA	XP_032238819.1	NA	XP_022798062.1	NA	Xe_005677	NA
LOC110232469	NA	XP_001633680.2	NA	XP_022798063.1	NA	Xe_005680	NA
LOC110232476	NA	XP_001633679.2	NA	XP_022798987.1	NA	Xe_005678	NA
LOC110232484	NA	XP_048578592.1	NA	XP_022786543.1	NA	Xe_008131	14
LOC110232497	NA	XP_032219027.2	NA	XP_022785886.1	NA	Xe_013788	NA
LOC110232498	NA	XP_001641349.1	NA	XP_022784616.1	NA	Xe_013986	NA
LOC110232500	NA	XP_001641215.2	NA	XP_022783736.1	germline_sperm	Xe_013136	NA
LOC110232501	NA	XP_048585176.1	NA	XP_022785888.1	NA	Xe_013135	10
LOC110232502	15	XP_032222687.1	NA	XP_022783702.1	NA	Xe_013137	NA
LOC110232504	NA	XP_001635200.2	NA	XP_022785902.1	NA	Xe_013133	NA
LOC110232505	NA	XP_032240602.1	NA	XP_022785900.1	NA	Xe_013134	15
LOC110232509	NA	XP_048585350.1	NA	XP_022793624.1	NA	Xe_013050	NA
LOC110232513	NA	XP_001639757.1	NA	XP_022802903.1	NA	Xe_013170	NA
LOC110232514	NA	XP_001641312.1	gland.mucous	XP_022796634.1	NA	Xe_013968	NA
LOC110232518	NA	XP_001634785.2	NA	XP_022793637.1	germline_sperm, neuron_13	Xe_013253	NA
LOC110232519	NA	XP_032222500.2	NA	XP_022790514.1	neuron_9	Xe_013856	NA
LOC110232521	NA	XP_001639754.2	NA	XP_022779039.1	NA	Xe_013797	NA
LOC110232535	NA	XP_001636470.1	NA	XP_022787262.1	NA	Xe_015989	10, 16
