Orthogroup	aip_longest_isoforms	nvec_longest_isoform
OG0000090	XP_020912990.1, XP_028512978.1, XP_028517608.1, XP_020899465.1	XP_032240657.1, XP_032226675.2, XP_032226591.1, XP_032229314.1, XP_032234852.1, XP_032227850.1, XP_048583931.1, XP_032240658.2, XP_032227446.2, XP_032223068.2, XP_032241520.2, XP_048588358.1, XP_048584824.1, XP_032235990.1, XP_048588877.1
OG0000094	XP_020901284.1, XP_028519051.1	XP_032219552.1
OG0000094	XP_028515841.1	XP_032238256.1
OG0000094	XP_020893485.1, XP_020894168.1, XP_028518069.1	XP_001629396.1
OG0000094	XP_028512507.1, XP_028519620.1	XP_032238574.1
OG0000095	XP_020895949.1	XP_032226970.1, XP_048577299.1
OG0000095	XP_020908156.1	XP_048577095.1
OG0000096	XP_020903370.2	XP_048584327.1, XP_048586071.1, XP_048580231.1, XP_048576579.1, XP_048586813.1, XP_048581559.1, XP_048575637.1, XP_048584239.1, XP_048579077.1, XP_048575756.1, XP_048578502.1, XP_048575573.1, XP_048589255.1, XP_048576692.1, XP_048581736.1, XP_048575818.1, XP_048582245.1, XP_048583982.1, XP_048580835.1, XP_048575576.1, XP_048588040.1, XP_048589358.1, XP_048576868.1, XP_048576602.1, XP_048583469.1, XP_048580817.1, XP_048580471.1, XP_048577544.1, XP_048587500.1, XP_048579653.1, XP_048583069.1, XP_048585273.1, XP_032241217.2
OG0000097	XP_020916835.1	XP_048583486.1, XP_048589349.1
OG0000102	XP_020894114.1, XP_020907937.1, XP_020896925.1	XP_032241030.1
OG0000103	XP_020910854.2	XP_048590348.1, XP_048590349.1
OG0000104	XP_028518353.1	XP_048582129.1
OG0000106	XP_028515930.1	XP_048589564.1, XP_048584301.1, XP_048589043.1, XP_048579365.1, XP_048579055.1, XP_048579701.1, XP_048579700.1, XP_048588346.1, XP_048583971.1, XP_048579113.1
OG0000106	XP_028512605.1, XP_020900646.1	XP_048581689.1
OG0000113	XP_028519078.1	XP_048587654.1, XP_032228870.1
OG0000113	XP_028516108.1	XP_048588307.1
OG0000113	XP_020894700.1, XP_028518740.1	XP_048586205.1
OG0000113	XP_028516976.1, XP_028518738.1, XP_028514323.1, XP_028518355.1	XP_048589833.1, XP_048583718.1
OG0000114	XP_020915790.1	XP_048581886.1
OG0000114	XP_028512950.1	XP_032235722.1
OG0000114	XP_028514676.1	XP_048586207.1, XP_048582750.1
OG0000115	XP_020912349.1	XP_048581279.1
OG0000134	XP_020914072.1, XP_020892069.1	XP_032229984.2
OG0000135	XP_020892077.1	XP_001619847.2
OG0000136	XP_028518944.1, XP_020916833.2, XP_020912162.1, XP_020892306.1, XP_020896412.1, XP_028513728.1, XP_020896418.1, XP_020896377.1, XP_020896376.1, XP_020913776.2, XP_020896378.1, XP_020892987.1, XP_020896380.1, XP_020904082.1, XP_028518596.1, XP_028513746.1, XP_020896372.1, XP_020896354.2, XP_020896379.1, XP_028513718.1, XP_020896382.1, XP_020896381.1, XP_020907761.1, XP_028516988.1, XP_028512585.1, XP_020897041.1, XP_028518781.1, XP_028518780.1, XP_020906454.1	XP_001635246.2
OG0000137	XP_028515033.1, XP_020895069.2, XP_028518769.1, XP_020907931.2, XP_028515034.1, XP_028513307.1, XP_020897477.1, XP_028515024.1, XP_020901011.1, XP_020894709.1, XP_020901019.2, XP_020915486.1, XP_020912488.1, XP_028519154.1, XP_028519202.1, XP_020906423.2, XP_020911804.1, XP_020911761.1, XP_020913959.1, XP_028518574.1, XP_020899307.1, XP_020913953.1, XP_020894695.2, XP_020894568.1, XP_028518105.1, XP_020895081.1, XP_028518768.1	XP_001626634.3
OG0000138	XP_020914384.2, XP_020898269.1	XP_048588475.1
OG0000138	XP_028518373.1, XP_028516685.1, XP_028516687.1, XP_020907667.1, XP_028517264.1, XP_020911519.1, XP_028518374.1, XP_020907046.1, XP_028516686.1, XP_028516689.1, XP_028516690.1, XP_028516286.1, XP_028516688.1, XP_020897152.1, XP_028516691.1, XP_028514177.1, XP_028516696.1, XP_020912637.1	XP_048588116.1
OG0000140	XP_020914237.1	XP_048577480.1, XP_032219423.2
OG0000140	XP_028517430.1	XP_032220118.1
OG0000150	XP_020903637.1, XP_028512714.1, XP_028512715.1, XP_028512716.1, XP_020899935.1, XP_020907925.1, XP_028516924.1, XP_020907936.2, XP_020907935.2, XP_020892519.1, XP_020892547.2, XP_028512720.1, XP_020892517.2, XP_020892515.1, XP_020892548.1	XP_032231438.2, XP_032233701.2, XP_001631296.3, XP_048588537.1, XP_048588345.1
OG0000152	XP_020897702.1, XP_020897700.1, XP_020897699.1, XP_028514147.1, XP_020913517.1	XP_001631485.3
OG0000162	XP_028515205.1, XP_020901626.1	XP_032237940.2, XP_032225381.1, XP_032227500.1
OG0000163	XP_028514858.1	XP_032232756.1
OG0000163	XP_020912930.1	XP_032220365.2
OG0000163	XP_020893539.1, XP_020893184.1	XP_048586491.1
OG0000163	XP_028517451.1	XP_048582846.1
OG0000163	XP_028514287.1, XP_028514291.1	XP_032219169.2
OG0000163	XP_020897957.1	XP_032221219.2
OG0000164	XP_020908014.1	XP_048588070.1
OG0000164	XP_020898942.1	XP_001640303.2
OG0000164	XP_028515383.1, XP_020902199.1	XP_001623512.2
OG0000164	XP_020917029.1	XP_032220434.2
OG0000164	XP_020914309.1	XP_048583999.1
OG0000164	XP_020904868.1	XP_001637706.3
OG0000164	XP_020914410.2	XP_048584057.1
OG0000165	XP_020906559.1	XP_048587973.1, XP_032237984.2, XP_048587974.1
OG0000165	XP_028516681.1, XP_020907018.2, XP_020901461.1, XP_020916020.1	XP_048583480.1
OG0000165	XP_020908170.1, XP_020910129.1, XP_020901632.1, XP_020901633.1, XP_020901634.1, XP_020901630.1, XP_028515202.1	XP_032218166.2
OG0000167	XP_028518815.1, XP_028518449.1, XP_020916895.1, XP_028518811.1, XP_028518279.1, XP_020904558.1, XP_020904559.2, XP_028518390.1, XP_020912726.1, XP_028515180.1	XP_001640494.1
OG0000174	XP_020909861.1, XP_020893302.1	XP_048587454.1, XP_048576611.1, XP_048576612.1, XP_048576613.1, XP_048586637.1, XP_032228291.1
OG0000175	XP_028517102.1, XP_020911257.1, XP_028517678.1, XP_028518693.1, XP_020908467.1, XP_028517676.1, XP_028514896.1, XP_020900599.2, XP_020900589.1, XP_028514897.1, XP_020910254.1, XP_020911256.2, XP_028514895.1, XP_028517953.1, XP_020911255.2, XP_028513707.1, XP_020916592.2, XP_020916568.2, XP_020916572.1, XP_028519447.1, XP_028519448.1, XP_020907353.2, XP_020895227.1, XP_028513666.1, XP_028513717.1, XP_020898035.2	XP_032234733.1
OG0000181	XP_020897887.1	XP_001638956.3
OG0000181	XP_020911425.1	XP_048588401.1, XP_048582912.1, XP_048588343.1
OG0000181	XP_020891878.1, XP_028513247.1, XP_028519228.1	XP_048580978.1
OG0000181	XP_020903271.1, XP_028514237.1	XP_048580686.1, XP_048588082.1, XP_048586376.1
OG0000182	XP_028515545.1	XP_032223360.1
OG0000182	XP_020892711.1	XP_032220100.1
OG0000182	XP_020892708.1	XP_048587566.1
OG0000182	XP_028516529.1, XP_020901097.1	XP_048579162.1, XP_032229666.2
OG0000183	XP_020907821.2	XP_048576535.1
OG0000185	XP_020901425.1, XP_028518785.1, XP_020914010.2, XP_020904668.2	XP_048586335.1, XP_048578936.1, XP_032228947.2
OG0000195	XP_020898601.1, XP_020892246.1, XP_020910058.1, XP_020912994.1, XP_028514631.1, XP_020906394.1, XP_020895954.1, XP_020913820.1, XP_020899945.2, XP_020900351.1, XP_020911532.1	XP_048584823.1, XP_032239217.2, XP_032228215.2, XP_032231221.2, XP_032223070.1, XP_032240432.2, XP_032240656.1, XP_048588386.1, XP_048577416.1, XP_032234372.2, XP_032232734.2, XP_048579151.1, XP_032230521.2
OG0000196	XP_020897227.1	XP_048590066.1
OG0000199	XP_020906975.1	XP_001634790.2
OG0000202	XP_028515692.1	XP_032232383.2, XP_048586416.1
OG0000216	XP_020911487.1	XP_048583608.1
OG0000216	XP_020910275.1, XP_028515637.1, XP_028513978.1	XP_048588591.1, XP_048587356.1, XP_048587749.1, XP_048577718.1, XP_048582201.1
OG0000217	XP_020909541.1	XP_048579336.1
OG0000219	XP_020898871.1	XP_032238044.2
OG0000222	XP_028516023.1, XP_020903521.2	XP_048590404.1, XP_001638430.1
OG0000223	XP_020904713.1	XP_048577402.1, XP_048577399.1, XP_048577406.1, XP_048577401.1, XP_048577404.1, XP_048578079.1, XP_048578191.1, XP_048577405.1, XP_048577400.1, XP_048577403.1, XP_032228127.1, XP_048577408.1, XP_048577301.1, XP_048577413.1, XP_048577277.1, XP_048577415.1, XP_048578008.1, XP_048577297.1, XP_048577412.1, XP_048577303.1, XP_048577304.1, XP_048577865.1, XP_048578015.1
OG0000224	XP_028517582.1, XP_020906331.2, XP_028519346.1, XP_020916260.1, XP_020917808.2, XP_028512777.1, XP_020909976.2, XP_028519358.1, XP_028519356.1, XP_028517748.1, XP_020910250.1	XP_048587220.1
OG0000224	XP_028518709.1	XP_032220088.2
OG0000225	XP_020913159.1	XP_048575891.1
OG0000226	XP_028513812.1	XP_032240735.2
OG0000235	XP_020893155.1	XP_001622151.1
OG0000235	XP_020905336.1	XP_001636833.2
OG0000235	XP_020898998.1, XP_020898955.1, XP_028514622.1, XP_020914753.1, XP_028514621.1, XP_028519641.1, XP_028514629.1, XP_020899578.1, XP_020892651.1, XP_020899579.1	XP_032220755.1
OG0000236	XP_020907135.1	XP_032218877.1
OG0000236	XP_020892673.1	XP_048587847.1
OG0000236	XP_020907122.1	XP_032239920.2
OG0000236	XP_020907271.1	XP_032235763.1
OG0000236	XP_020898010.1	XP_032235733.1
OG0000238	XP_020899844.1, XP_028514709.1	XP_048584429.1
OG0000239	XP_028519094.1	XP_032228118.2
OG0000239	XP_020910827.1, XP_028513986.1, XP_028515742.1	XP_048588638.1, XP_048576978.1, XP_032219840.1, XP_048581370.1, XP_048581373.1
OG0000240	XP_020912095.1, XP_028517645.1, XP_020912094.1, XP_020907946.1	XP_032225355.2, XP_048583324.1, XP_048577012.1, XP_032241547.2, XP_048589702.1, XP_048584427.1, XP_048582953.1, XP_048584485.1
OG0000241	XP_020909539.1	XP_048585435.1, XP_048585434.1, XP_048580703.1
OG0000242	XP_020914198.1, XP_028515220.1	XP_032235309.2
OG0000244	XP_028514202.1, XP_028517625.1	XP_048580481.1
OG0000256	XP_020912518.1, XP_020892199.1	XP_032232807.1, XP_048590106.1
OG0000256	XP_028516851.1	XP_001636910.3, XP_001635715.2, XP_048586427.1
OG0000256	XP_020898085.1	XP_032223461.1
OG0000256	XP_020894795.2, XP_020897186.1	XP_032230428.1
OG0000257	XP_020913118.1, XP_020896923.1, XP_020896799.1, XP_020896924.1, XP_020917666.1, XP_020899546.1, XP_020916527.1, XP_020893577.1, XP_020906583.1	XP_001640367.1, XP_001619715.1, XP_048576880.1, XP_032232850.1, XP_032238438.1, XP_032225150.1, XP_001622257.2
OG0000257	XP_020894113.1	XP_001638460.2, XP_032237529.2
OG0000259	XP_020910116.1, XP_020912148.1, XP_020905371.1, XP_020896434.2, XP_020900852.1, XP_028517639.1, XP_020896426.1, XP_020912849.1, XP_028516192.1	XP_048578368.1, XP_048578597.1
OG0000260	XP_020898215.1	XP_001629173.1
OG0000260	XP_020904963.1, XP_020913831.2	XP_048584459.1
OG0000261	XP_020899851.1	XP_001632008.1
OG0000261	XP_020899850.1	XP_048576882.1
OG0000261	XP_028512470.1	XP_001636043.1
OG0000262	XP_020900197.1, XP_028514797.1	XP_032229313.2, XP_048586682.1
OG0000262	XP_020909245.1	XP_001625906.3
OG0000263	XP_020901597.1	XP_048589886.1
OG0000263	XP_020906120.2	XP_048590127.1
OG0000263	XP_020901587.1	XP_048589984.1
OG0000264	XP_020912011.1	XP_048588382.1, XP_048588381.1, XP_048579042.1, XP_048579043.1, XP_048583847.1, XP_048583485.1, XP_032238885.2, XP_048577296.1, XP_048581405.1, XP_048583266.1
OG0000264	XP_020909001.1	XP_048585312.1, XP_048582217.1, XP_048577856.1, XP_048588893.1, XP_048587295.1
OG0000265	XP_020917365.1	XP_001635917.3
OG0000265	XP_020911950.1	XP_001640250.3
OG0000265	XP_020911955.1	XP_048587487.1
OG0000265	XP_028516626.1	XP_048581533.1, XP_048581531.1, XP_048581534.1, XP_048580699.1
OG0000266	XP_028518941.1, XP_020916296.2, XP_028517312.1, XP_020914891.2	XP_048576640.1, XP_032223642.2
OG0000267	XP_028517559.1	XP_048576488.1, XP_048586730.1, XP_048577118.1, XP_048589791.1, XP_048588957.1, XP_048579056.1, XP_048588398.1, XP_048578759.1, XP_048582039.1, XP_048585582.1, XP_048575584.1, XP_048590137.1, XP_048579652.1, XP_048584051.1, XP_048579747.1, XP_048585760.1, XP_032226143.1, XP_048577058.1, XP_048577705.1, XP_048576946.1, XP_048576254.1
OG0000273	XP_020915224.1, XP_028515631.1, XP_020910819.1, XP_020914458.1, XP_028516987.1, XP_020891857.1	XP_032226592.2, XP_032234851.1, XP_048588389.1, XP_048589481.1, XP_048583930.1, XP_048583960.1, XP_032235740.2, XP_048588870.1
OG0000274	XP_020908218.1	XP_001639806.1
OG0000274	XP_020916456.1, XP_020902435.1, XP_020902439.1, XP_020902438.1	XP_001640893.3, XP_001640891.2, XP_048586574.1
OG0000276	XP_020894131.1, XP_020894133.1	XP_032238799.2
OG0000276	XP_020897759.1	XP_032233196.2
OG0000276	XP_028515210.1, XP_020896572.1	XP_048575329.1, XP_001635889.1, XP_001631550.1, XP_032221834.2
OG0000276	XP_020910935.1, XP_028517879.1	XP_032238546.1
OG0000277	XP_020896208.1, XP_020901913.1	XP_048577682.1, XP_048577671.1, XP_048577678.1, XP_048577681.1, XP_048577674.1
OG0000278	XP_020898528.1	XP_048589970.1, XP_048582656.1, XP_032233880.1, XP_048587489.1
OG0000279	XP_020900177.2	XP_032221057.1
OG0000280	XP_028519119.1	XP_048587737.1, XP_048577021.1, XP_032225162.2, XP_048577010.1, XP_048578034.1, XP_048586408.1, XP_048578270.1, XP_048577011.1, XP_032235493.1, XP_048583530.1, XP_048577020.1
OG0000281	XP_020902909.1, XP_020914804.1	XP_032237160.1, XP_001635316.2, XP_001625497.2
OG0000282	XP_028516911.1	XP_048577816.1
OG0000291	XP_020892010.2, XP_020894039.1, XP_020894026.1, XP_028514309.1, XP_020913131.1, XP_020913133.2, XP_028514265.1, XP_020913132.1, XP_028514208.1, XP_020894023.1, XP_020894024.1, XP_020897796.2, XP_020897785.1, XP_020901728.1, XP_020916610.1, XP_020893501.1, XP_020913135.1, XP_020898113.1	XP_048590327.1, XP_048576594.1
OG0000292	XP_020912909.2, XP_020905840.2, XP_028516314.1, XP_028516315.1, XP_028516316.1, XP_028516313.1	XP_001628572.1, XP_048577417.1, XP_032221474.2
OG0000292	XP_020892170.2, XP_020905846.2, XP_028516317.1, XP_020905844.2, XP_028516321.1, XP_028516318.1, XP_020905851.2, XP_028516320.1, XP_028516319.1, XP_020899780.2	XP_032232947.2
OG0000294	XP_020893059.1	XP_048579829.1
OG0000294	XP_020916498.1	XP_001630583.1, XP_032239984.1, XP_001630039.1
OG0000294	XP_020901517.1, XP_020916414.1	XP_048576268.1
OG0000299	XP_020908960.1	XP_048584711.1
OG0000299	XP_028515362.1	XP_048585989.1
OG0000300	XP_020902748.2	XP_001633970.1
OG0000301	XP_020898946.1	XP_001639867.2
OG0000301	XP_020905484.1	XP_032242825.2
OG0000301	XP_020898924.1	XP_048580479.1
OG0000302	XP_020903065.1	XP_048576561.1, XP_048576559.1, XP_032231190.1
OG0000303	XP_028516101.1, XP_020905018.1, XP_020905020.1	XP_032240168.1, XP_032240167.1
OG0000303	XP_020911082.1	XP_048584679.1
OG0000303	XP_020917853.1	XP_032243163.2
OG0000303	XP_020905019.1	XP_032240166.1
OG0000304	XP_020905106.1	XP_048584093.1, XP_048583719.1
OG0000305	XP_020905544.1	XP_032223292.2
OG0000305	XP_020908663.1	XP_032234662.1
OG0000305	XP_020908139.1	XP_032220973.1, XP_048584930.1
OG0000306	XP_020908844.2, XP_028517226.1, XP_028517199.1	XP_048586482.1
OG0000325	XP_020909909.1, XP_020892153.1, XP_028518325.1	XP_048578959.1, XP_048590562.1
OG0000326	XP_020895610.1, XP_020892972.1, XP_020893918.1	XP_001633623.3, XP_048576482.1
OG0000329	XP_020894515.1	XP_032227723.2, XP_048590709.1, XP_048585958.1, XP_048575940.1, XP_048580145.1, XP_048586797.1, XP_048575927.1, XP_048584147.1, XP_048578014.1
OG0000331	XP_020898266.1	XP_001630453.1
OG0000331	XP_020907428.1	XP_001634642.1
OG0000331	XP_020916497.1, XP_020916455.1	XP_001627263.3
OG0000333	XP_020907808.1, XP_020911926.1, XP_020905078.2, XP_020898822.1, XP_020904105.1	XP_048589478.1, XP_048582277.1, XP_048582097.1
OG0000334	XP_020917371.1	XP_048579741.1
OG0000334	XP_020899146.1	XP_032220860.2, XP_032225117.2
OG0000334	XP_028517558.1	XP_048583275.1, XP_032223965.1, XP_032227460.2, XP_048576222.1
OG0000336	XP_028515571.1, XP_028516207.1, XP_028515587.1, XP_028515391.1, XP_020904000.1, XP_020899790.1, XP_020909058.2, XP_028517912.1, XP_020907579.1, XP_020900089.1, XP_020905892.1, XP_020916964.1, XP_028513303.1	XP_048577070.1, XP_048589973.1
OG0000336	XP_028516456.1	XP_048587126.1
OG0000337	XP_020917204.2	XP_048589969.1
OG0000337	XP_020901251.1	XP_048575424.1
OG0000337	XP_020910122.1	XP_048578517.1
OG0000338	XP_020902227.1, XP_028515392.1, XP_020913963.1, XP_020913962.1, XP_020914546.1, XP_028518927.1, XP_028518928.1, XP_028518728.1, XP_028518915.1, XP_020913791.1, XP_028518926.1, XP_028518730.1, XP_028518733.1	XP_048586049.1
OG0000338	XP_028518770.1, XP_028518085.1, XP_028515396.1	XP_048581120.1
OG0000342	XP_020917673.1, XP_020916494.1	XP_032234514.1, XP_032236014.2, XP_032219263.2, XP_032228859.1
OG0000354	XP_020904561.1, XP_028517307.1, XP_020917129.1, XP_020900433.1, XP_020917517.2, XP_020915405.1, XP_020892726.1, XP_028515738.1, XP_028517306.1, XP_020917058.1, XP_020903282.1, XP_020917059.1, XP_028517305.1	XP_048586816.1, XP_032233563.2, XP_001635379.3, XP_048580272.1, XP_001639582.3
OG0000355	XP_020903612.1	XP_001637285.1
OG0000355	XP_028512817.1, XP_020912745.1	XP_048582195.1
OG0000355	XP_020912754.1, XP_020892831.2, XP_020912733.1	XP_001624324.2
OG0000356	XP_028514784.1, XP_020900060.1, XP_020900061.1, XP_020900141.1	XP_032220154.2
OG0000356	XP_020892989.1, XP_020893005.1	XP_032220152.2, XP_048576827.1
OG0000357	XP_020895178.1	XP_048588781.1, XP_048588775.1
OG0000359	XP_020896853.1	XP_001635714.1
OG0000359	XP_028513787.1	XP_001635843.2
OG0000359	XP_020913826.1, XP_028513788.1, XP_020897463.1, XP_028513779.1	XP_032222905.1, XP_048579994.1, XP_001641628.2
OG0000360	XP_020897104.1, XP_020903809.1	XP_048590046.1, XP_048590704.1, XP_048590555.1, XP_048590701.1, XP_048590698.1, XP_048590696.1, XP_048590711.1, XP_048589962.1, XP_048590707.1, XP_048590694.1, XP_048587989.1, XP_048588019.1, XP_048588003.1, XP_048587993.1, XP_048588018.1, XP_048577913.1
OG0000361	XP_020898205.1, XP_028514256.1, XP_028516699.1, XP_028516324.1, XP_020898204.2	XP_032226345.1
OG0000362	XP_020907081.1, XP_020915719.1, XP_020915448.1, XP_028514406.1, XP_028514294.1	XP_048584915.1, XP_048582196.1
OG0000363	XP_028515339.1	XP_048578687.1
OG0000364	XP_020898921.1, XP_020917079.2	XP_048575931.1, XP_048575934.1, XP_048587313.1
OG0000365	XP_028515132.1	XP_048581205.1, XP_048581750.1, XP_001629146.2, XP_048581558.1
OG0000365	XP_020901472.1	XP_001631687.2
OG0000365	XP_020901144.2	XP_001634484.3
OG0000366	XP_028517561.1, XP_028515693.1, XP_020903356.1, XP_028515696.1, XP_020903357.2, XP_028517562.1, XP_028517563.1, XP_020909932.2	XP_048581788.1
OG0000367	XP_020903473.1	XP_001632667.3
OG0000369	XP_020908595.1, XP_020912293.1, XP_020907058.1, XP_020907077.1, XP_020908577.2, XP_020904355.1, XP_028516701.1, XP_020908602.2, XP_028513993.1, XP_028513613.1, XP_028515836.1, XP_028515824.1, XP_028518395.1, XP_020912718.1, XP_028518385.1, XP_028513808.1, XP_020907074.1	XP_048585299.1
OG0000370	XP_028515981.1, XP_020906773.1, XP_020912870.1	XP_048577088.1, XP_048576061.1, XP_048576054.1, XP_048575961.1
OG0000372	XP_020908892.1, XP_020908702.1, XP_020909631.2	XP_048581792.1
OG0000373	XP_020911113.2	XP_048586737.1, XP_048586617.1, XP_048586883.1, XP_048589690.1, XP_048581904.1
OG0000374	XP_020911919.1, XP_028518334.1	XP_048583328.1
OG0000374	XP_028519093.1	XP_048578237.1, XP_048583372.1, XP_048576867.1, XP_032219177.2, XP_048578932.1, XP_032225287.2, XP_048589280.1
OG0000375	XP_020913511.1	XP_032220191.1
OG0000375	XP_028516845.1	XP_048587672.1
OG0000376	XP_020915560.1	XP_001632576.3
OG0000379	XP_028514704.1	XP_048587788.1
OG0000379	XP_028519195.1	XP_048586236.1, XP_048586684.1
OG0000381	XP_028518991.1	XP_048582081.1
OG0000402	XP_020892040.1, XP_020892049.1, XP_020892050.1, XP_020892066.1, XP_028512537.1, XP_020892047.1	XP_032238181.2, XP_032238182.1, XP_032237689.1, XP_032237708.1
OG0000402	XP_020897381.1	XP_032227339.2
OG0000403	XP_028512997.1	XP_048582694.1
OG0000403	XP_020892901.1, XP_020893525.1, XP_020912676.1	XP_048580360.1
OG0000403	XP_028514445.1	XP_001641114.3
OG0000404	XP_020893097.1	XP_001626520.3
OG0000404	XP_020914520.2	XP_032233729.2, XP_032239024.2
