Orthogroup	aip_longest_isoforms	xenia_longest_isoforms
OG0000039	XP_020909873.1, XP_028514906.1	Xe_025402-T1
OG0000039	XP_028517518.1, XP_028515588.1	Xe_016238-T1, Xe_004328-T1, Xe_016236-T1, Xe_016248-T1, Xe_016125-T1, Xe_009800-T1, Xe_016259-T1, Xe_016263-T1, Xe_025403-T1, Xe_015918-T1, Xe_017319-T1, Xe_012840-T1, Xe_027110-T1, Xe_015906-T1, Xe_015913-T1, Xe_015835-T1, Xe_015836-T1, Xe_016118-T1, Xe_016224-T1, Xe_015834-T1, Xe_016251-T1, Xe_016241-T1, Xe_016121-T1, Xe_016120-T1, Xe_016229-T1, Xe_016223-T1, Xe_015917-T1, Xe_016239-T1, Xe_016250-T1, Xe_016124-T1, Xe_016117-T1, Xe_016122-T1, Xe_015907-T1, Xe_016261-T1, Xe_016225-T1, Xe_016230-T1, Xe_016260-T1, Xe_016231-T1, Xe_016226-T1
OG0000044	XP_028516010.1, XP_020911103.1, XP_020897277.2, XP_020907890.2, XP_020912868.2, XP_020912861.2, XP_020902857.2, XP_028518447.1, XP_028515600.1, XP_020916653.2, XP_020900414.2, XP_020907891.1, XP_028517870.1, XP_028517873.1, XP_020907884.2, XP_028519493.1, XP_028518810.1, XP_028518448.1, XP_028514228.1, XP_020907892.1, XP_020907893.1, XP_028516009.1	Xe_002591-T1
OG0000047	XP_020895754.1	Xe_010806-T1, Xe_016221-T1, Xe_001994-T1, Xe_024780-T1, Xe_005714-T1, Xe_018294-T1, Xe_017060-T1, Xe_015338-T1, Xe_024278-T1, Xe_024491-T1, Xe_020194-T1, Xe_000101-T1, Xe_025320-T1, Xe_022440-T1, Xe_023333-T1, Xe_017911-T1, Xe_017321-T1, Xe_029157-T1, Xe_028849-T1, Xe_029168-T1, Xe_022891-T1, Xe_023941-T1, Xe_023939-T1, Xe_028574-T1, Xe_007074-T1, Xe_028522-T1, Xe_026161-T1, Xe_028506-T1, Xe_004092-T1, Xe_026929-T1, Xe_025481-T1, Xe_010787-T1, Xe_006541-T1, Xe_013510-T1, Xe_024551-T1, Xe_029052-T1, Xe_007523-T1, Xe_015923-T1, Xe_028577-T1, Xe_000072-T1, Xe_018062-T1, Xe_007017-T1, Xe_001943-T1, Xe_027822-T1, Xe_027772-T1
OG0000048	XP_020897096.1	Xe_010319-T1, Xe_010700-T1, Xe_010349-T1, Xe_010710-T1, Xe_010681-T1, Xe_010325-T1, Xe_010337-T1, Xe_010338-T1, Xe_010676-T1, Xe_010333-T1, Xe_010703-T1, Xe_010336-T1, Xe_010682-T1, Xe_010701-T1, Xe_010320-T1, Xe_025469-T1, Xe_010356-T1, Xe_010687-T1, Xe_010672-T1, Xe_010348-T1, Xe_010329-T1, Xe_010352-T1, Xe_010695-T1, Xe_010678-T1, Xe_010706-T1, Xe_010315-T1, Xe_010716-T1, Xe_010709-T1, Xe_010324-T1, Xe_010685-T1, Xe_010342-T1, Xe_010708-T1, Xe_010354-T1, Xe_010317-T1, Xe_010335-T1, Xe_010702-T1, Xe_010323-T1, Xe_010674-T1, Xe_010688-T1, Xe_010686-T1, Xe_010355-T1, Xe_010673-T1, Xe_010334-T1
OG0000053	XP_020903072.1	Xe_006883-T1, Xe_006910-T1, Xe_028526-T1, Xe_028537-T1, Xe_028550-T1, Xe_028545-T1, Xe_028553-T1, Xe_028524-T1, Xe_006864-T1, Xe_006865-T1, Xe_006863-T1, Xe_016683-T1, Xe_019198-T1, Xe_018918-T1, Xe_020330-T1, Xe_018720-T1, Xe_027600-T1, Xe_000786-T1, Xe_016328-T1, Xe_020914-T1, Xe_008566-T1, Xe_008569-T1, Xe_018651-T1, Xe_010130-T1, Xe_006874-T1, Xe_006913-T1, Xe_006866-T1, Xe_028540-T1, Xe_028549-T1, Xe_028516-T1, Xe_028556-T1, Xe_006880-T1, Xe_006907-T1, Xe_028507-T1, Xe_028529-T1, Xe_007072-T1, Xe_028511-T1, Xe_028533-T1, Xe_028508-T1, Xe_028543-T1, Xe_006915-T1
OG0000054	XP_020911923.1, XP_020908723.1, XP_020905899.2, XP_020911892.1, XP_028518526.1, XP_028518327.1	Xe_021390-T1, Xe_028612-T1, Xe_017779-T1, Xe_017152-T1, Xe_028294-T1, Xe_028247-T1, Xe_028265-T1, Xe_020256-T1, Xe_029124-T1, Xe_025192-T1, Xe_025167-T1, Xe_025875-T1, Xe_025876-T1, Xe_027777-T1, Xe_026407-T1, Xe_007020-T1, Xe_011185-T1, Xe_027236-T1, Xe_018279-T1, Xe_023998-T1, Xe_022825-T1, Xe_019415-T1, Xe_028752-T1, Xe_007346-T1, Xe_023145-T1, Xe_006377-T1, Xe_017631-T1, Xe_029107-T1, Xe_029097-T1, Xe_000678-T1, Xe_009750-T1, Xe_023722-T1, Xe_028291-T1, Xe_015848-T1, Xe_023888-T1
OG0000061	XP_028518578.1	Xe_005814-T1, Xe_001169-T1, Xe_005821-T1, Xe_001172-T1, Xe_001176-T1, Xe_001175-T1, Xe_001179-T1, Xe_001170-T1, Xe_001178-T1, Xe_001174-T1, Xe_001177-T1, Xe_014056-T1, Xe_014058-T1, Xe_014060-T1, Xe_014054-T1, Xe_005840-T1, Xe_005793-T1, Xe_005813-T1, Xe_005823-T1, Xe_005810-T1, Xe_005820-T1, Xe_005826-T1, Xe_005816-T1, Xe_005791-T1, Xe_005944-T1, Xe_005817-T1, Xe_005947-T1, Xe_005808-T1, Xe_005945-T1, Xe_005946-T1, Xe_005838-T1, Xe_005839-T1, Xe_005818-T1, Xe_005824-T1, Xe_005822-T1, Xe_005825-T1, Xe_005792-T1, Xe_005815-T1, Xe_005812-T1, Xe_005837-T1, Xe_001333-T1
OG0000064	XP_020909418.1, XP_020905080.1, XP_020917218.1, XP_020916850.1, XP_028514288.1, XP_020916851.1, XP_028514276.1, XP_028514285.1, XP_020917219.1, XP_028514297.1, XP_028513671.1, XP_020894420.1, XP_020894419.1	Xe_018287-T1, Xe_018289-T1, Xe_009458-T1, Xe_009454-T1, Xe_009551-T1, Xe_009466-T1, Xe_009450-T1, Xe_009451-T1, Xe_009552-T1, Xe_009447-T1, Xe_009467-T1, Xe_009470-T2, Xe_009470-T1, Xe_009460-T1, Xe_009464-T1
OG0000069	XP_028518134.1, XP_020910806.1, XP_020916532.1, XP_020906925.1, XP_020912512.1, XP_020904589.1	Xe_029091-T1, Xe_029066-T1, Xe_026490-T1
OG0000069	XP_020905629.1, XP_020905881.2, XP_028513436.1, XP_020915404.1, XP_020899018.1, XP_020907805.1, XP_020916362.1, XP_020911659.1	Xe_028827-T1, Xe_029149-T1, Xe_029155-T1, Xe_029125-T1, Xe_028909-T1, Xe_028823-T1, Xe_020175-T1, Xe_022538-T1, Xe_013331-T1, Xe_019569-T1, Xe_024590-T1, Xe_024197-T1, Xe_025533-T1, Xe_003984-T1, Xe_001937-T1, Xe_004121-T1, Xe_004114-T1, Xe_024347-T1, Xe_009573-T1
OG0000072	XP_020895817.1, XP_028516946.1, XP_020916515.2, XP_020892017.2, XP_028512557.1, XP_020907898.1	Xe_023267-T1, Xe_023661-T1, Xe_023452-T1, Xe_023662-T1
OG0000073	XP_020901367.1	Xe_016621-T1, Xe_028200-T1, Xe_022589-T1, Xe_022562-T1, Xe_028352-T1, Xe_028178-T1, Xe_028199-T1, Xe_010375-T1, Xe_028128-T1, Xe_022587-T1, Xe_022591-T1, Xe_010359-T1, Xe_016651-T1, Xe_010370-T1, Xe_028126-T1, Xe_028353-T1, Xe_010360-T1, Xe_028157-T1, Xe_028206-T1, Xe_028169-T1, Xe_028198-T1, Xe_028148-T1, Xe_028213-T1, Xe_028190-T1, Xe_028140-T1, Xe_010378-T1, Xe_028346-T1, Xe_028217-T1, Xe_028127-T1, Xe_022557-T1, Xe_028137-T1, Xe_028207-T1, Xe_028158-T1, Xe_028220-T1
OG0000074	XP_028518193.1	Xe_025329-T1, Xe_009068-T1, Xe_002733-T1, Xe_029115-T1, Xe_021105-T1, Xe_010232-T1, Xe_007232-T1, Xe_022648-T1, Xe_011206-T1, Xe_027526-T1, Xe_020164-T1, Xe_018143-T1, Xe_027086-T1, Xe_022819-T1, Xe_017454-T1, Xe_026377-T1, Xe_026790-T1, Xe_022781-T1, Xe_022778-T1, Xe_023656-T1, Xe_001102-T1, Xe_018857-T1, Xe_020198-T1, Xe_006662-T1, Xe_019246-T1, Xe_020165-T1, Xe_027085-T1, Xe_023751-T1, Xe_017044-T1, Xe_017525-T1, Xe_020115-T1, Xe_007233-T1, Xe_027793-T1, Xe_027786-T1, Xe_019245-T1, Xe_026378-T1, Xe_020985-T1
OG0000079	XP_028514161.1, XP_020897674.2, XP_020916218.1, XP_028518127.1, XP_020910066.1, XP_020905036.2, XP_028513360.1, XP_020914374.1, XP_028514697.1, XP_020907589.1, XP_028514699.1, XP_020907621.1, XP_028514159.1, XP_020909871.1, XP_020912547.1, XP_020896997.1, XP_020900778.1, XP_028515003.1, XP_028518245.1, XP_028519236.1, XP_028519237.1, XP_020900952.2, XP_028514671.1, XP_020893527.1, XP_028514937.1, XP_020893728.1, XP_028516893.1, XP_020895688.1, XP_028515311.1, XP_028518122.1, XP_020907268.1	Xe_017724-T1
OG0000080	XP_020897888.1	Xe_013876-T1
OG0000080	XP_020907333.1, XP_020895988.1, XP_020916263.1, XP_020894115.1, XP_020896180.1, XP_020917549.1, XP_020893578.1, XP_020906584.1	Xe_001264-T1
OG0000081	XP_020893966.1	Xe_008902-T1, Xe_008910-T1, Xe_009030-T1, Xe_008922-T1, Xe_008935-T1, Xe_008937-T1, Xe_008931-T1, Xe_008914-T1, Xe_008896-T1, Xe_009038-T1, Xe_008911-T1, Xe_008903-T1, Xe_008950-T1, Xe_008923-T1, Xe_008938-T1, Xe_008932-T1, Xe_008918-T1, Xe_008897-T1, Xe_008906-T1, Xe_009035-T1, Xe_008898-T1, Xe_024388-T1, Xe_008928-T1, Xe_022010-T1, Xe_027847-T1, Xe_008916-T1, Xe_009833-T1, Xe_008917-T1, Xe_006653-T1, Xe_008913-T1, Xe_008590-T1, Xe_009025-T1, Xe_007256-T1, Xe_006637-T1
OG0000082	XP_028515843.1, XP_020908377.1, XP_028516724.1	Xe_026901-T1, Xe_014186-T1
OG0000082	XP_028517251.1	Xe_025360-T1, Xe_006246-T1, Xe_008001-T1
OG0000085	XP_020914090.1	Xe_009864-T1
OG0000085	XP_020896491.1, XP_020903492.1, XP_020911353.1, XP_020907443.1, XP_020893194.1, XP_020895778.1	Xe_009863-T1
OG0000085	XP_020914091.1	Xe_009867-T1
OG0000088	XP_020914552.1, XP_028518450.1, XP_028513092.1	Xe_017406-T1
OG0000088	XP_020902114.1, XP_020902155.2, XP_028515347.1, XP_020893402.2, XP_020893406.1, XP_020902122.1, XP_020902154.1, XP_020896482.1	Xe_017402-T1, Xe_017447-T1, Xe_017398-T1, Xe_017399-T1, Xe_017401-T1, Xe_017400-T1, Xe_017488-T1, Xe_017469-T1, Xe_027980-T1
OG0000089	XP_020916224.1	Xe_003102-T1
OG0000089	XP_020906581.1, XP_020899533.1, XP_020913117.1	Xe_014274-T1, Xe_013895-T1
OG0000090	XP_020905107.1, XP_020894078.1, XP_028519091.1, XP_028518942.1, XP_020908130.2, XP_028516393.1, XP_020912990.1, XP_028512978.1, XP_028517608.1, XP_020899465.1	Xe_001792-T1
OG0000094	XP_020911362.1, XP_020901284.1, XP_028519051.1, XP_028516900.1, XP_028515841.1, XP_020917148.1, XP_020893485.1, XP_020894168.1, XP_028518069.1, XP_028512507.1, XP_028519620.1	Xe_003703-T1, Xe_026504-T1, Xe_026120-T1, Xe_022992-T1
OG0000095	XP_028517911.1, XP_020895949.1, XP_028516200.1, XP_020914447.1, XP_028516199.1, XP_020914501.1, XP_020897321.1, XP_028517300.1, XP_028518208.1, XP_020901607.1, XP_028519733.1, XP_020905319.1, XP_020908156.1, XP_020908380.1, XP_028516457.1	Xe_026450-T1
OG0000097	XP_028515485.1, XP_020911538.2, XP_028514515.1, XP_028513403.1, XP_020909917.1, XP_028518341.1, XP_028516288.1, XP_020916835.1, XP_020913704.2, XP_020912962.1	Xe_027773-T1
OG0000102	XP_020894114.1, XP_020907937.1, XP_020896925.1	Xe_003885-T1, Xe_004668-T1
OG0000104	XP_028518353.1	Xe_023342-T1, Xe_026617-T1, Xe_006399-T1, Xe_018355-T1, Xe_023965-T1, Xe_026618-T1, Xe_023341-T1, Xe_025226-T1, Xe_025954-T1, Xe_025312-T1, Xe_023340-T1, Xe_024495-T1, Xe_018903-T1, Xe_024351-T1, Xe_026616-T1, Xe_023963-T1, Xe_025953-T1, Xe_018354-T1, Xe_023344-T1, Xe_023836-T1, Xe_025227-T1, Xe_028720-T1, Xe_017903-T1, Xe_019316-T1, Xe_018356-T1, Xe_023343-T1, Xe_023835-T1, Xe_023964-T1, Xe_019317-T1
OG0000114	XP_020912163.1, XP_020897506.1, XP_020897508.1, XP_028514066.1, XP_028514063.1, XP_020897520.1, XP_020897507.1, XP_028514064.1, XP_020897511.1, XP_020912161.2, XP_028512637.1, XP_020907427.1, XP_020915810.1, XP_028512629.1, XP_020897512.1, XP_020901638.1, XP_020916805.2, XP_028513028.1, XP_020915790.1, XP_028512950.1, XP_028514676.1	Xe_000928-T1
OG0000115	XP_020912349.1, XP_020912346.1, XP_020914506.1, XP_020916607.1, XP_020912345.1, XP_020916604.1, XP_020897608.2, XP_028518523.1, XP_020916605.1, XP_020908675.1, XP_020913137.1, XP_020912347.1, XP_020913140.2, XP_020914505.1	Xe_006330-T1
OG0000125	XP_028517096.1	Xe_028041-T1, Xe_028043-T1, Xe_023227-T1, Xe_027751-T1, Xe_027737-T1, Xe_027818-T1, Xe_027799-T1, Xe_028030-T1, Xe_028028-T1, Xe_028026-T1, Xe_028025-T1, Xe_028027-T1, Xe_028029-T1, Xe_027734-T1, Xe_027712-T1, Xe_027750-T1, Xe_028002-T1, Xe_027817-T1, Xe_025498-T1, Xe_027759-T1, Xe_027991-T1, Xe_028000-T1, Xe_022695-T1, Xe_017484-T2, Xe_017482-T1, Xe_023277-T1, Xe_025494-T1, Xe_027224-T1, Xe_027226-T1, Xe_027225-T1
OG0000138	XP_028518375.1, XP_020908955.1, XP_020914384.2, XP_020898269.1, XP_028518373.1, XP_028516685.1, XP_028516687.1, XP_020907667.1, XP_028517264.1, XP_020911519.1, XP_028518374.1, XP_020907046.1, XP_028516686.1, XP_028516689.1, XP_028516690.1, XP_028516286.1, XP_028516688.1, XP_020897152.1, XP_028516691.1, XP_028514177.1, XP_028516696.1, XP_020912637.1, XP_020903547.1, XP_028513152.1, XP_028514744.1, XP_028518372.1, XP_020903546.2	Xe_025214-T1
OG0000139	XP_020909681.1	Xe_012590-T1
OG0000140	XP_020914237.1	Xe_016402-T1, Xe_016395-T1, Xe_016391-T1, Xe_016403-T1, Xe_016387-T1, Xe_016397-T1, Xe_016394-T1, Xe_016404-T1, Xe_016393-T1, Xe_010643-T1, Xe_010641-T1, Xe_010638-T1, Xe_010640-T1, Xe_010631-T1
OG0000140	XP_028517430.1	Xe_016405-T1, Xe_016399-T1
OG0000141	XP_028517258.1	Xe_017814-T1, Xe_017840-T1, Xe_017898-T1, Xe_017815-T1, Xe_017812-T1, Xe_017825-T1, Xe_017881-T1, Xe_017829-T1, Xe_017889-T1, Xe_017831-T1, Xe_017821-T1, Xe_017817-T1, Xe_017824-T1, Xe_017811-T1, Xe_017830-T1, Xe_017851-T1, Xe_017902-T1, Xe_017910-T1, Xe_017838-T1, Xe_026080-T1, Xe_017823-T1, Xe_017832-T1, Xe_017890-T1, Xe_017828-T1, Xe_017888-T1, Xe_017849-T1, Xe_017850-T1, Xe_017899-T1
OG0000150	XP_020903637.1, XP_028512714.1, XP_028512715.1, XP_028512716.1, XP_020899935.1, XP_020907925.1, XP_028516924.1, XP_020907936.2, XP_020907935.2, XP_020892519.1, XP_020892547.2, XP_028512720.1, XP_020892517.2, XP_020892515.1, XP_020892548.1	Xe_019844-T1, Xe_019846-T1
OG0000151	XP_020892954.1	Xe_026086-T1
OG0000152	XP_020897702.1, XP_020897700.1, XP_020897699.1, XP_028514147.1, XP_020913517.1	Xe_009380-T1, Xe_009407-T1, Xe_009389-T1, Xe_009401-T1, Xe_009385-T1, Xe_009376-T1, Xe_009400-T1, Xe_009397-T1, Xe_023852-T1, Xe_009398-T1, Xe_009394-T1, Xe_009379-T1, Xe_009383-T1, Xe_009377-T1, Xe_009390-T1, Xe_009393-T1, Xe_009399-T1, Xe_009375-T1
OG0000155	XP_020908522.1	Xe_022020-T1, Xe_022017-T1, Xe_022023-T1, Xe_021412-T1, Xe_021409-T1, Xe_021411-T1
OG0000155	XP_028517127.1	Xe_021333-T1, Xe_021336-T1, Xe_021338-T1, Xe_021339-T1, Xe_021329-T1, Xe_021337-T1, Xe_021334-T1, Xe_021328-T1, Xe_021290-T1, Xe_021354-T1, Xe_021355-T1, Xe_021352-T1, Xe_021408-T1, Xe_021413-T1, Xe_021341-T1, Xe_021973-T1
OG0000156	XP_028515741.1	Xe_022546-T1, Xe_006131-T1, Xe_017331-T1, Xe_017174-T1, Xe_019129-T1, Xe_021191-T1, Xe_006717-T1, Xe_027077-T1, Xe_025452-T1, Xe_001961-T1, Xe_018292-T1, Xe_001854-T1, Xe_017588-T1, Xe_023407-T1, Xe_025558-T1, Xe_025105-T1, Xe_026999-T1, Xe_023228-T1, Xe_022995-T1, Xe_008729-T1, Xe_025290-T1, Xe_023117-T1, Xe_026724-T1, Xe_025579-T1, Xe_001446-T1, Xe_004421-T1, Xe_027442-T1, Xe_026875-T1
OG0000162	XP_020892615.2, XP_028515205.1, XP_020901626.1	Xe_001129-T1, Xe_001136-T1, Xe_001133-T1, Xe_001131-T1, Xe_001138-T1, Xe_001139-T1, Xe_001132-T1, Xe_001130-T1, Xe_001145-T1, Xe_001144-T1, Xe_001142-T1, Xe_004730-T1
OG0000163	XP_028514858.1, XP_020912930.1, XP_020893539.1, XP_020893184.1, XP_028517451.1, XP_020910944.1, XP_028514287.1, XP_028514291.1, XP_020897957.1	Xe_015814-T1
OG0000164	XP_020908014.1	Xe_002081-T1
OG0000164	XP_028515383.1, XP_020902199.1, XP_020917029.1	Xe_020411-T1
OG0000164	XP_020914309.1, XP_020904868.1, XP_020914410.2	Xe_019771-T1, Xe_019772-T1, Xe_019774-T1, Xe_020756-T1
OG0000165	XP_020906559.1, XP_028516681.1, XP_020907018.2, XP_020901461.1, XP_020916020.1, XP_020908170.1, XP_020910129.1, XP_020901632.1, XP_020901633.1, XP_020901634.1, XP_020901630.1, XP_028515202.1	Xe_015363-T1
