Orthogroup	Duplications (all)	Duplications (50% support)
OG0000155	24	24
OG0000156	27	27
OG0000157	28	28
OG0000158	28	28
OG0000159	28	28
OG0000160	28	28
OG0000161	28	28
OG0000162	23	21
OG0000163	13	12
OG0000164	11	11
OG0000165	20	20
OG0000166	25	25
OG0000167	24	24
OG0000168	24	24
OG0000169	24	24
OG0000170	24	23
OG0000171	27	27
OG0000172	27	27
OG0000173	27	27
OG0000174	20	20
OG0000175	25	25
OG0000176	26	26
OG0000177	26	26
OG0000178	25	25
OG0000179	26	26
OG0000180	26	26
OG0000181	17	14
OG0000182	17	16
OG0000183	21	18
OG0000184	23	23
OG0000185	21	21
OG0000186	24	24
OG0000187	24	24
OG0000188	24	24
OG0000189	25	25
OG0000190	24	24
OG0000191	25	25
OG0000192	25	25
OG0000193	25	25
OG0000194	25	25
OG0000195	22	22
OG0000196	20	20
OG0000197	24	24
OG0000198	20	20
OG0000199	21	21
OG0000200	23	23
OG0000201	23	23
OG0000202	21	21
OG0000203	23	23
OG0000204	23	23
OG0000205	24	24
OG0000206	24	24
OG0000207	24	24
OG0000208	24	24
OG0000209	24	24
OG0000210	24	24
OG0000211	24	24
OG0000212	24	24
OG0000213	24	24
OG0000214	23	23
OG0000215	16	16
OG0000216	15	13
OG0000217	15	13
OG0000218	23	23
OG0000219	20	20
OG0000220	23	23
OG0000221	21	21
OG0000222	17	17
OG0000223	22	22
OG0000224	18	15
OG0000225	20	20
OG0000226	20	20
OG0000227	23	23
OG0000228	23	23
OG0000229	23	23
OG0000230	23	23
OG0000231	23	23
OG0000232	23	23
OG0000233	23	23
OG0000234	18	18
OG0000235	15	15
OG0000236	11	8
OG0000237	22	22
OG0000238	18	17
OG0000239	15	14
OG0000240	18	17
OG0000241	16	14
OG0000242	19	19
OG0000243	21	21
OG0000244	19	19
OG0000245	19	19
OG0000246	21	21
OG0000247	21	21
OG0000248	21	21
OG0000249	22	22
OG0000250	21	21
OG0000251	22	22
OG0000252	22	22
OG0000253	22	22
OG0000254	22	22
OG0000255	21	21
OG0000256	12	10
OG0000257	17	17
OG0000258	20	20
OG0000259	19	19
OG0000260	16	15
OG0000261	11	8
OG0000262	16	15
OG0000263	14	14
OG0000264	17	17
OG0000265	12	11
OG0000266	18	18
OG0000267	20	20
OG0000268	20	20
OG0000269	21	21
OG0000270	21	21
OG0000271	21	21
OG0000272	21	21
OG0000273	17	17
OG0000274	14	12
OG0000275	19	19
OG0000276	12	10
OG0000277	16	16
OG0000278	15	12
OG0000279	16	15
OG0000280	15	15
OG0000281	17	17
OG0000282	17	17
OG0000283	20	20
OG0000284	20	20
OG0000285	20	20
OG0000286	20	20
OG0000287	20	20
OG0000288	20	20
OG0000289	20	20
OG0000290	20	20
OG0000291	18	18
OG0000292	17	17
OG0000293	19	19
OG0000294	11	11
OG0000295	19	19
OG0000296	16	16
OG0000297	16	16
OG0000298	14	10
OG0000299	12	10
OG0000300	16	14
OG0000301	13	13
OG0000302	16	16
OG0000303	11	11
OG0000304	14	14
OG0000305	14	14
OG0000306	16	16
OG0000307	17	17
OG0000308	18	18
OG0000309	18	18
OG0000310	19	19
OG0000311	19	19
OG0000312	18	18
OG0000313	19	19
OG0000314	19	19
OG0000315	19	19
OG0000316	18	18
OG0000317	18	18
OG0000318	19	19
OG0000319	19	19
OG0000320	19	19
OG0000321	19	19
OG0000322	19	19
OG0000323	19	19
OG0000324	19	19
OG0000325	15	11
OG0000326	14	14
OG0000327	14	14
OG0000328	18	18
OG0000329	14	12
OG0000330	18	18
OG0000331	11	9
OG0000332	18	18
OG0000333	14	11
OG0000334	11	10
OG0000335	13	7
OG0000336	14	14
OG0000337	12	12
OG0000338	15	15
OG0000339	17	17
OG0000340	17	17
OG0000341	16	16
OG0000342	14	14
OG0000343	16	16
OG0000344	18	18
OG0000345	18	18
OG0000346	17	17
OG0000347	16	16
OG0000348	18	18
OG0000349	18	18
OG0000350	17	17
OG0000351	17	17
OG0000352	18	18
OG0000353	18	18
OG0000354	16	16
OG0000355	11	9
OG0000356	12	12
OG0000357	14	14
OG0000358	15	15
OG0000359	11	11
OG0000360	16	16
OG0000361	13	12
OG0000362	12	11
OG0000363	11	10
OG0000364	14	14
OG0000365	10	10
OG0000366	9	9
OG0000367	13	13
OG0000368	17	17
OG0000369	16	16
OG0000370	14	14
OG0000371	14	13
OG0000372	14	14
OG0000373	14	14
OG0000374	13	13
OG0000375	12	11
OG0000376	14	14
OG0000377	16	16
OG0000378	16	16
OG0000379	11	11
OG0000380	14	11
OG0000381	14	14
OG0000382	14	14
OG0000383	17	17
OG0000384	16	16
OG0000385	17	17
OG0000386	16	16
OG0000387	16	16
OG0000388	16	16
OG0000389	17	17
OG0000390	17	17
OG0000391	17	17
OG0000392	17	17
OG0000393	17	17
OG0000394	17	17
OG0000395	17	17
OG0000396	17	17
OG0000397	17	17
OG0000398	17	17
OG0000399	17	17
OG0000400	17	17
OG0000401	17	17
OG0000402	12	12
OG0000403	8	7
OG0000404	11	11
OG0000405	14	14
OG0000406	14	14
OG0000407	9	7
OG0000408	11	11
OG0000409	12	9
OG0000410	14	14
OG0000411	16	16
OG0000412	15	15
OG0000413	13	13
OG0000414	12	12
OG0000415	16	16
OG0000416	15	15
OG0000417	10	8
OG0000418	13	13
OG0000419	15	15
OG0000420	13	13
OG0000421	8	6
OG0000422	13	13
OG0000423	14	14
OG0000424	13	13
OG0000425	12	12
OG0000426	12	12
OG0000427	15	15
OG0000428	15	15
OG0000429	15	15
OG0000430	16	16
OG0000431	16	16
OG0000432	15	15
OG0000433	16	16
OG0000434	16	16
OG0000435	16	16
OG0000436	16	16
OG0000437	16	16
OG0000438	16	16
OG0000439	16	16
OG0000440	16	16
OG0000441	16	16
OG0000442	16	16
OG0000443	15	15
OG0000444	15	15
OG0000445	12	11
OG0000446	10	9
OG0000447	9	7
OG0000448	10	6
OG0000449	12	12
OG0000450	11	11
OG0000451	12	12
OG0000452	6	6
OG0000453	10	10
OG0000454	8	7
OG0000455	13	13
OG0000456	14	14
OG0000457	10	9
OG0000458	13	13
OG0000459	15	15
OG0000460	11	11
OG0000461	12	12
OG0000462	12	12
OG0000463	9	9
OG0000464	9	9
OG0000465	13	13
OG0000466	14	14
OG0000467	10	10
OG0000468	12	12
OG0000469	12	12
OG0000470	10	10
OG0000471	12	12
OG0000472	9	8
OG0000473	11	11
OG0000474	7	6
OG0000475	13	13
OG0000476	10	9
OG0000477	14	14
OG0000478	12	12
OG0000479	9	9
OG0000480	11	11
OG0000481	6	6
OG0000482	14	14
OG0000483	12	12
OG0000484	14	14
OG0000485	13	13
OG0000486	15	15
OG0000487	15	15
OG0000488	14	14
OG0000489	15	15
OG0000490	14	14
OG0000491	15	15
OG0000492	15	15
OG0000493	15	15
OG0000494	15	15
OG0000495	15	15
OG0000496	15	15
OG0000497	15	15
OG0000498	15	15
OG0000499	15	15
OG0000500	12	12
OG0000501	12	12
OG0000502	11	11
OG0000503	7	4
OG0000504	13	13
OG0000505	4	4
OG0000506	14	14
OG0000507	8	8
OG0000508	11	11
OG0000509	14	14
OG0000510	8	8
OG0000511	12	12
OG0000512	13	13
OG0000513	12	12
OG0000514	11	11
OG0000515	10	10
OG0000516	11	11
OG0000517	5	5
OG0000518	8	8
OG0000519	11	11
OG0000520	6	5
OG0000521	11	11
OG0000522	10	9
OG0000523	10	10
OG0000524	13	13
OG0000525	10	10
OG0000526	7	6
OG0000527	12	12
OG0000528	11	11
OG0000529	11	11
OG0000530	13	13
OG0000531	13	13
OG0000532	11	7
OG0000533	13	13
OG0000534	13	13
OG0000535	13	13
OG0000536	14	14
OG0000537	13	13
OG0000538	14	14
OG0000539	14	14
OG0000540	14	14
OG0000541	14	14
OG0000542	14	14
OG0000543	14	14
OG0000544	14	14
OG0000545	14	14
OG0000546	14	14
OG0000547	14	14
OG0000548	14	14
OG0000549	14	14
OG0000550	14	14
OG0000551	14	14
OG0000552	14	14
OG0000553	14	14
OG0000554	14	14
OG0000555	14	14
OG0000556	14	14
OG0000557	11	11
OG0000558	6	5
OG0000559	10	10
OG0000560	9	9
OG0000561	8	8
OG0000562	8	7
OG0000563	6	6
OG0000564	10	10
OG0000565	6	6
OG0000566	8	8
OG0000567	11	11
OG0000568	11	11
OG0000569	8	8
OG0000570	8	8
OG0000571	10	10
OG0000572	10	10
OG0000573	10	10
OG0000574	12	12
OG0000575	8	8
OG0000576	10	10
OG0000577	6	6
OG0000578	10	10
OG0000579	11	11
OG0000580	10	10
OG0000581	10	10
OG0000582	11	11
OG0000583	7	6
OG0000584	11	11
OG0000585	10	10
OG0000586	5	5
OG0000587	9	9
OG0000588	9	9
OG0000589	10	10
OG0000590	9	9
OG0000591	8	7
OG0000592	12	12
OG0000593	10	10
OG0000594	8	6
OG0000595	9	9
OG0000596	10	10
OG0000597	9	8
OG0000598	12	12
OG0000599	11	11
OG0000600	10	10
OG0000601	10	10
OG0000602	13	13
OG0000603	10	10
OG0000604	11	11
OG0000605	13	13
OG0000606	13	13
OG0000607	12	12
OG0000608	13	13
OG0000609	13	13
OG0000610	13	13
OG0000611	13	13
OG0000612	13	13
OG0000613	13	13
OG0000614	13	13
OG0000615	12	12
OG0000616	12	12
OG0000617	13	13
OG0000618	12	12
OG0000619	12	12
OG0000620	12	12
OG0000621	13	13
OG0000622	13	13
OG0000623	13	13
OG0000624	13	13
OG0000625	13	13
OG0000626	13	13
OG0000627	13	13
OG0000628	13	13
OG0000629	13	13
OG0000630	13	13
OG0000631	13	13
OG0000632	13	13
OG0000633	13	13
OG0000634	13	13
OG0000635	13	13
OG0000636	11	11
OG0000637	12	12
OG0000638	11	11
OG0000639	10	10
OG0000640	10	10
OG0000641	10	10
OG0000642	4	4
OG0000643	9	8
OG0000644	5	4
OG0000645	8	8
OG0000646	8	6
OG0000647	9	9
OG0000648	7	7
OG0000649	8	8
OG0000650	9	9
OG0000651	7	6
OG0000652	7	7
OG0000653	6	6
OG0000654	12	12
OG0000655	7	5
OG0000656	11	11
OG0000657	11	11
OG0000658	10	10
OG0000659	9	9
OG0000660	10	10
OG0000661	6	5
OG0000662	11	11
OG0000663	6	6
OG0000664	12	12
OG0000665	10	10
OG0000666	9	9
OG0000667	11	11
OG0000668	7	7
OG0000669	11	11
OG0000670	9	9
OG0000671	7	7
OG0000672	5	5
OG0000673	8	8
OG0000674	7	6
OG0000675	10	10
OG0000676	7	7
OG0000677	5	5
OG0000678	6	5
OG0000679	11	11
OG0000680	8	8
OG0000681	12	12
OG0000682	10	10
OG0000683	9	5
OG0000684	3	3
OG0000685	5	3
OG0000686	9	9
OG0000687	11	11
OG0000688	8	8
OG0000689	10	10
OG0000690	10	10
OG0000691	10	10
OG0000692	9	9
OG0000693	11	11
OG0000694	11	11
OG0000695	8	8
OG0000696	11	11
OG0000697	12	12
OG0000698	10	10
OG0000699	12	12
OG0000700	11	11
OG0000701	10	10
OG0000702	10	10
OG0000703	12	12
OG0000704	10	10
OG0000705	10	10
OG0000706	12	12
OG0000707	12	12
OG0000708	11	11
OG0000709	11	11
OG0000710	12	12
OG0000711	11	11
OG0000712	11	11
OG0000713	12	12
OG0000714	12	12
OG0000715	12	12
OG0000716	12	12
OG0000717	12	12
OG0000718	12	12
OG0000719	12	12
OG0000720	12	12
OG0000721	12	12
OG0000722	12	12
OG0000723	12	12
OG0000724	4	4
OG0000725	8	8
OG0000726	11	11
OG0000727	7	7
OG0000728	7	6
OG0000729	9	9
OG0000730	8	8
OG0000731	4	4
OG0000732	8	8
OG0000733	9	9
OG0000734	7	7
OG0000735	8	7
OG0000736	7	7
OG0000737	5	4
OG0000738	5	5
OG0000739	9	9
OG0000740	10	10
OG0000741	8	8
OG0000742	10	10
OG0000743	6	6
OG0000744	6	6
OG0000745	6	6
OG0000746	8	8
OG0000747	7	7
OG0000748	4	4
OG0000749	5	5
OG0000750	10	10
OG0000751	10	10
OG0000752	8	8
OG0000753	11	11
OG0000754	8	8
OG0000755	7	5
OG0000756	8	8
OG0000757	10	10
OG0000758	9	9
OG0000759	11	11
OG0000760	8	8
OG0000761	8	8
OG0000762	9	9
OG0000763	3	3
OG0000764	5	4
OG0000765	5	5
OG0000766	7	7
OG0000767	11	11
OG0000768	7	7
OG0000769	6	6
OG0000770	7	7
OG0000771	9	9
OG0000772	6	6
OG0000773	7	7
OG0000774	10	10
OG0000775	9	9
OG0000776	8	8
OG0000777	8	8
OG0000778	7	6
OG0000779	3	3
OG0000780	7	7
OG0000781	10	10
OG0000782	8	8
OG0000783	10	10
OG0000784	7	7
OG0000785	8	8
OG0000786	9	9
OG0000787	8	8
OG0000788	10	10
OG0000789	8	8
OG0000790	10	10
OG0000791	10	10
OG0000792	9	9
OG0000793	9	9
OG0000794	9	9
OG0000795	10	10
OG0000796	11	11
OG0000797	10	10
OG0000798	11	11
OG0000799	11	11
OG0000800	11	11
OG0000801	11	11
OG0000802	11	11
OG0000803	10	10
OG0000804	11	11
OG0000805	11	11
OG0000806	11	11
OG0000807	10	10
OG0000808	11	11
OG0000809	11	11
OG0000810	11	11
OG0000811	11	11
OG0000812	11	11
OG0000813	11	11
OG0000814	11	11
OG0000815	11	11
OG0000816	11	11
OG0000817	11	11
OG0000818	11	11
OG0000819	11	11
OG0000820	11	11
OG0000821	11	11
OG0000822	11	11
OG0000823	11	11
OG0000824	11	11
OG0000825	11	11
OG0000826	11	11
OG0000827	11	11
OG0000828	11	11
OG0000829	11	11
OG0000830	11	11
OG0000831	11	11
OG0000832	11	11
OG0000833	11	11
OG0000834	9	9
OG0000835	5	5
OG0000836	8	8
OG0000837	10	10
OG0000838	7	7
OG0000839	3	3
OG0000840	4	4
OG0000841	7	7
OG0000842	7	7
OG0000843	7	7
OG0000844	9	9
OG0000845	8	8
OG0000846	9	9
OG0000847	7	7
OG0000848	5	5
OG0000849	3	3
OG0000850	8	8
OG0000851	10	10
OG0000852	7	6
OG0000853	9	9
OG0000854	4	3
OG0000855	10	10
OG0000856	5	5
OG0000857	6	6
OG0000858	7	7
OG0000859	4	4
OG0000860	9	9
OG0000861	6	6
OG0000862	9	9
OG0000863	8	8
OG0000864	8	8
OG0000865	8	8
OG0000866	8	8
OG0000867	8	8
OG0000868	9	9
OG0000869	9	9
OG0000870	8	8
OG0000871	8	8
OG0000872	4	4
OG0000873	4	4
OG0000874	7	7
OG0000875	5	5
OG0000876	7	7
OG0000877	4	3
OG0000878	9	9
OG0000879	5	2
OG0000880	5	5
OG0000881	6	6
OG0000882	5	5
OG0000883	4	4
OG0000884	3	3
OG0000885	6	6
OG0000886	7	7
OG0000887	8	8
OG0000888	6	6
OG0000889	7	7
OG0000890	5	4
OG0000891	8	8
OG0000892	8	8
OG0000893	5	5
OG0000894	7	7
OG0000895	7	7
OG0000896	5	5
OG0000897	9	9
OG0000898	10	10
OG0000899	6	6
OG0000900	7	7
OG0000901	5	5
OG0000902	3	3
OG0000903	7	7
OG0000904	6	6
OG0000905	7	7
OG0000906	9	9
OG0000907	9	9
OG0000908	4	4
OG0000909	7	7
OG0000910	7	7
OG0000911	6	6
OG0000912	9	9
OG0000913	10	10
OG0000914	10	10
OG0000915	9	9
OG0000916	8	8
OG0000917	10	10
OG0000918	9	9
OG0000919	10	10
OG0000920	10	10
OG0000921	8	8
OG0000922	10	10
OG0000923	10	10
OG0000924	10	10
OG0000925	10	10
OG0000926	9	9
OG0000927	10	10
OG0000928	10	10
OG0000929	10	10
OG0000930	8	8
OG0000931	10	10
OG0000932	10	10
OG0000933	10	10
OG0000934	10	10
OG0000935	8	8
OG0000936	10	10
OG0000937	10	10
OG0000938	10	10
OG0000939	10	10
OG0000940	10	10
OG0000941	10	10
OG0000942	10	10
OG0000943	10	10
OG0000944	10	10
OG0000945	10	10
OG0000946	10	10
OG0000947	10	10
OG0000948	10	10
OG0000949	10	10
OG0000950	10	10
OG0000951	10	10
OG0000952	10	10
OG0000953	10	10
OG0000954	10	10
OG0000955	10	10
OG0000956	10	10
OG0000957	10	10
OG0000958	10	10
OG0000959	10	10
OG0000960	10	10
OG0000961	10	10
OG0000962	7	7
OG0000963	3	3
OG0000964	3	2
OG0000965	8	8
OG0000966	5	5
OG0000967	6	6
OG0000968	6	5
OG0000969	6	6
OG0000970	4	3
OG0000971	6	6
OG0000972	5	5
OG0000973	8	8
OG0000974	4	4
OG0000975	8	8
OG0000976	7	7
OG0000977	5	5
OG0000978	4	3
OG0000979	7	7
OG0000980	3	1
OG0000981	6	6
OG0000982	5	5
OG0000983	7	7
OG0000984	8	8
OG0000985	6	6
OG0000986	8	8
OG0000987	9	9
OG0000988	6	6
OG0000989	6	6
OG0000990	3	2
OG0000991	5	5
OG0000992	8	8
OG0000993	5	5
OG0000994	4	4
OG0000995	9	9
OG0000996	6	6
OG0000997	3	3
OG0000998	9	9
OG0000999	8	8
OG0001000	4	4
OG0001001	7	7
OG0001002	4	4
OG0001003	5	5
OG0001004	6	6
OG0001005	3	3
OG0001006	7	7
OG0001007	6	6
OG0001008	5	5
OG0001009	5	4
OG0001010	4	4
OG0001011	5	5
OG0001012	9	9
OG0001013	8	8
OG0001014	5	4
OG0001015	4	4
OG0001016	6	6
OG0001017	6	6
OG0001018	4	3
OG0001019	6	6
OG0001020	7	7
OG0001021	8	8
OG0001022	6	6
OG0001023	5	5
OG0001024	8	8
OG0001025	4	4
OG0001026	6	6
OG0001027	7	7
OG0001028	5	5
OG0001029	7	7
OG0001030	8	8
OG0001031	8	8
OG0001032	5	5
OG0001033	5	5
OG0001034	7	7
OG0001035	5	4
OG0001036	7	7
OG0001037	7	7
OG0001038	7	7
OG0001039	6	6
OG0001040	6	6
OG0001041	7	7
OG0001042	7	7
OG0001043	3	3
OG0001044	3	3
OG0001045	7	7
OG0001046	8	8
OG0001047	6	6
OG0001048	8	8
OG0001049	2	2
OG0001050	5	5
OG0001051	7	7
OG0001052	6	6
OG0001053	7	7
OG0001054	7	7
OG0001055	2	2
OG0001056	7	7
OG0001057	7	7
OG0001058	7	7
OG0001059	7	7
OG0001060	7	7
OG0001061	5	5
OG0001062	8	8
OG0001063	7	7
OG0001064	8	8
OG0001065	7	7
OG0001066	9	9
OG0001067	7	7
OG0001068	8	8
OG0001069	9	9
OG0001070	9	9
OG0001071	9	9
OG0001072	8	8
OG0001073	9	9
OG0001074	8	8
OG0001075	7	7
OG0001076	8	8
OG0001077	8	8
OG0001078	9	9
OG0001079	9	9
OG0001080	9	9
OG0001081	9	9
OG0001082	8	8
OG0001083	9	9
OG0001084	9	9
OG0001085	9	9
OG0001086	9	9
OG0001087	9	9
OG0001088	8	8
OG0001089	9	9
OG0001090	8	8
OG0001091	8	8
OG0001092	8	8
OG0001093	9	9
OG0001094	9	9
OG0001095	9	9
OG0001096	9	9
OG0001097	9	9
OG0001098	9	9
OG0001099	9	9
OG0001100	9	9
OG0001101	9	9
OG0001102	9	9
OG0001103	9	9
OG0001104	9	9
OG0001105	9	9
OG0001106	9	9
OG0001107	9	9
OG0001108	9	9
OG0001109	9	9
OG0001110	9	9
OG0001111	9	9
OG0001112	9	9
OG0001113	9	9
OG0001114	9	9
OG0001115	9	9
OG0001116	9	9
OG0001117	9	9
OG0001118	9	9
OG0001119	9	9
OG0001120	9	9
OG0001121	9	9
OG0001122	9	9
OG0001123	9	9
OG0001124	9	9
OG0001125	9	9
OG0001126	9	9
OG0001127	9	9
OG0001128	9	9
OG0001129	9	9
OG0001130	5	5
OG0001131	6	6
OG0001132	5	5
OG0001133	5	5
OG0001134	8	8
OG0001135	5	5
OG0001136	8	8
OG0001137	2	2
OG0001138	4	4
OG0001139	3	3
OG0001140	6	6
OG0001141	2	2
OG0001142	8	8
OG0001143	6	6
OG0001144	6	6
OG0001145	6	6
OG0001146	6	6
OG0001147	7	7
OG0001148	5	5
OG0001149	4	4
OG0001150	5	5
OG0001151	6	6
OG0001152	5	5
OG0001153	6	6
OG0001154	5	5
OG0001155	7	7
OG0001156	5	5
OG0001157	8	8
OG0001158	4	4
OG0001159	7	7
OG0001160	6	6
OG0001161	4	3
OG0001162	6	6
OG0001163	2	2
OG0001164	8	8
OG0001165	4	4
OG0001166	5	5
OG0001167	8	8
OG0001168	7	7
OG0001169	5	5
OG0001170	6	6
OG0001171	5	5
OG0001172	3	3
OG0001173	5	5
OG0001174	7	7
OG0001175	8	8
OG0001176	8	8
OG0001177	5	5
OG0001178	6	6
OG0001179	5	5
OG0001180	2	2
OG0001181	3	3
OG0001182	6	6
OG0001183	5	5
OG0001184	6	6
OG0001185	6	6
OG0001186	5	5
OG0001187	4	3
OG0001188	4	4
OG0001189	7	7
OG0001190	5	5
OG0001191	8	8
OG0001192	8	8
OG0001193	5	5
OG0001194	5	5
OG0001195	7	7
OG0001196	4	4
OG0001197	8	8
OG0001198	4	4
OG0001199	3	3
OG0001200	4	3
OG0001201	5	5
OG0001202	5	5
OG0001203	7	7
OG0001204	5	5
OG0001205	8	8
OG0001206	7	7
OG0001207	8	8
OG0001208	2	2
OG0001209	8	8
OG0001210	5	5
OG0001211	5	5
OG0001212	5	5
OG0001213	2	2
OG0001214	5	5
OG0001215	8	8
OG0001216	5	5
OG0001217	4	4
OG0001218	4	3
OG0001219	2	2
OG0001220	7	7
OG0001221	6	6
OG0001222	5	5
OG0001223	2	2
OG0001224	3	3
OG0001225	3	2
OG0001226	6	6
OG0001227	5	5
OG0001228	7	7
OG0001229	8	8
OG0001230	4	4
OG0001231	3	3
OG0001232	6	6
OG0001233	4	3
OG0001234	4	4
OG0001235	3	3
OG0001236	3	3
OG0001237	5	5
OG0001238	5	5
OG0001239	6	6
OG0001240	4	4
OG0001241	5	5
OG0001242	3	3
OG0001243	4	4
OG0001244	6	6
OG0001245	7	7
OG0001246	3	3
OG0001247	6	6
OG0001248	3	3
OG0001249	5	5
OG0001250	2	2
OG0001251	6	6
OG0001252	6	6
OG0001253	4	4
OG0001254	8	8
OG0001255	6	6
OG0001256	6	6
OG0001257	5	5
OG0001258	6	6
OG0001259	3	3
OG0001260	5	5
OG0001261	7	7
OG0001262	5	5
OG0001263	5	5
OG0001264	6	6
OG0001265	5	5
OG0001266	3	2
OG0001267	4	2
OG0001268	5	5
OG0001269	7	7
OG0001270	4	4
OG0001271	5	5
OG0001272	6	6
OG0001273	6	6
OG0001274	5	5
OG0001275	5	5
OG0001276	6	6
OG0001277	5	5
OG0001278	6	6
OG0001279	5	5
OG0001280	5	5
OG0001281	6	6
OG0001282	6	6
OG0001283	7	7
OG0001284	8	8
OG0001285	8	8
OG0001286	7	7
OG0001287	6	6
OG0001288	8	8
OG0001289	7	7
OG0001290	8	8
OG0001291	8	8
OG0001292	5	5
OG0001293	7	7
OG0001294	8	8
OG0001295	7	7
OG0001296	7	7
OG0001297	8	8
OG0001298	8	8
OG0001299	7	7
OG0001300	8	8
OG0001301	8	8
OG0001302	8	8
OG0001303	8	8
OG0001304	8	8
OG0001305	8	8
OG0001306	8	8
OG0001307	7	7
OG0001308	8	8
OG0001309	8	8
OG0001310	8	8
OG0001311	8	8
OG0001312	8	8
OG0001313	7	7
OG0001314	7	7
OG0001315	8	8
OG0001316	8	8
OG0001317	8	8
OG0001318	8	8
OG0001319	7	7
OG0001320	8	8
OG0001321	8	8
OG0001322	8	8
OG0001323	8	8
OG0001324	7	7
OG0001325	7	7
OG0001326	7	7
OG0001327	7	7
OG0001328	8	8
OG0001329	8	8
OG0001330	8	8
OG0001331	8	8
OG0001332	8	8
OG0001333	8	8
OG0001334	8	8
OG0001335	8	8
OG0001336	8	8
OG0001337	8	8
OG0001338	8	8
OG0001339	8	8
OG0001340	8	8
OG0001341	8	8
OG0001342	8	8
OG0001343	8	8
OG0001344	8	8
OG0001345	8	8
OG0001346	8	8
OG0001347	8	8
OG0001348	8	8
OG0001349	2	2
OG0001350	4	4
OG0001351	5	5
OG0001352	3	3
OG0001353	7	7
OG0001354	2	2
OG0001355	4	4
OG0001356	4	4
OG0001357	4	4
OG0001358	3	3
OG0001359	6	6
OG0001360	3	3
OG0001361	3	3
OG0001362	7	7
OG0001363	2	2
OG0001364	4	4
OG0001365	3	2
OG0001366	4	4
OG0001367	4	4
OG0001368	4	4
OG0001369	3	3
OG0001370	7	7
OG0001371	5	5
OG0001372	3	3
OG0001373	5	5
OG0001374	4	4
OG0001375	3	3
OG0001376	2	2
OG0001377	4	4
OG0001378	4	4
OG0001379	4	4
OG0001380	2	2
OG0001381	6	6
OG0001382	4	4
OG0001383	4	4
OG0001384	3	3
OG0001385	3	3
OG0001386	4	4
OG0001387	6	6
OG0001388	5	5
OG0001389	7	7
OG0001390	4	4
OG0001391	2	2
OG0001392	3	3
OG0001393	3	3
OG0001394	2	2
