Master.Protein.Accessions,ID,Expal4.Quality.Tier.Quality.Tier,Expal4.prot.profile.stdev,Expal4.prot.aggv.dist.mean,Expal4.prot.aggv.dist.max,Expal4.prot.nb.feats,Expal4.prot.mean.SPS.MM,Expal4.PCA.Dim.1,Expal4.PCA.Dim.2,Expal4.PCA.Dim.3,Expal4.tSNE.Dim.1,Expal4.tSNE.Dim.2,Expal4.tSNE.2D.p40.Dim.1,Expal4.tSNE.2D.p40.Dim.2,Expal4.tSNE.3D.p40.Dim.1,Expal4.tSNE.3D.p40.Dim.2,Expal4.tSNE.3D.p40.Dim.3,Expal4.umap.Dim.1,Expal4.umap.Dim.2,Expal4.umap.3D.Dim.1,Expal4.umap.3D.Dim.2,Expal4.umap.3D.Dim.3,Expal4.126,Expal4.127N,Expal4.127C,Expal4.130C,Expal4.131N,Expal4.131C,Expal4.132N,Expal4.132C,Expal4.133N,Expal4.133C,Expal4.134N,Expal4.134C,XP,pepSize,XM,geneID,gene_coords,LOC,HumanGene,signalP,Pfam,KEGG,Panther,refseq_desc,AIP,KXJ_pepSize
KXJ04906.1,Host,tier2,0.088373027,NA,NA,1,50,-3.153030133,3.914406386867941,-0.394051831,-53.66760776,-49.5091374,-53.68028117,-90.92648468,62.360688432847766,7.1918265839151205,103.64640860704294,2.788562272566632,3.637881275056085,0.7235425239201483,1.4308194578145894,4.473395954891611,0.047575881493514174,0.065129645,0.037309939,0.046327174,0.048104399,0.025755218157544467,0.024301923172828203,0.075767156,0.16515788664830677,0.11613481283148537,0.32981461879626245,0.018621344422958062,XP_020903427.1,100,XM_021047768.2,110241849,NW_018386064.1:846-1757,LOC110241849,-,-,-,-,-,-,AIPGENE8585,100
KXJ04950.1,Host,tier2,0.065246291,NA,NA,1,50,-3.603554642,-1.966010377,0.7628502415615008,17.382171341944876,-65.04854216,60.63743584,-77.15650635,115.29243589315504,5.391537758,-0.2974587,-1.758613357,5.450951365,-2.615546442,-1.376206512,4.523500538470564,0.15586495700677175,0.17779059715954157,0.18946263808215086,0.13062013191457128,0.052811333,0.016599700073369285,0.014062294,0.031819751,0.063913433,0.054115598,0.099097102,0.013842464095302109,XP_020903003.1,289,XM_021047344.2,110241483,NW_018385976.1:30-1044,LOC110241483,-,-,AdenylateSensor(1),"K07198:PRKAA,_AMPK;_5'-AMP-activated_protein_kinase,_catalytic_alpha_subunit_[EC:2.7.11.11]",PTHR24343:SF303::5'-AMP-ACTIVATED_PROTEIN_KINASE_CATALYTIC_SUBUNIT_ALPHA-2,5'-AMP-activated_protein_kinase_catalytic_subunit_alpha-2,AIPGENE29267,165
KXJ04952.1,Host,tier2,0.032873081,NA,NA,1,60,-0.375746887,0.607042353,-0.10268027,-2.434657501,-20.59929806,-20.37825114,-22.31592266,6.085796746,-3.885908383,32.24155588,0.5776719746710324,1.6549999197337568,-0.562668052,0.502975842,1.9466348440403234,0.07237463,0.032441168980848485,0.062559748,0.093132285,0.088860688,0.068275883,0.070667491,0.14460951643934844,0.075072905,0.14738690340588637,0.077910508,0.066708273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXJ04961.1,Host,tier1,0.091558784,NA,NA,1,90,-2.870466706,4.498761392584279,-0.122536893,-54.1772426,-49.30571621,-52.97979679,-91.24211729,61.29310598204721,6.3664258740314645,104.03915346233251,2.780440417062202,3.622484500549233,0.7078557804111547,1.456804306608122,4.458905505123168,0.013503070857596543,0.05303521,0.054747244961448824,0.039524917,0.056768765,0.039718599653762655,0.023808144061983876,0.084888408,0.18819551354235922,0.10362852341747221,0.33033625916449866,0.011845343946716097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXJ05026.1,Host,tier1,0.047479989,NA,NA,1,70,-2.817181117,0.6182869661561524,0.11482910020059428,-25.8004117,-66.69010907,-1.075752044,-104.5391676,102.6941143,-3.414971229,56.23064841115804,0.7944556360990953,5.042569738505979,-1.248124522,0.14924711580995798,4.631097211901309,0.11051400678608399,0.11486508936524986,0.13623356027610908,0.071340812,0.094937987,0.029474512,0.013508284406837526,0.053825939374258676,0.10237433253380523,0.16403360749755166,0.091841295,0.017050573,XP_020901610.1,251,XM_021045951.2,110240164,NW_018385767.1:12-2125,LOC110240164,-,-,-,-,-,-,AIPGENE21976,273
KXJ05042.1,Host,tier1,0.035975365,NA,NA,1,80,-2.071177478,0.8540276619108302,1.2617545645553025,-20.43507066,-38.96385069,-4.846050122,-63.75228544,75.59852976814796,-25.29253435,45.549651081825644,-0.093384224,3.4868980280580426,-1.623227489,0.4557606223065438,3.3477310614989744,0.05167291,0.079393461,0.13127753684801874,0.13300587544529777,0.068901075,0.048813304218102545,0.061616168,0.060153889518929894,0.12018792423714708,0.11386308801920936,0.10506335027678129,0.026051417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXJ05071.1,Host,tier1,0.072247107,0.1002383162150048,0.1002383162150048,2,70,-3.936505325,0.40261870087419405,-0.992396154,-24.98515438,-77.39243254,4.158765588166485,-117.0058616,122.52143830340806,-4.171136979,47.58623943811371,0.9831151911117963,5.685108573446281,-1.805593574,-0.086565879,5.138677047705103,0.039399773,0.22484526325792797,0.19010583992007085,0.016743814,0.042866542,0.027852643838255673,0.038363061,0.031713198,0.10439282886485804,0.15214783013800087,0.11283929670676257,0.018729909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXJ05076.1,Host,tier1,0.073477177,NA,NA,1,80,-1.60612006,-2.285681005,4.124366339453436,20.137477107219645,-37.8121733,52.89245053598826,-37.09909301,85.77845840242301,-39.88457849,-3.194134986,-1.894979559,3.3717210618676674,-3.065228448,-0.278959686,2.939632565559849,0.061313808528242635,0.087622044,0.1771287076817156,0.2685875536522781,0.12149111419145481,0.031103484,0.023448944178386496,0.029475244,0.0452985,0.036847840146314426,0.070879469,0.046803291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXJ05080.1,Host,tier1,0.087324209,NA,NA,1,80,-4.227122079,-1.765568134,-1.709737904,20.956615764695858,-88.35858684,83.56821744321401,-107.6355216,129.0647601351624,40.74670309587032,-11.90282178,-1.635223612,7.463087859699122,-1.971458769,-2.812650931,5.676298252748197,0.3073954484345249,0.17229369928174723,0.13024776347249994,0.047120062988153986,0.027245437,0.015852087,0.015373434668693415,0.028984801590527545,0.065833459,0.070633312,0.1113564279212984,0.007664067,XP_020900847.1,304,XM_021045188.2,110239472,NW_018385656.1:290-2172,LOC110239472,-,-,"Acetyltransf_10(1),Acetyltransf_18(1),Acetyltransf_1(1),Acetyltransf_7(1)",-,PTHR47237:SF1::N-ACETYLTRA:SFERASE_DOMAIN-CONTAINING_PROTEIN,-,AIPGENE22414,304
KXJ05164.1,Host,tier2,0.052512513258460763,NA,NA,1,60,-1.732085984,-1.987053437,2.222080774623035,18.453403855440314,-42.56391826,54.33139567123028,-43.90192653,88.13706186275226,-31.09492304,-2.16774207,-1.852439723,3.7896747012259713,-2.919750548,-0.617025268,3.1823787469236695,0.11117594839759218,0.10883460639087318,0.16889574356686432,0.19063109459290958,0.089980263,0.047513562,0.046349691,0.052134756,0.063915297,0.026986663489820907,0.056354133260597176,0.037228242,XP_020899840.1,512,XM_021044181.1,110238507,NW_018385491.1:496-2381,LOC110238507,-,-,"VWA(1),F5_F8_type_C(2),VWA_2(1)",-,PTHR24543:SF322::F5/8_TYPE_C_DOMAIN-CONTAINING_PROTEIN,"EGF-like_repeat_and_discoidin_I-like_domain-containing_protein_3,_partial",AIPGENE6603,335
KXJ05176.1,Host,tier2,0.038079553,NA,NA,1,60,-0.7127474,-1.118677069,-0.675290921,-6.148974547,-2.227853853,7.835775156075801,-1.80400875,1.5952467935137182,11.495037821437325,12.670691258952838,-0.14823012,-0.102496719,0.051369561756772875,0.021148321313122054,-0.025524911,0.11271789985184616,0.1002886478060659,0.069184086,0.082295363,0.076087683,0.063539001,0.067755633,0.060721035792066766,0.06000948,0.048863637,0.0682451,0.19029243365468115,XP_020899699.1,110,XM_021044040.2,110238370,NW_018385461.1:1261-2284,LOC110238370,NHP2,-,Ribosomal_L7Ae(1),"K11129:NHP2,_NOLA2;_H/ACA_ribonucleoprotein_complex_subunit_2",PTHR23105:SF54::H/ACA_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_2,H/ACA_ribonucleoprotein_complex_subunit_NHP2,AIPGENE1938,110
KXJ05243.1,Host,tier1,0.052880125,0.069687737,0.069687737,2,75,-3.453428452,0.083871259,-0.538562676,-13.73102275,-70.60664465,18.00844574744491,-105.3005458,102.73358832080106,10.257473568583208,35.509615458746616,0.11783895386261456,5.739799105900624,-0.996804674,-0.917664992,4.868259069467225,0.14318406771675873,0.1380581156363206,0.11823923617021675,0.065508045,0.055062330125240255,0.027046591,0.022620729,0.039275949,0.082319411,0.1127869286611455,0.17461739233558426,0.021281204132312374,XP_020898654.1,395,XM_021042995.1,110237413,NW_018385333.1:2814-4149,LOC110237413,CCT7,-,Cpn60_TCP1(1),K09499:CCT7;_T-complex_protein_1_subunit_eta,PTHR11353:SF22::T-COMPLEX_PROTEIN_1_SUBUNIT_ETA,T-complex_protein_1_subunit_eta,AIPGENE10129,239
KXJ05278.1,Host,tier1,0.064812924,NA,NA,1,70,-2.944568732,-1.191460603,-0.971186573,-23.46691006,-78.42892536,6.654363935972566,-117.5400403,123.06806079030953,-4.83575681,44.496985560885996,0.8887292229594976,5.737809565342324,-1.98241386,-0.270104819,5.094085295000816,0.048749045,0.22534912383022118,0.18807791028833842,0.039399452,0.052664424,0.043098403200359243,0.029386881182014716,0.076034162,0.055730737,0.14177708932044444,0.050613923847849136,0.049118849,XP_020898329.1,142,XM_021042670.1,110237094,NW_018385277.1:151-1109,LOC110237094,-,-,-,K06711:PH-4;_hypoxia-inducible_factor_prolyl_4-hydroxylase_[EC:1.14.11.-],PTHR10869:SF207::PROLYL_4-HYDROXYLASE_SUBUNIT_ALPHA-3-RELATED,"transmembrane_prolyl_4-hydroxylase,_partial",AIPGENE5992,123
KXJ05282.1,Host,tier1,0.054672415,0.1877310214247931,0.29084241975277486,4,80,-3.4347842,0.078208908,-0.182945487,-25.18493881,-74.72048532,3.4220089218364382,-114.0020283,118.54593905866169,-2.349647956,48.453403030143754,1.0095770395044719,5.539075405698134,-1.635415511,0.002103243,5.063960118737635,0.065079488,0.1809587140920928,0.13935260096006982,0.075808309,0.057995688,0.025452217490030155,0.017149285995325347,0.03685384,0.083261991,0.16544186053172935,0.11130946337959269,0.04133654,XP_020898327.2,382,XM_021042668.2,110237092,NW_018385273.1:6-3795,LOC110237092,-,-,-,-,-,-,AIPGENE12630,378
KXJ05286.1,Host,tier2,0.014698448,NA,NA,1,50,-0.877382659,0.6535195303947122,0.26350024340787226,-7.87074651,-33.05444008,12.133603399855275,-60.7475354,51.33786145260988,-6.612937238,36.871048253025464,0.37450795742509957,1.9426939915931865,-0.739846485,0.30347748568040167,2.124256702891211,0.069585677,0.075234546,0.062264404,0.10057933540055489,0.085472081,0.080046075,0.076435122,0.086582668,0.096412706,0.096899835,0.10697660673046507,0.063510945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXJ05287.1,Host,tier1,0.087882269,NA,NA,1,70,-2.219429455,-3.379204625,4.151987914,24.07255281756076,-40.77700129,61.531047016304534,-38.00199296,94.19489182452166,-37.46588285,-7.143969317,-2.256403232,3.8256841511821342,-3.322330081,-0.645611117,3.251090875476649,0.093407335,0.14243096409208758,0.220453547,0.27059506992141724,0.11558124146557523,0.024338170605940464,0.015064904379697357,0.025124867,0.035482426,0.019326877,0.031036035642886834,0.007158563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXJ05331.1,Host,tier1,0.048190643,NA,NA,1,80,-2.917233014,0.8876325396786933,0.8178314260578117,-19.12473248,-57.71706689,2.8163375402992212,-91.13288319,100.87765340783186,-5.677678038,41.42825858745595,0.27977313379268587,4.494499673137993,-1.415594109,0.005819044,4.227301251,0.062005034,0.11723733505389175,0.15127367804310476,0.098037361,0.071176373,0.027296083182732148,0.028571630353020457,0.054470451,0.1218385746322666,0.090297309,0.16099622720868684,0.016799944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXJ05344.1,Host,tier2,0.049446034630943644,0.12872083306577356,0.12872083306577356,2,60,-2.833100786,-0.428012409,0.26652442509250585,-9.240760322,-72.2113964,28.117980929626878,-107.9570378,96.69817307995135,28.024887895373677,30.23942101905875,0.001274662,5.824549861432898,-0.827410722,-1.151845022,4.648058106353359,0.16222748800206233,0.1068624320604652,0.10742962250204909,0.11149283352562321,0.057715435,0.041341991,0.041486404430828634,0.041178053,0.077779139,0.063298892,0.17240423232838553,0.016783476760391523,XP_020897608.2,565,XM_021041949.2,110236427,NW_018385177.1:4-4043,LOC110236427,-,-,"GBP(1),GBP_C(1)",K20899:GBP1_3_4_7;_guanylate-binding_protein_1/3/4/7,PTHR10751:SF2::GB1/RHD3-TYPE_G_DOMAIN-CONTAINING_PROTEIN,"guanylate-binding_protein_4,_partial",AIPGENE10623,567
KXJ05354.1,Host,tier2,0.023160347,NA,NA,1,60,0.1423399966601675,0.5008308159240945,0.10451230888479363,2.135457692773067,-3.795678702,-7.120293517,-3.262743755,1.8807929202795732,-6.959004525,15.657545272999181,0.2726576637966378,-0.324723625,-0.240983796,0.28971828525835086,-0.350344445,0.088594467,0.047330223,0.057506599913667356,0.091728421,0.092306506,0.10397157667400113,0.10968803295688422,0.09568214,0.11082380318019595,0.045761933186301625,0.066736875,0.089869422,XP_020897465.1,282,XM_021041806.1,110236306,NW_018385164.1:329-3215,LOC110236306,UCHL5,-,Peptidase_C12(1),"K05610:UCHL5,_UCH37;_ubiquitin_carboxyl-terminal_hydrolase_L5_[EC:3.4.19.12]",PTHR10589:SF16::UBIQUITIN_CARBOXYL-TERMINAL_HYDROLASE_ISOZYME_L5,"ubiquitin_carboxyl-terminal_hydrolase_isozyme_L5,_partial",AIPGENE9384,231
KXJ05363.1,Host,tier1,0.085106574,NA,NA,1,90,-4.332734218,-2.914704713,-0.305355702,23.672904761196428,-71.39730127,77.21056819511396,-84.48802568,125.3943520852433,6.896373830602444,-6.992189001,-2.029877298,5.938884591929789,-2.779426314,-1.645721865,5.014694480152084,0.20430978338032119,0.21160990962131582,0.23579955793192095,0.085785192,0.034441279,0.0084603,0.008113829,0.021946632361125967,0.045861608,0.041871659,0.087523511,0.014276739151806996,XP_020897396.1,83,XM_021041737.1,110236242,NW_018385153.1:1311-2167,LOC110236242,-,-,LRR_9(1),K11092:SNRPA1;_U2_small_nuclear_ribonucleoprotein_A',PTHR10552:SF6::U2_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_A',"U2_small_nuclear_ribonucleoprotein_A',_partial",AIPGENE29169,76
KXJ05368.1,Host,tier1,0.039574189508647176,NA,NA,1,70,0.23633953641701938,-0.291734468,2.085938492085739,-12.65253831,-20.66774017,-4.346389638,-29.39278239,43.46682963084571,-28.75932848,29.953933932019197,-0.405229702,2.0143754368525517,-1.677215506,0.44568697145277447,1.9640360703490174,0.04099271,0.066798531,0.052644205,0.18661323911631558,0.10995014393914357,0.090975821,0.10784891054932663,0.081514229,0.084030005,0.041667817,0.069859416,0.067104972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXJ05379.1,Host,tier1,0.036108537,0.10457616867715024,0.10457616867715024,2,73.33333333333333,-2.311833595,0.1381011169144149,0.7496662304919108,-12.09537642,-50.45404211,6.467775106453549,-83.409667,93.24653877866014,-12.70592864,39.34152186361416,-0.371779369,4.103591922409448,-1.813119223,0.001109423,3.8063040274464495,0.071092023,0.098507762,0.16305357226841727,0.10506151264765753,0.075233973,0.046077235,0.041159815,0.059171636882314346,0.10036605037380955,0.10963256926677227,0.094373197,0.036270652,XP_020897279.1,184,XM_021041620.2,110236132,NW_018385132.1:105-2238,LOC110236132,DHRS4,-,"adh_short_C2(1),adh_short(1)",K11147:DHRS4;_dehydrogenase/reductase_SDR_family_member_4_[EC:1.1.-.-],PTHR43943::DEHYDROGENASE/REDUCTASE_(SDR_FAMILY)_MEMBER_4,"dehydrogenase/reductase_SDR_family_member_4,_partial",AIPGENE4940,177
KXJ05404.1,Host,tier2,0.048177197,NA,NA,1,55,-2.628424325,-0.908048216,1.4719237416514317,9.804343646,-47.1491709,44.39551113611956,-54.76084027,87.10903528278027,-20.53299031,17.975680223223712,-1.085255063,4.071977640669616,-2.214278576,-0.3740824,3.5982103433009964,0.095969731,0.11063143155861616,0.1647955931163419,0.15190899292197746,0.06831763,0.032483137078315474,0.030229985143920612,0.050650275983301046,0.075301835,0.056680956056510634,0.13539959466385265,0.027630837668050967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXJ05457.1,Host,tier1,0.099532823,0.099406025,0.11540655756955384,3,80,-4.121716149,3.2104653896287516,-2.239657348,-49.45787744,-54.31788944,-22.83975112,-121.1635658,77.32359446040402,11.929232462595484,100.15381659944805,2.506355676498078,4.209399661425994,0.34093015845136865,1.0701650757095553,4.7753774599223675,0.18559087431702526,0.027257822362887964,0.012617346,0.010500883830411908,0.016960698253846006,0.019675906657565134,0.028570617,0.034593858,0.11516735040846433,0.237797599,0.2896277256540548,0.021639318617518694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXJ05459.1,Host,tier1,0.062785239,NA,NA,1,70,-3.044155524,0.6257624088725282,-1.323302268,-7.377549718,-83.57517676,39.34214053,-122.7972076,105.89214675666797,44.71875441061288,25.414138433212546,-0.034102721,6.564819364112374,-0.645740359,-1.633967769,5.1553769940693694,0.22992402258809874,0.054162097,0.092029203,0.042949558,0.049342828,0.029754967429151194,0.018345786539700818,0.073266482,0.099660842,0.11533398635725181,0.1656823732298575,0.029547854134405294,XP_028519125.1,240,XM_028663324.1,110252843,NW_018388236.1:372177-383311,LOC110252843,RBM4B,-,"RRM_1(1),zf-CCHC(1)",K13187:RBM4;_RNA-binding_protein_4,PTHR48039:SF1::RNA-BINDING_MOTIF_PROTEIN_14B,RNA-binding_protein_lark-like,AIPGENE1435,100
KXJ05469.1,Host,tier2,0.062272726,NA,NA,1,50,-0.884938685,2.8856142624692698,-1.099551663,-44.66501002,-42.45902807,-42.58744055,-75.23605473,54.61371852755548,-3.590404408,86.38031221297639,1.9324701402392854,3.3504297819171995,0.066199197,1.2869599716085887,3.796189917165039,0.022164783,0.011780701217025078,0.026025767144356615,0.035308615,0.059369550414627735,0.062094651,0.0651447,0.14800513331732676,0.11969656057395082,0.1372026763810849,0.21867233195256872,0.094534531,XP_020896172.1,157,XM_021040513.2,110235089,NW_018385009.1:496-2191,LOC110235089,-,SP(Sec/SPI),-,-,-,-,AIPGENE25736,97
