Orthogroup	aip_longest_isoforms	nvec_longest_isoform	spis_longest_isoform_marker	xenia_longest_isoforms
OG0017299	XP_020895717.2			
OG0017300	XP_020895785.1			
OG0017301	XP_020895846.1			
OG0017302	XP_020895852.1			
OG0017303	XP_020895952.1			
OG0017304	XP_020895966.1			
OG0017305	XP_020896008.1			
OG0017306	XP_020896020.1			
OG0017307	XP_020896031.1			
OG0017308	XP_020896036.1			
OG0017309	XP_020896049.1			
OG0017310	XP_020896051.1			
OG0017311	XP_020896110.2			
OG0017312	XP_020896113.2			
OG0017313	XP_020896147.1			
OG0017314	XP_020896160.2			
OG0017315	XP_020896171.1			
OG0017316	XP_020896205.1			
OG0017317	XP_020896218.1			
OG0017318	XP_020896229.2			
OG0017319	XP_020896307.1			
OG0017320	XP_020896329.1			
OG0017321	XP_020896330.1			
OG0017322	XP_020896403.1			
OG0017323	XP_020896420.2			
OG0017324	XP_020896423.1			
OG0017325	XP_020896425.1			
OG0017326	XP_020896446.1			
OG0017327	XP_020896462.1			
OG0017328	XP_020896485.1			
OG0017329	XP_020896494.1			
OG0017330	XP_020896523.1			
OG0017331	XP_020896534.2			
OG0017332	XP_020896552.1			
OG0017333	XP_020896569.1			
OG0017334	XP_020896706.1			
OG0017335	XP_020896711.1			
OG0017336	XP_020896713.1			
OG0017337	XP_020896714.1			
OG0017338	XP_020896730.2			
OG0017339	XP_020896773.1			
OG0017340	XP_020896774.1			
OG0017341	XP_020896793.2			
OG0017342	XP_020896807.1			
OG0017343	XP_020896808.1			
OG0017344	XP_020896927.1			
OG0017345	XP_020896942.1			
OG0017346	XP_020896959.1			
OG0017347	XP_020896992.1			
OG0017348	XP_020896996.1			
OG0017349	XP_020897011.2			
OG0017350	XP_020897017.1			
OG0017351	XP_020897019.2			
OG0017352	XP_020897055.2			
OG0017353	XP_020897110.1			
OG0017354	XP_020897118.1			
OG0017355	XP_020897192.1			
OG0017356	XP_020897200.1			
OG0017357	XP_020897241.1			
OG0017358	XP_020897292.1			
OG0017359	XP_020897301.1			
OG0017360	XP_020897320.1			
OG0017361	XP_020897379.1			
OG0017362	XP_020897421.1			
OG0017363	XP_020897429.1			
OG0017364	XP_020897432.1			
OG0017365	XP_020897460.1			
OG0017366	XP_020897548.1			
OG0017367	XP_020897574.1			
OG0017368	XP_020897576.1			
OG0017369	XP_020897583.1			
OG0017370	XP_020897585.1			
OG0017371	XP_020897588.2			
OG0017372	XP_020897590.1			
OG0017373	XP_020897592.1			
OG0017374	XP_020897598.1			
OG0017375	XP_020897603.2			
OG0017376	XP_020897605.1			
OG0017377	XP_020897629.1			
OG0017378	XP_020897676.2			
OG0017379	XP_020897698.1			
OG0017380	XP_020897710.1			
OG0017381	XP_020897757.1			
OG0017382	XP_020897787.1			
OG0017383	XP_020897799.2			
OG0017384	XP_020897802.1			
OG0017385	XP_020897834.1			
OG0017386	XP_020897865.1			
OG0017387	XP_020897871.1			
OG0017388	XP_020897900.1			
OG0017389	XP_020897904.1			
OG0017390	XP_020897922.1			
OG0017391	XP_020897929.2			
OG0017392	XP_020897932.1			
OG0017393	XP_020897944.1			
OG0017394	XP_020897958.1			
OG0017395	XP_020898002.1			
OG0017396	XP_020898029.1			
OG0017397	XP_020898037.1			
OG0017398	XP_020898052.1			
OG0017399	XP_020898072.1			
OG0017400	XP_020898073.1			
OG0017401	XP_020898084.1			
OG0017402	XP_020898087.1			
OG0017403	XP_020898119.1			
OG0017404	XP_020898133.1			
OG0017405	XP_020898142.1			
OG0017406	XP_020898143.1			
OG0017407	XP_020898171.1			
OG0017408	XP_020898203.1			
OG0017409	XP_020898207.1			
OG0017410	XP_020898260.2			
OG0017411	XP_020898280.2			
OG0017412	XP_020898297.1			
OG0017413	XP_020898300.1			
OG0017414	XP_020898329.1			
OG0017415	XP_020898368.1			
OG0017416	XP_020898376.1			
OG0017417	XP_020898377.1			
OG0017418	XP_020898384.1			
OG0017419	XP_020898427.1			
OG0017420	XP_020898429.1			
OG0017421	XP_020898491.2			
OG0017422	XP_020898520.1			
OG0017423	XP_020898529.1			
OG0017424	XP_020898531.1			
OG0017425	XP_020898557.1			
OG0017426	XP_020898570.1			
OG0017427	XP_020898594.1			
OG0017428	XP_020898598.2			
OG0017429	XP_020898602.1			
OG0017430	XP_020898616.1			
OG0017431	XP_020898628.1			
OG0017432	XP_020898653.2			
OG0017433	XP_020898668.1			
OG0017434	XP_020898713.1			
OG0017435	XP_020898718.1			
OG0017436	XP_020898729.1			
OG0017437	XP_020898748.1			
OG0017438	XP_020898779.1			
OG0017439	XP_020898811.1			
OG0017440	XP_020898812.1			
OG0017441	XP_020898844.1			
OG0017442	XP_020898912.2			
OG0017443	XP_020898917.1			
OG0017444	XP_020898988.1			
OG0017445	XP_020898992.1			
OG0017446	XP_020898999.2			
OG0017447	XP_020899004.2			
OG0017448	XP_020899005.1			
OG0017449	XP_020899009.1			
OG0017450	XP_020899021.2			
OG0017451	XP_020899030.1			
OG0017452	XP_020899054.1			
OG0017453	XP_020899064.1			
OG0017454	XP_020899073.1			
OG0017455	XP_020899087.1			
OG0017456	XP_020899141.1			
OG0017457	XP_020899149.1			
OG0017458	XP_020899151.2			
OG0017459	XP_020899172.1			
OG0017460	XP_020899212.1			
OG0017461	XP_020899222.2			
OG0017462	XP_020899225.1			
OG0017463	XP_020899248.1			
OG0017464	XP_020899259.1			
OG0017465	XP_020899276.2			
OG0017466	XP_020899290.2			
OG0017467	XP_020899367.1			
OG0017468	XP_020899442.2			
OG0017469	XP_020899461.1			
OG0017470	XP_020899490.1			
OG0017471	XP_020899516.1			
OG0017472	XP_020899521.1			
OG0017473	XP_020899529.1			
OG0017474	XP_020899534.1			
OG0017475	XP_020899574.1			
OG0017476	XP_020899583.1			
OG0017477	XP_020899602.1			
OG0017478	XP_020899615.1			
OG0017479	XP_020899621.2			
OG0017480	XP_020899653.1			
OG0017481	XP_020899706.1			
OG0017482	XP_020899713.1			
OG0017483	XP_020899723.1			
OG0017484	XP_020899732.1			
OG0017485	XP_020899740.1			
OG0017486	XP_020899751.1			
OG0017487	XP_020899754.1			
OG0017488	XP_020899782.2			
OG0017489	XP_020899814.1			
OG0017490	XP_020899820.1			
OG0017491	XP_020899833.1			
OG0017492	XP_020899868.2			
OG0017493	XP_020899869.1			
OG0017494	XP_020899960.1			
OG0017495	XP_020899969.2			
OG0017496	XP_020900033.1			
OG0017497	XP_020900044.1			
OG0017498	XP_020900047.1			
OG0017499	XP_020900071.1			
OG0017500	XP_020900100.1			
OG0017501	XP_020900121.1			
OG0017502	XP_020900131.1			
OG0017503	XP_020900147.1			
OG0017504	XP_020900277.2			
OG0017505	XP_020900332.1			
OG0017506	XP_020900336.1			
OG0017507	XP_020900357.1			
OG0017508	XP_020900416.1			
OG0017509	XP_020900432.1			
OG0017510	XP_020900440.1			
OG0017511	XP_020900446.1			
OG0017512	XP_020900469.1			
OG0017513	XP_020900473.1			
OG0017514	XP_020900535.1			
OG0017515	XP_020900547.1			
OG0017516	XP_020900567.1			
OG0017517	XP_020900576.1			
OG0017518	XP_020900596.1			
OG0017519	XP_020900605.2			
OG0017520	XP_020900619.1			
OG0017521	XP_020900629.1			
OG0017522	XP_020900662.2			
OG0017523	XP_020900684.1			
OG0017524	XP_020900709.1			
OG0017525	XP_020900713.1			
OG0017526	XP_020900745.1			
OG0017527	XP_020900768.1			
OG0017528	XP_020900773.1			
OG0017529	XP_020900832.2			
OG0017530	XP_020900839.1			
OG0017531	XP_020900843.2			
OG0017532	XP_020900853.2			
OG0017533	XP_020900896.2			
OG0017534	XP_020900951.1			
OG0017535	XP_020900964.1			
OG0017536	XP_020901025.1			
OG0017537	XP_020901038.1			
OG0017538	XP_020901051.1			
OG0017539	XP_020901057.1			
OG0017540	XP_020901066.1			
OG0017541	XP_020901089.1			
OG0017542	XP_020901094.1			
OG0017543	XP_020901108.2			
OG0017544	XP_020901125.1			
OG0017545	XP_020901131.1			
OG0017546	XP_020901136.1			
OG0017547	XP_020901142.1			
OG0017548	XP_020901168.1			
OG0017549	XP_020901175.1			
OG0017550	XP_020901191.1			
OG0017551	XP_020901197.1			
OG0017552	XP_020901198.1			
OG0017553	XP_020901225.1			
OG0017554	XP_020901230.2			
OG0017555	XP_020901233.1			
OG0017556	XP_020901279.1			
OG0017557	XP_020901283.1			
OG0017558	XP_020901287.1			
OG0017559	XP_020901304.2			
OG0017560	XP_020901344.1			
OG0017561	XP_020901458.1			
OG0017562	XP_020901478.1			
OG0017563	XP_020901494.1			
OG0017564	XP_020901559.2			
OG0017565	XP_020901564.2			
OG0017566	XP_020901572.1			
OG0017567	XP_020901575.1			
OG0017568	XP_020901606.2			
OG0017569	XP_020901613.1			
OG0017570	XP_020901623.1			
OG0017571	XP_020901643.1			
OG0017572	XP_020901678.1			
OG0017573	XP_020901720.1			
OG0017574	XP_020901731.1			
OG0017575	XP_020901767.1			
OG0017576	XP_020901771.1			
OG0017577	XP_020901796.1			
OG0017578	XP_020901817.1			
OG0017579	XP_020901825.1			
OG0017580	XP_020901886.1			
OG0017581	XP_020901905.1			
OG0017582	XP_020901970.2			
OG0017583	XP_020902040.1			
OG0017584	XP_020902054.1			
OG0017585	XP_020902069.1			
OG0017586	XP_020902132.2			
OG0017587	XP_020902135.1			
OG0017588	XP_020902147.1			
OG0017589	XP_020902206.1			
OG0017590	XP_020902209.1			
OG0017591	XP_020902237.2			
OG0017592	XP_020902241.1			
OG0017593	XP_020902242.1			
OG0017594	XP_020902296.1			
OG0017595	XP_020902306.1			
OG0017596	XP_020902310.1			
OG0017597	XP_020902311.1			
OG0017598	XP_020902315.1			
OG0017599	XP_020902338.2			
OG0017600	XP_020902342.1			
OG0017601	XP_020902375.1			
OG0017602	XP_020902432.1			
OG0017603	XP_020902452.1			
OG0017604	XP_020902473.1			
OG0017605	XP_020902534.2			
OG0017606	XP_020902553.1			
OG0017607	XP_020902572.1			
OG0017608	XP_020902587.1			
OG0017609	XP_020902622.1			
OG0017610	XP_020902645.1			
OG0017611	XP_020902647.1			
OG0017612	XP_020902653.1			
OG0017613	XP_020902662.1			
OG0017614	XP_020902694.1			
OG0017615	XP_020902697.1			
OG0017616	XP_020902715.1			
OG0017617	XP_020902731.1			
OG0017618	XP_020902735.1			
OG0017619	XP_020902761.1			
OG0017620	XP_020902790.1			
OG0017621	XP_020902801.1			
OG0017622	XP_020902802.1			
OG0017623	XP_020902812.1			
OG0017624	XP_020902872.1			
OG0017625	XP_020902914.1			
OG0017626	XP_020902919.2			
OG0017627	XP_020902927.1			
OG0017628	XP_020902949.1			
OG0017629	XP_020902954.1			
OG0017630	XP_020902959.1			
OG0017631	XP_020902963.1			
OG0017632	XP_020902990.1			
OG0017633	XP_020903002.1			
OG0017634	XP_020903033.1			
OG0017635	XP_020903064.1			
OG0017636	XP_020903080.1			
OG0017637	XP_020903116.1			
OG0017638	XP_020903128.1			
OG0017639	XP_020903133.1			
OG0017640	XP_020903162.1			
OG0017641	XP_020903196.1			
OG0017642	XP_020903225.1			
OG0017643	XP_020903280.1			
OG0017644	XP_020903331.1			
OG0017645	XP_020903362.1			
OG0017646	XP_020903365.1			
OG0017647	XP_020903369.1			
OG0017648	XP_020903394.1			
OG0017649	XP_020903427.1			
OG0017650	XP_020903442.1			
OG0017651	XP_020903444.1			
OG0017652	XP_020903447.1			
OG0017653	XP_020903453.1			
OG0017654	XP_020903456.2			
OG0017655	XP_020903462.2			
OG0017656	XP_020903464.1			
OG0017657	XP_020903495.1			
OG0017658	XP_020903496.1			
OG0017659	XP_020903523.1			
OG0017660	XP_020903558.1			
OG0017661	XP_020903577.1			
OG0017662	XP_020903626.1			
OG0017663	XP_020903633.1			
OG0017664	XP_020903642.1			
OG0017665	XP_020903653.1			
OG0017666	XP_020903697.1			
OG0017667	XP_020903767.1			
OG0017668	XP_020903804.1			
OG0017669	XP_020903888.1			
OG0017670	XP_020903897.1			
OG0017671	XP_020903900.1			
OG0017672	XP_020903910.1			
OG0017673	XP_020903917.1			
OG0017674	XP_020903944.1			
OG0017675	XP_020903947.1			
OG0017676	XP_020904032.1			
OG0017677	XP_020904039.1			
OG0017678	XP_020904071.1			
OG0017679	XP_020904072.1			
OG0017680	XP_020904084.1			
OG0017681	XP_020904110.1			
OG0017682	XP_020904129.1			
OG0017683	XP_020904137.1			
OG0017684	XP_020904153.1			
OG0017685	XP_020904158.1			
OG0017686	XP_020904172.1			
OG0017687	XP_020904192.1			
OG0017688	XP_020904218.1			
OG0017689	XP_020904220.2			
OG0017690	XP_020904251.1			
OG0017691	XP_020904260.1			
OG0017692	XP_020904286.2			
OG0017693	XP_020904300.1			
OG0017694	XP_020904309.1			
OG0017695	XP_020904320.1			
OG0017696	XP_020904327.1			
OG0017697	XP_020904350.1			
OG0017698	XP_020904351.1			
OG0017699	XP_020904359.1			
OG0017700	XP_020904361.1			
OG0017701	XP_020904380.1			
OG0017702	XP_020904396.1			
OG0017703	XP_020904422.1			
OG0017704	XP_020904475.1			
OG0017705	XP_020904515.1			
OG0017706	XP_020904518.2			
OG0017707	XP_020904522.1			
OG0017708	XP_020904528.1			
OG0017709	XP_020904541.1			
OG0017710	XP_020904562.1			
OG0017711	XP_020904563.1			
OG0017712	XP_020904626.1			
OG0017713	XP_020904656.1			
OG0017714	XP_020904672.1			
OG0017715	XP_020904709.1			
OG0017716	XP_020904739.1			
OG0017717	XP_020904755.1			
OG0017718	XP_020904783.1			
OG0017719	XP_020904817.1			
OG0017720	XP_020904830.1			
OG0017721	XP_020904837.1			
OG0017722	XP_020904860.1			
OG0017723	XP_020904889.1			
OG0017724	XP_020904970.1			
OG0017725	XP_020904975.1			
OG0017726	XP_020904985.1			
OG0017727	XP_020904989.1			
OG0017728	XP_020904999.1			
OG0017729	XP_020905005.1			
OG0017730	XP_020905007.1			
OG0017731	XP_020905009.2			
OG0017732	XP_020905103.1			
OG0017733	XP_020905104.2			
OG0017734	XP_020905114.2			
OG0017735	XP_020905115.2			
OG0017736	XP_020905126.1			
OG0017737	XP_020905136.2			
OG0017738	XP_020905152.1			
OG0017739	XP_020905162.1			
OG0017740	XP_020905169.1			
OG0017741	XP_020905187.1			
OG0017742	XP_020905202.1			
OG0017743	XP_020905253.1			
OG0017744	XP_020905306.1			
OG0017745	XP_020905314.1			
OG0017746	XP_020905318.1			
OG0017747	XP_020905357.1			
OG0017748	XP_020905385.1			
OG0017749	XP_020905387.2			
OG0017750	XP_020905396.2			
OG0017751	XP_020905426.1			
OG0017752	XP_020905427.1			
OG0017753	XP_020905467.1			
OG0017754	XP_020905470.1			
OG0017755	XP_020905486.1			
OG0017756	XP_020905495.1			
OG0017757	XP_020905498.1			
OG0017758	XP_020905569.1			
OG0017759	XP_020905570.1			
OG0017760	XP_020905572.1			
OG0017761	XP_020905584.2			
OG0017762	XP_020905601.1			
OG0017763	XP_020905610.1			
OG0017764	XP_020905673.1			
OG0017765	XP_020905715.1			
OG0017766	XP_020905716.1			
OG0017767	XP_020905725.2			
OG0017768	XP_020905736.1			
OG0017769	XP_020905760.1			
OG0017770	XP_020905768.1			
OG0017771	XP_020905777.1			
OG0017772	XP_020905838.1			
OG0017773	XP_020905862.2			
OG0017774	XP_020905863.1			
OG0017775	XP_020905887.2			
OG0017776	XP_020905914.1			
OG0017777	XP_020905924.1			
OG0017778	XP_020905947.1			
OG0017779	XP_020905961.1			
OG0017780	XP_020905975.1			
OG0017781	XP_020906015.1			
OG0017782	XP_020906027.1			
OG0017783	XP_020906066.1			
OG0017784	XP_020906091.1			
OG0017785	XP_020906098.1			
OG0017786	XP_020906132.1			
OG0017787	XP_020906136.1			
OG0017788	XP_020906140.1			
OG0017789	XP_020906141.1			
OG0017790	XP_020906199.1			
OG0017791	XP_020906200.1			
OG0017792	XP_020906201.2			
OG0017793	XP_020906232.1			
OG0017794	XP_020906253.1			
OG0017795	XP_020906261.1			
OG0017796	XP_020906263.2			
OG0017797	XP_020906265.1			
OG0017798	XP_020906267.2			
OG0017799	XP_020906272.1			
OG0017800	XP_020906286.1			
OG0017801	XP_020906304.1			
OG0017802	XP_020906320.1			
OG0017803	XP_020906336.2			
OG0017804	XP_020906342.1			
OG0017805	XP_020906369.1			
OG0017806	XP_020906372.1			
OG0017807	XP_020906395.1			
OG0017808	XP_020906414.2			
OG0017809	XP_020906415.1			
OG0017810	XP_020906427.1			
OG0017811	XP_020906493.1			
OG0017812	XP_020906494.1			
OG0017813	XP_020906524.1			
OG0017814	XP_020906531.1			
OG0017815	XP_020906548.1			
OG0017816	XP_020906580.1			
OG0017817	XP_020906588.1			
OG0017818	XP_020906615.1			
OG0017819	XP_020906630.1			
OG0017820	XP_020906667.1			
OG0017821	XP_020906675.1			
OG0017822	XP_020906676.1			
OG0017823	XP_020906678.1			
OG0017824	XP_020906722.2			
OG0017825	XP_020906731.1			
OG0017826	XP_020906779.1			
OG0017827	XP_020906811.1			
OG0017828	XP_020906813.2			
OG0017829	XP_020906821.1			
OG0017830	XP_020906844.1			
OG0017831	XP_020906906.1			
OG0017832	XP_020906908.1			
OG0017833	XP_020906909.1			
OG0017834	XP_020906979.1			
OG0017835	XP_020906983.1			
OG0017836	XP_020907004.1			
OG0017837	XP_020907007.2			
OG0017838	XP_020907008.2			
OG0017839	XP_020907024.1			
OG0017840	XP_020907031.2			
OG0017841	XP_020907032.2			
OG0017842	XP_020907055.2			
OG0017843	XP_020907062.1			
OG0017844	XP_020907084.1			
OG0017845	XP_020907105.1			
OG0017846	XP_020907113.1			
OG0017847	XP_020907137.1			
OG0017848	XP_020907167.1			
OG0017849	XP_020907169.1			
OG0017850	XP_020907179.2			
OG0017851	XP_020907213.1			
OG0017852	XP_020907216.1			
OG0017853	XP_020907224.2			
OG0017854	XP_020907238.1			
OG0017855	XP_020907257.1			
OG0017856	XP_020907260.1			
OG0017857	XP_020907261.1			
OG0017858	XP_020907275.1			
OG0017859	XP_020907277.1			
OG0017860	XP_020907318.1			
OG0017861	XP_020907344.1			
OG0017862	XP_020907345.1			
OG0017863	XP_020907361.1			
OG0017864	XP_020907362.2			
OG0017865	XP_020907379.1			
OG0017866	XP_020907380.1			
OG0017867	XP_020907384.1			
OG0017868	XP_020907410.1			
OG0017869	XP_020907421.1			
OG0017870	XP_020907430.1			
OG0017871	XP_020907446.1			
OG0017872	XP_020907452.1			
OG0017873	XP_020907468.1			
OG0017874	XP_020907471.2			
OG0017875	XP_020907498.1			
OG0017876	XP_020907546.1			
OG0017877	XP_020907587.2			
OG0017878	XP_020907646.1			
OG0017879	XP_020907647.1			
OG0017880	XP_020907661.1			
OG0017881	XP_020907679.1			
OG0017882	XP_020907700.1			
OG0017883	XP_020907717.1			
OG0017884	XP_020907758.1			
OG0017885	XP_020907759.1			
OG0017886	XP_020907777.1			
OG0017887	XP_020907807.1			
OG0017888	XP_020907811.1			
OG0017889	XP_020907858.2			
OG0017890	XP_020907859.1			
OG0017891	XP_020907881.1			
OG0017892	XP_020907901.1			
OG0017893	XP_020907909.1			
OG0017894	XP_020907945.1			
OG0017895	XP_020907954.1			
OG0017896	XP_020907965.1			
OG0017897	XP_020907969.1			
OG0017898	XP_020908077.1			
OG0017899	XP_020908085.1			
OG0017900	XP_020908089.1			
OG0017901	XP_020908126.1			
OG0017902	XP_020908133.1			
OG0017903	XP_020908138.1			
OG0017904	XP_020908173.1			
OG0017905	XP_020908181.1			
OG0017906	XP_020908190.1			
OG0017907	XP_020908191.1			
OG0017908	XP_020908196.1			
OG0017909	XP_020908198.1			
OG0017910	XP_020908223.1			
OG0017911	XP_020908224.1			
OG0017912	XP_020908226.1			
OG0017913	XP_020908276.1			
OG0017914	XP_020908277.1			
OG0017915	XP_020908292.1			
OG0017916	XP_020908293.1			
OG0017917	XP_020908303.2			
OG0017918	XP_020908322.1			
OG0017919	XP_020908364.1			
OG0017920	XP_020908418.1			
OG0017921	XP_020908421.1			
OG0017922	XP_020908426.1			
OG0017923	XP_020908427.2			
OG0017924	XP_020908428.1			
OG0017925	XP_020908429.1			
OG0017926	XP_020908439.1			
OG0017927	XP_020908441.1			
OG0017928	XP_020908446.1			
OG0017929	XP_020908461.1			
OG0017930	XP_020908475.1			
OG0017931	XP_020908477.1			
OG0017932	XP_020908487.1			
OG0017933	XP_020908488.1			
OG0017934	XP_020908505.1			
OG0017935	XP_020908507.1			
OG0017936	XP_020908517.1			
OG0017937	XP_020908556.1			
OG0017938	XP_020908573.1			
OG0017939	XP_020908619.2			
OG0017940	XP_020908634.1			
OG0017941	XP_020908658.2			
OG0017942	XP_020908662.1			
OG0017943	XP_020908684.1			
OG0017944	XP_020908690.1			
OG0017945	XP_020908699.1			
OG0017946	XP_020908708.1			
OG0017947	XP_020908709.1			
OG0017948	XP_020908730.1			
OG0017949	XP_020908737.1			
OG0017950	XP_020908738.1			
OG0017951	XP_020908739.1			
OG0017952	XP_020908740.1			
OG0017953	XP_020908746.1			
OG0017954	XP_020908780.1			
OG0017955	XP_020908802.1			
OG0017956	XP_020908838.1			
OG0017957	XP_020908857.1			
OG0017958	XP_020908858.1			
OG0017959	XP_020908882.2			
OG0017960	XP_020908919.2			
OG0017961	XP_020908934.2			
OG0017962	XP_020908936.1			
OG0017963	XP_020908937.1			
OG0017964	XP_020908964.1			
OG0017965	XP_020908972.1			
OG0017966	XP_020908974.1			
OG0017967	XP_020908989.2			
OG0017968	XP_020909016.1			
OG0017969	XP_020909077.1			
OG0017970	XP_020909079.1			
OG0017971	XP_020909088.2			
OG0017972	XP_020909116.1			
OG0017973	XP_020909117.1			
OG0017974	XP_020909128.1			
OG0017975	XP_020909134.2			
OG0017976	XP_020909137.1			
OG0017977	XP_020909161.1			
OG0017978	XP_020909181.2			
OG0017979	XP_020909194.1			
OG0017980	XP_020909197.2			
OG0017981	XP_020909201.1			
OG0017982	XP_020909203.1			
