Orthogroup	Species	nvec_longest_isoform	Orthologs
OG0000028	spis_longest_isoform_marker	XP_001641088.3	XP_022805039.1, XP_022805055.1, XP_022805058.1, XP_022784188.1, XP_022805053.1, XP_022805054.1
OG0000028	aip_longest_isoforms	XP_001641088.3	XP_020917390.1
OG0000028	spis_longest_isoform_marker	XP_032229419.1, XP_048576267.1	XP_022782030.1
OG0000028	aip_longest_isoforms	XP_032229419.1	XP_020914014.1
OG0000028	aip_longest_isoforms	XP_048576267.1	XP_020894395.1, XP_020905359.1
OG0000028	spis_longest_isoform_marker	XP_032219095.2, XP_001640101.1, XP_048575815.1, XP_032221500.2, XP_001627579.2, XP_001636964.2, XP_032224826.2, XP_048581324.1	XP_022780558.1
OG0000028	aip_longest_isoforms	XP_048575815.1, XP_032221500.2	XP_028516187.1
OG0000028	aip_longest_isoforms	XP_001627579.2	XP_020905390.1, XP_020905365.1
OG0000028	aip_longest_isoforms	XP_032224826.2	XP_020910879.1, XP_028517859.1, XP_020910875.1
OG0000028	aip_longest_isoforms	XP_048581324.1	XP_020908673.1
OG0000031	xenia_longest_isoforms	XP_048575684.1	Xe_028329-T1, Xe_011577-T1, Xe_018919-T1, Xe_019182-T1, Xe_019490-T1, Xe_019443-T1, Xe_013369-T1, Xe_019223-T1, Xe_019132-T1, Xe_019207-T1, Xe_018853-T1, Xe_019088-T1, Xe_019028-T1, Xe_025110-T1, Xe_018850-T1, Xe_019220-T1, Xe_019143-T1, Xe_016668-T1, Xe_019099-T1, Xe_019103-T1, Xe_019229-T1, Xe_019027-T1, Xe_019294-T1, Xe_014002-T1, Xe_028843-T1, Xe_000334-T1, Xe_013978-T1, Xe_019521-T1, Xe_007843-T1, Xe_019563-T1, Xe_012041-T1, Xe_014237-T1, Xe_014267-T1, Xe_012075-T1, Xe_012375-T1, Xe_018553-T1, Xe_010179-T1, Xe_002873-T1, Xe_012507-T1, Xe_014096-T1, Xe_017979-T1, Xe_017980-T1, Xe_025240-T1, Xe_012690-T1, Xe_011168-T1, Xe_011114-T1, Xe_011184-T1, Xe_000336-T1, Xe_003937-T1, Xe_029001-T1, Xe_006215-T1, Xe_001912-T1, Xe_001917-T1, Xe_013305-T1, Xe_001925-T1
OG0000031	spis_longest_isoform_marker	XP_048575684.1	XP_022794560.1
OG0000031	aip_longest_isoforms	XP_048575684.1	XP_020914234.1
OG0000035	aip_longest_isoforms	XP_048585684.1, XP_048585982.1	XP_020914388.1, XP_020904729.1
OG0000035	xenia_longest_isoforms	XP_048585684.1, XP_048585982.1	Xe_003214-T1
OG0000039	xenia_longest_isoforms	XP_032242158.1	Xe_025402-T1
OG0000039	spis_longest_isoform_marker	XP_032242158.1	XP_022797148.1, XP_022797152.1
OG0000039	aip_longest_isoforms	XP_032242158.1	XP_020909873.1, XP_028514906.1
OG0000039	xenia_longest_isoforms	XP_032242156.1, XP_032242159.2	Xe_016238-T1, Xe_004328-T1, Xe_016236-T1, Xe_016248-T1, Xe_016125-T1, Xe_009800-T1, Xe_016259-T1, Xe_016263-T1, Xe_025403-T1, Xe_015918-T1, Xe_017319-T1, Xe_012840-T1, Xe_027110-T1, Xe_015906-T1, Xe_015913-T1, Xe_015835-T1, Xe_015836-T1, Xe_016118-T1, Xe_016224-T1, Xe_015834-T1, Xe_016251-T1, Xe_016241-T1, Xe_016121-T1, Xe_016120-T1, Xe_016229-T1, Xe_016223-T1, Xe_015917-T1, Xe_016239-T1, Xe_016250-T1, Xe_016124-T1, Xe_016117-T1, Xe_016122-T1, Xe_015907-T1, Xe_016261-T1, Xe_016225-T1, Xe_016230-T1, Xe_016260-T1, Xe_016231-T1, Xe_016226-T1
OG0000039	spis_longest_isoform_marker	XP_032242156.1, XP_032242159.2	XP_022807789.1
OG0000039	aip_longest_isoforms	XP_032242156.1, XP_032242159.2	XP_028517518.1
OG0000040	spis_longest_isoform_marker	XP_048590439.1	XP_022780664.1
OG0000040	aip_longest_isoforms	XP_048590439.1	XP_020917809.2
OG0000043	aip_longest_isoforms	XP_048577458.1	XP_020904632.2, XP_020904631.2, XP_020908207.2, XP_028517020.1, XP_028517014.1, XP_028517013.1, XP_028513319.1, XP_020898257.1, XP_020915140.2, XP_020891997.1, XP_028519070.1, XP_020915178.2, XP_020915176.2, XP_028519064.1, XP_020901441.2, XP_020915180.1, XP_028516032.1, XP_028516033.1, XP_028514716.1, XP_020894074.1, XP_028518426.1, XP_028513017.1, XP_020911305.1, XP_020911302.1, XP_028517973.1, XP_020907515.1, XP_020907513.1, XP_028514739.1, XP_020897252.2, XP_020912618.2, XP_028513999.1, XP_028519636.1, XP_028518584.1, XP_020905389.2, XP_020905386.2, XP_020891989.1, XP_020896004.1, XP_020916477.1, XP_020897440.1, XP_020907518.1, XP_028516819.1, XP_028516808.1, XP_020907550.2, XP_020914982.2, XP_028514741.1, XP_028514743.1, XP_020899992.1, XP_020899995.1
OG0000048	xenia_longest_isoforms	XP_001630908.3	Xe_010319-T1, Xe_010700-T1, Xe_010349-T1, Xe_010710-T1, Xe_010681-T1, Xe_010325-T1, Xe_010337-T1, Xe_010338-T1, Xe_010676-T1, Xe_010333-T1, Xe_010703-T1, Xe_010336-T1, Xe_010682-T1, Xe_010701-T1, Xe_010320-T1, Xe_025469-T1, Xe_010356-T1, Xe_010687-T1, Xe_010672-T1, Xe_010348-T1, Xe_010329-T1, Xe_010352-T1, Xe_010695-T1, Xe_010678-T1, Xe_010706-T1, Xe_010315-T1, Xe_010716-T1, Xe_010709-T1, Xe_010324-T1, Xe_010685-T1, Xe_010342-T1, Xe_010708-T1, Xe_010354-T1, Xe_010317-T1, Xe_010335-T1, Xe_010702-T1, Xe_010323-T1, Xe_010674-T1, Xe_010688-T1, Xe_010686-T1, Xe_010355-T1, Xe_010673-T1, Xe_010334-T1
OG0000048	spis_longest_isoform_marker	XP_001630908.3	XP_022785376.1
OG0000048	aip_longest_isoforms	XP_001630908.3	XP_020897096.1
OG0000053	xenia_longest_isoforms	XP_001627538.2	Xe_006883-T1, Xe_006910-T1, Xe_028526-T1, Xe_028537-T1, Xe_028550-T1, Xe_028545-T1, Xe_028553-T1, Xe_028524-T1, Xe_006864-T1, Xe_006865-T1, Xe_006863-T1, Xe_016683-T1, Xe_019198-T1, Xe_018918-T1, Xe_020330-T1, Xe_018720-T1, Xe_027600-T1, Xe_000786-T1, Xe_016328-T1, Xe_020914-T1, Xe_008566-T1, Xe_008569-T1, Xe_018651-T1, Xe_010130-T1, Xe_006874-T1, Xe_006913-T1, Xe_006866-T1, Xe_028540-T1, Xe_028549-T1, Xe_028516-T1, Xe_028556-T1, Xe_006880-T1, Xe_006907-T1, Xe_028507-T1, Xe_028529-T1, Xe_007072-T1, Xe_028511-T1, Xe_028533-T1, Xe_028508-T1, Xe_028543-T1, Xe_006915-T1
OG0000053	aip_longest_isoforms	XP_001627538.2	XP_020903072.1
OG0000053	spis_longest_isoform_marker	XP_001627538.2	XP_022785355.1
OG0000058	spis_longest_isoform_marker	XP_032229548.2	XP_022784462.1, XP_022804402.1, XP_022800785.1, XP_022809738.1, XP_022808276.1, XP_022806463.1, XP_022808273.1, XP_022778047.1, XP_022808855.1, XP_022809735.1, XP_022808860.1, XP_022803777.1, XP_022809211.1, XP_022800834.1, XP_022800863.1, XP_022792742.1, XP_022785218.1, XP_022788768.1, XP_022793473.1, XP_022792962.1, XP_022810179.1, XP_022785234.1, XP_022785237.1, XP_022808807.1, XP_022810596.1, XP_022785235.1, XP_022808749.1, XP_022806763.1, XP_022785270.1, XP_022808809.1, XP_022784463.1, XP_022807927.1, XP_022790603.1, XP_022803776.1, XP_022803790.1, XP_022800838.1, XP_022784461.1, XP_022800846.1, XP_022800851.1, XP_022800839.1, XP_022800837.1
OG0000058	aip_longest_isoforms	XP_032229548.2	XP_020901049.1
OG0000059	xenia_longest_isoforms	XP_001639282.2	Xe_009344-T1
OG0000059	spis_longest_isoform_marker	XP_001639282.2	XP_022807306.1, XP_022796950.1, XP_022807293.1, XP_022807292.1, XP_022807290.1, XP_022807295.1, XP_022810572.1, XP_022807286.1, XP_022807291.1, XP_022803772.1, XP_022805530.1, XP_022805529.1, XP_022807303.1, XP_022805535.1, XP_022810571.1, XP_022805531.1, XP_022778171.1, XP_022778657.1, XP_022810377.1, XP_022810514.1, XP_022784938.1, XP_022798043.1, XP_022801934.1, XP_022793839.1, XP_022793842.1, XP_022787516.1, XP_022801935.1, XP_022777642.1, XP_022793843.1, XP_022793840.1, XP_022793841.1, XP_022793860.1, XP_022793836.1, XP_022777643.1, XP_022793862.1, XP_022795922.1, XP_022801950.1, XP_022801941.1, XP_022793837.1, XP_022801955.1, XP_022801940.1
OG0000064	xenia_longest_isoforms	XP_032237816.2, XP_001621520.3, XP_001625504.3	Xe_018287-T1, Xe_018289-T1, Xe_009458-T1, Xe_009454-T1, Xe_009551-T1, Xe_009466-T1, Xe_009450-T1, Xe_009451-T1, Xe_009552-T1, Xe_009447-T1, Xe_009467-T1, Xe_009470-T2, Xe_009470-T1, Xe_009460-T1, Xe_009464-T1
OG0000064	spis_longest_isoform_marker	XP_032237816.2, XP_001621520.3, XP_001625504.3	XP_022793587.1, XP_022805515.1, XP_022795995.1, XP_022796000.1, XP_022779001.1
OG0000064	aip_longest_isoforms	XP_032237816.2, XP_001621520.3, XP_001625504.3	XP_020909418.1, XP_020905080.1, XP_020917218.1, XP_020916850.1, XP_028514288.1, XP_020916851.1, XP_028514276.1, XP_028514285.1, XP_020917219.1, XP_028514297.1, XP_028513671.1, XP_020894420.1, XP_020894419.1
OG0000064	xenia_longest_isoforms	XP_032230469.2	Xe_009547-T1, Xe_009545-T1, Xe_009469-T1
OG0000064	spis_longest_isoform_marker	XP_032230469.2	XP_022790271.1
OG0000072	xenia_longest_isoforms	XP_048590369.1, XP_048575383.1	Xe_023267-T1, Xe_023661-T1, Xe_023452-T1, Xe_023662-T1
OG0000072	aip_longest_isoforms	XP_048590369.1, XP_048575383.1	XP_020895817.1, XP_028516946.1
OG0000072	spis_longest_isoform_marker	XP_048590369.1, XP_048575383.1	XP_022778808.1, XP_022805254.1, XP_022809655.1, XP_022808270.1, XP_022777554.1, XP_022777538.1, XP_022809654.1, XP_022810163.1, XP_022809755.1, XP_022808269.1, XP_022791044.1, XP_022791056.1, XP_022809237.1, XP_022777891.1, XP_022809236.1, XP_022777552.1, XP_022803942.1, XP_022803806.1, XP_022791054.1, XP_022809754.1, XP_022791051.1, XP_022787961.1, XP_022809653.1, XP_022806849.1, XP_022778061.1, XP_022777726.1
OG0000073	xenia_longest_isoforms	XP_032220880.2	Xe_010364-T1
OG0000073	xenia_longest_isoforms	XP_032227996.1	Xe_016621-T1, Xe_028200-T1, Xe_022589-T1, Xe_022562-T1, Xe_028352-T1, Xe_028178-T1, Xe_028199-T1, Xe_010375-T1, Xe_028128-T1, Xe_022587-T1, Xe_022591-T1, Xe_010359-T1, Xe_016651-T1, Xe_010370-T1, Xe_028126-T1, Xe_028353-T1, Xe_010360-T1, Xe_028157-T1, Xe_028206-T1, Xe_028169-T1, Xe_028198-T1, Xe_028148-T1, Xe_028213-T1, Xe_028190-T1, Xe_028140-T1, Xe_010378-T1, Xe_028346-T1, Xe_028217-T1, Xe_028127-T1, Xe_022557-T1, Xe_028137-T1, Xe_028207-T1, Xe_028158-T1, Xe_028220-T1
OG0000073	spis_longest_isoform_marker	XP_032227996.1	XP_022790818.1
OG0000073	aip_longest_isoforms	XP_032227996.1	XP_020901367.1
OG0000078	spis_longest_isoform_marker	XP_048586668.1	XP_022806521.1, XP_022778894.1, XP_022805749.1
OG0000078	spis_longest_isoform_marker	XP_001641937.3, XP_001641938.3, XP_001631095.2, XP_048580369.1, XP_001632831.3, XP_001632832.2, XP_001639356.2	XP_022779885.1, XP_022779887.1, XP_022806707.1, XP_022793695.1, XP_022793741.1, XP_022806709.1, XP_022793697.1, XP_022806715.1, XP_022793738.1, XP_022793739.1, XP_022809553.1, XP_022797356.1, XP_022797380.1
OG0000078	aip_longest_isoforms	XP_001641937.3, XP_001641938.3, XP_001631095.2, XP_048580369.1, XP_001632831.3, XP_001632832.2	XP_020897924.1, XP_028512638.1, XP_020914126.1, XP_020906911.1, XP_020914128.2, XP_020906907.1, XP_028517030.1, XP_020908228.1, XP_020892312.1, XP_020892311.1, XP_020900588.1, XP_020907501.1, XP_020906993.1
OG0000078	aip_longest_isoforms	XP_001639356.2	XP_020911045.1
OG0000080	xenia_longest_isoforms	XP_001640356.1, XP_048575534.1, XP_001640351.1, XP_001632584.1	Xe_013876-T1
OG0000080	aip_longest_isoforms	XP_001640356.1, XP_048575534.1, XP_001640351.1, XP_001632584.1	XP_020897888.1
OG0000080	xenia_longest_isoforms	XP_001618259.1, XP_032232854.1, XP_048575529.1, XP_032232069.1, XP_032237531.1, XP_001619029.1, XP_032224817.2, XP_001640459.1, XP_048575532.1, XP_001618258.1, XP_001638523.1, XP_032238441.1, XP_048575530.1, XP_001640480.1, XP_048575531.1, XP_001630070.2, XP_048575533.1, XP_001630309.1	Xe_001264-T1
OG0000080	spis_longest_isoform_marker	XP_001618259.1, XP_032232854.1, XP_048575529.1, XP_032232069.1, XP_032237531.1, XP_001619029.1, XP_032224817.2, XP_001640459.1, XP_048575532.1, XP_001618258.1, XP_001638523.1, XP_032238441.1, XP_048575530.1, XP_001640480.1, XP_048575531.1, XP_001630070.2, XP_048575533.1, XP_001630309.1	XP_022782075.1
OG0000080	aip_longest_isoforms	XP_048575533.1	XP_020907333.1
OG0000080	aip_longest_isoforms	XP_001630309.1	XP_020895988.1, XP_020916263.1, XP_020894115.1, XP_020896180.1, XP_020917549.1, XP_020893578.1, XP_020906584.1
OG0000080	xenia_longest_isoforms	XP_032225152.1	Xe_005697-T1
OG0000081	xenia_longest_isoforms	XP_032238230.2	Xe_008902-T1, Xe_008910-T1, Xe_009030-T1, Xe_008922-T1, Xe_008935-T1, Xe_008937-T1, Xe_008931-T1, Xe_008914-T1, Xe_008896-T1, Xe_009038-T1, Xe_008911-T1, Xe_008903-T1, Xe_008950-T1, Xe_008923-T1, Xe_008938-T1, Xe_008932-T1, Xe_008918-T1, Xe_008897-T1, Xe_008906-T1, Xe_009035-T1, Xe_008898-T1, Xe_024388-T1, Xe_008928-T1, Xe_022010-T1, Xe_027847-T1, Xe_008916-T1, Xe_009833-T1, Xe_008917-T1, Xe_006653-T1, Xe_008913-T1, Xe_008590-T1, Xe_009025-T1, Xe_007256-T1, Xe_006637-T1
OG0000081	spis_longest_isoform_marker	XP_032238230.2	XP_022805473.1, XP_022780723.1
OG0000081	aip_longest_isoforms	XP_032238230.2	XP_020893966.1
OG0000085	spis_longest_isoform_marker	XP_001630205.1	XP_022794467.1, XP_022794466.1
OG0000085	xenia_longest_isoforms	XP_001630205.1	Xe_009864-T1
OG0000085	aip_longest_isoforms	XP_001630205.1	XP_020914090.1
OG0000085	spis_longest_isoform_marker	XP_001626757.1, XP_001626758.1, XP_001636868.1, XP_048579528.1	XP_022788684.1
OG0000085	aip_longest_isoforms	XP_001626757.1, XP_001626758.1	XP_020912545.1
OG0000085	aip_longest_isoforms	XP_001636868.1	XP_020914096.1
OG0000085	aip_longest_isoforms	XP_048579528.1	XP_020914097.1
OG0000085	xenia_longest_isoforms	XP_001634541.2, XP_032234685.1, XP_001637863.2, XP_048580195.1, XP_001634538.3, XP_001629668.1	Xe_009863-T1
OG0000085	spis_longest_isoform_marker	XP_001634541.2	XP_022788721.1
OG0000085	aip_longest_isoforms	XP_001634541.2	XP_020896491.1
OG0000085	spis_longest_isoform_marker	XP_032234685.1	XP_022798161.1
OG0000085	aip_longest_isoforms	XP_032234685.1	XP_020903492.1
OG0000085	spis_longest_isoform_marker	XP_001637863.2	XP_022788486.1
OG0000085	aip_longest_isoforms	XP_001637863.2	XP_020907443.1
OG0000085	spis_longest_isoform_marker	XP_048580195.1, XP_001634538.3	XP_022806989.1, XP_022806994.1
OG0000085	aip_longest_isoforms	XP_048580195.1, XP_001634538.3	XP_020893194.1
OG0000085	aip_longest_isoforms	XP_001629668.1	XP_020895778.1
OG0000085	spis_longest_isoform_marker	XP_032228524.1	XP_022801858.1
OG0000085	xenia_longest_isoforms	XP_032228524.1	Xe_009867-T1
OG0000085	aip_longest_isoforms	XP_032228524.1	XP_020914091.1
OG0000086	aip_longest_isoforms	XP_048590096.1, XP_032224844.1, XP_048590293.1, XP_048590090.1, XP_048583761.1, XP_048584117.1, XP_001630664.3, XP_001624508.2, XP_048583740.1, XP_001636348.2, XP_032241916.1, XP_048576136.1, XP_032234403.2, XP_032235441.2, XP_032227926.1, XP_048580383.1, XP_048580384.1, XP_048576142.1, XP_001638568.2, XP_032226134.1, XP_048584087.1, XP_032226133.1, XP_048590526.1, XP_048590092.1, XP_048590095.1, XP_048590100.1, XP_001628274.2, XP_048583488.1, XP_001628259.2, XP_048583671.1, XP_048583799.1, XP_048590525.1, XP_048590101.1, XP_048583136.1, XP_048582472.1, XP_048582748.1	XP_020895618.2
OG0000088	aip_longest_isoforms	XP_048576863.1, XP_032241700.2, XP_032238844.2	XP_020914552.1, XP_028518450.1, XP_028513092.1
OG0000088	spis_longest_isoform_marker	XP_048576863.1, XP_032241700.2, XP_032238844.2	XP_022809557.1
OG0000088	xenia_longest_isoforms	XP_048576863.1, XP_032241700.2, XP_032238844.2	Xe_017406-T1
OG0000088	xenia_longest_isoforms	XP_032243090.1	Xe_017402-T1, Xe_017447-T1, Xe_017398-T1, Xe_017399-T1, Xe_017401-T1, Xe_017400-T1, Xe_017488-T1, Xe_017469-T1, Xe_027980-T1
OG0000088	aip_longest_isoforms	XP_032243090.1	XP_020902114.1, XP_020902155.2, XP_028515347.1, XP_020893402.2, XP_020893406.1, XP_020902122.1, XP_020902154.1, XP_020896482.1
OG0000088	spis_longest_isoform_marker	XP_032243090.1	XP_022806470.1, XP_022806473.1, XP_022806474.1, XP_022806471.1, XP_022777572.1, XP_022805104.1, XP_022781166.1, XP_022805659.1, XP_022805663.1
OG0000089	aip_longest_isoforms	XP_001623766.1	XP_020916224.1
OG0000089	spis_longest_isoform_marker	XP_001623766.1	XP_022795472.1
OG0000089	xenia_longest_isoforms	XP_001623766.1	Xe_003102-T1
OG0000089	aip_longest_isoforms	XP_001640436.1	XP_020900503.1
OG0000089	spis_longest_isoform_marker	XP_001640436.1	XP_022784137.1
OG0000089	xenia_longest_isoforms	XP_032238225.1	Xe_014274-T1, Xe_013895-T1
OG0000089	aip_longest_isoforms	XP_032238225.1	XP_020906581.1, XP_020899533.1, XP_020913117.1
OG0000089	spis_longest_isoform_marker	XP_032238225.1	XP_022792400.1, XP_022808491.1
OG0000089	spis_longest_isoform_marker	XP_001640345.1	XP_022803377.1
OG0000089	aip_longest_isoforms	XP_001628765.1	XP_020917548.1
OG0000089	aip_longest_isoforms	XP_001639376.1	XP_020896922.1
OG0000089	spis_longest_isoform_marker	XP_032220181.1	XP_022792399.1
OG0000089	aip_longest_isoforms	XP_001640469.1	XP_020906582.1
OG0000090	xenia_longest_isoforms	XP_032236055.2, XP_032226582.1, XP_032240657.1, XP_032226675.2, XP_032226591.1, XP_032229314.1, XP_032234852.1, XP_032227850.1, XP_048583931.1, XP_032240658.2, XP_032227446.2, XP_032223068.2, XP_032241520.2, XP_048588358.1, XP_048584824.1, XP_032235990.1, XP_048588877.1	Xe_001792-T1
OG0000090	spis_longest_isoform_marker	XP_032236055.2	XP_022807361.1, XP_022779371.1, XP_022798386.1
OG0000090	spis_longest_isoform_marker	XP_032226582.1	XP_022787930.1, XP_022777519.1
OG0000090	aip_longest_isoforms	XP_032226582.1	XP_020894078.1, XP_028519091.1, XP_028518942.1, XP_020908130.2, XP_028516393.1
