Orthogroup	Species	aip_longest_isoforms	Orthologs
OG0000012	nvec_longest_isoform	XP_028517823.1	XP_048590314.1
OG0000012	spis_longest_isoform_marker	XP_028518083.1, XP_020917011.1, XP_028515662.1	XP_022796767.1, XP_022777580.1, XP_022809365.1, XP_022777832.1, XP_022810056.1, XP_022809612.1, XP_022810138.1, XP_022807525.1, XP_022796722.1, XP_022807527.1, XP_022790891.1, XP_022803336.1, XP_022803349.1, XP_022803346.1, XP_022808007.1, XP_022803350.1, XP_022808009.1, XP_022801231.1, XP_022788756.1, XP_022808992.1, XP_022801229.1, XP_022809808.1, XP_022809182.1, XP_022807518.1, XP_022803347.1, XP_022809186.1, XP_022810489.1, XP_022803005.1, XP_022796951.1, XP_022808010.1, XP_022796763.1, XP_022796764.1, XP_022796733.1, XP_022778375.1, XP_022777990.1, XP_022808310.1, XP_022803337.1, XP_022796718.1, XP_022777850.1, XP_022809183.1, XP_022807521.1, XP_022785615.1, XP_022790917.1, XP_022796714.1, XP_022784545.1, XP_022807523.1, XP_022808397.1, XP_022793691.1, XP_022810053.1, XP_022810066.1, XP_022808396.1, XP_022808394.1
OG0000015	spis_longest_isoform_marker	XP_020898206.1	XP_022785418.1
OG0000015	nvec_longest_isoform	XP_020898206.1	XP_001624434.2
OG0000015	nvec_longest_isoform	XP_028516950.1	XP_032221175.2
OG0000015	xenia_longest_isoforms	XP_028516950.1	Xe_022850-T1, Xe_023018-T1, Xe_022881-T1, Xe_023189-T1, Xe_022996-T1, Xe_022934-T1, Xe_022878-T1, Xe_022848-T1, Xe_023194-T1, Xe_022898-T1, Xe_022999-T1, Xe_022821-T1, Xe_022895-T1, Xe_022941-T1, Xe_022854-T1, Xe_022968-T1, Xe_023036-T1, Xe_023027-T1, Xe_023184-T1, Xe_023039-T1, Xe_022865-T1, Xe_022918-T1, Xe_023009-T1
OG0000015	xenia_longest_isoforms	XP_020898929.1, XP_020907413.1, XP_020915299.1, XP_020906440.2, XP_020907416.2, XP_020915296.1, XP_028516783.1, XP_020901795.2, XP_020915295.1, XP_020897244.1, XP_020909125.2, XP_020909200.1	Xe_009140-T1, Xe_027744-T1, Xe_027753-T1, Xe_027808-T1, Xe_027812-T1, Xe_027805-T1, Xe_027796-T1, Xe_027746-T1, Xe_027739-T1, Xe_027783-T1, Xe_027790-T1, Xe_027792-T1, Xe_027785-T1
OG0000015	nvec_longest_isoform	XP_020898929.1, XP_020907413.1, XP_020915299.1, XP_020906440.2, XP_020907416.2, XP_020915296.1, XP_028516783.1, XP_020901795.2, XP_020915295.1, XP_020897244.1, XP_020909125.2, XP_020909200.1	XP_048582340.1
OG0000015	spis_longest_isoform_marker	XP_020898929.1, XP_020907413.1, XP_020915299.1, XP_020906440.2, XP_020907416.2, XP_020915296.1, XP_028516783.1, XP_020901795.2, XP_020915295.1, XP_020897244.1, XP_020909125.2, XP_020909200.1	XP_022786675.1, XP_022792193.1, XP_022792153.1, XP_022792154.1, XP_022795046.1, XP_022802814.1, XP_022795050.1, XP_022800799.1, XP_022809050.1
OG0000015	xenia_longest_isoforms	XP_020901662.1, XP_020906128.1, XP_028514603.1, XP_020899430.1, XP_028514372.1	Xe_027789-T1
OG0000015	spis_longest_isoform_marker	XP_020901662.1	XP_022784276.1
OG0000015	nvec_longest_isoform	XP_020901662.1	XP_001632454.3
OG0000015	nvec_longest_isoform	XP_020906128.1, XP_028514603.1, XP_020899430.1, XP_028514372.1	XP_032236054.2
OG0000015	spis_longest_isoform_marker	XP_020906128.1, XP_028514603.1, XP_020899430.1, XP_028514372.1	XP_022778220.1, XP_022791932.1
OG0000018	spis_longest_isoform_marker	XP_020895312.1	XP_022778163.1
OG0000018	xenia_longest_isoforms	XP_020895312.1	Xe_024161-T1
OG0000018	nvec_longest_isoform	XP_020895312.1	XP_001629721.2
OG0000018	xenia_longest_isoforms	XP_028515739.1, XP_020892825.1, XP_020903733.1	Xe_024121-T1, Xe_024337-T1, Xe_024359-T1, Xe_024142-T1, Xe_024105-T1, Xe_024390-T1, Xe_024376-T1, Xe_024122-T1, Xe_024150-T1, Xe_024364-T1, Xe_024139-T1, Xe_024399-T1, Xe_024336-T1, Xe_024133-T1, Xe_024298-T1, Xe_024194-T1, Xe_024116-T1, Xe_024160-T1, Xe_024106-T1, Xe_024163-T1, Xe_024361-T1, Xe_024171-T1, Xe_024385-T1
OG0000018	spis_longest_isoform_marker	XP_028515739.1	XP_022801177.1
OG0000018	nvec_longest_isoform	XP_028515739.1	XP_032220304.2
OG0000018	spis_longest_isoform_marker	XP_020892825.1, XP_020903733.1	XP_022810222.1
OG0000028	spis_longest_isoform_marker	XP_020901945.1	XP_022800298.1, XP_022800552.1
OG0000028	nvec_longest_isoform	XP_020901945.1	XP_048585670.1, XP_001626388.1
OG0000028	spis_longest_isoform_marker	XP_020900729.1	XP_022785641.1, XP_022805449.1
OG0000028	nvec_longest_isoform	XP_020900729.1	XP_048576146.1
OG0000028	nvec_longest_isoform	XP_020907568.1, XP_020905382.1	XP_001640050.2, XP_048576193.1, XP_001640047.2
OG0000028	spis_longest_isoform_marker	XP_020907568.1, XP_020905382.1	XP_022784187.1, XP_022784145.1
OG0000028	spis_longest_isoform_marker	XP_028516191.1, XP_020905366.1	XP_022805052.1, XP_022782831.1
OG0000028	spis_longest_isoform_marker	XP_020905383.1	XP_022784192.1
OG0000028	nvec_longest_isoform	XP_020905383.1	XP_032221010.2
OG0000028	spis_longest_isoform_marker	XP_020917390.1	XP_022805039.1, XP_022805055.1, XP_022805058.1, XP_022784188.1, XP_022805053.1, XP_022805054.1
OG0000028	nvec_longest_isoform	XP_020917390.1	XP_001641088.3
OG0000028	spis_longest_isoform_marker	XP_020914014.1, XP_020894395.1, XP_020905359.1	XP_022782030.1
OG0000028	nvec_longest_isoform	XP_020914014.1	XP_032229419.1
OG0000028	nvec_longest_isoform	XP_020894395.1, XP_020905359.1	XP_048576267.1
OG0000028	spis_longest_isoform_marker	XP_028516187.1, XP_020905390.1, XP_020905365.1, XP_020910879.1, XP_028517859.1, XP_020910875.1, XP_020908673.1	XP_022780558.1
OG0000028	nvec_longest_isoform	XP_028516187.1	XP_048575815.1, XP_032221500.2
OG0000028	nvec_longest_isoform	XP_020905390.1, XP_020905365.1	XP_001627579.2
OG0000028	nvec_longest_isoform	XP_020910879.1, XP_028517859.1, XP_020910875.1	XP_032224826.2
OG0000028	nvec_longest_isoform	XP_020908673.1	XP_048581324.1
OG0000031	xenia_longest_isoforms	XP_020914234.1	Xe_028329-T1, Xe_011577-T1, Xe_018919-T1, Xe_019182-T1, Xe_019490-T1, Xe_019443-T1, Xe_013369-T1, Xe_019223-T1, Xe_019132-T1, Xe_019207-T1, Xe_018853-T1, Xe_019088-T1, Xe_019028-T1, Xe_025110-T1, Xe_018850-T1, Xe_019220-T1, Xe_019143-T1, Xe_016668-T1, Xe_019099-T1, Xe_019103-T1, Xe_019229-T1, Xe_019027-T1, Xe_019294-T1, Xe_014002-T1, Xe_028843-T1, Xe_000334-T1, Xe_013978-T1, Xe_019521-T1, Xe_007843-T1, Xe_019563-T1, Xe_012041-T1, Xe_014237-T1, Xe_014267-T1, Xe_012075-T1, Xe_012375-T1, Xe_018553-T1, Xe_010179-T1, Xe_002873-T1, Xe_012507-T1, Xe_014096-T1, Xe_017979-T1, Xe_017980-T1, Xe_025240-T1, Xe_012690-T1, Xe_011168-T1, Xe_011114-T1, Xe_011184-T1, Xe_000336-T1, Xe_003937-T1, Xe_029001-T1, Xe_006215-T1, Xe_001912-T1, Xe_001917-T1, Xe_013305-T1, Xe_001925-T1
OG0000031	spis_longest_isoform_marker	XP_020914234.1	XP_022794560.1
OG0000031	nvec_longest_isoform	XP_020914234.1	XP_048575684.1
OG0000035	xenia_longest_isoforms	XP_020914388.1, XP_020904729.1	Xe_003214-T1
OG0000035	nvec_longest_isoform	XP_020914388.1, XP_020904729.1	XP_048585684.1, XP_048585982.1
OG0000035	xenia_longest_isoforms	XP_028517288.1	Xe_022506-T1, Xe_023372-T1, Xe_024235-T1, Xe_006417-T1, Xe_006948-T1, Xe_003622-T1, Xe_023364-T1, Xe_005971-T1, Xe_017046-T1, Xe_017731-T1, Xe_006658-T1, Xe_025535-T1, Xe_023366-T1, Xe_019373-T1, Xe_004015-T1, Xe_014881-T1, Xe_006448-T1, Xe_020067-T1, Xe_028542-T1, Xe_004066-T1, Xe_025200-T1, Xe_006198-T1, Xe_004100-T1, Xe_028318-T1, Xe_028521-T1, Xe_025253-T1, Xe_024833-T1, Xe_028546-T1, Xe_027470-T1, Xe_021021-T1, Xe_028055-T1, Xe_010278-T1, Xe_024238-T1, Xe_019152-T1, Xe_024371-T1, Xe_019488-T1, Xe_008930-T1, Xe_026218-T1, Xe_020066-T1, Xe_018394-T1, Xe_026368-T1, Xe_021228-T1, Xe_021236-T1, Xe_021963-T1, Xe_023368-T1, Xe_018863-T1, Xe_006937-T1, Xe_022461-T1
OG0000038	xenia_longest_isoforms	XP_020897020.1, XP_020904326.1, XP_028516362.1, XP_020907536.2, XP_020907549.1, XP_020917754.1, XP_020917750.1, XP_020917755.1, XP_028512441.1, XP_028519400.1, XP_020917713.1, XP_028512432.1, XP_020916387.2, XP_028512439.1, XP_020905049.1, XP_028512703.1, XP_020906682.1, XP_020904408.1, XP_028515978.1, XP_020907914.1, XP_028519455.1, XP_020916577.1, XP_020916576.1, XP_020916579.1, XP_028514686.1, XP_028514680.1, XP_028514681.1, XP_020899798.1, XP_020899800.1, XP_020899792.1, XP_020899796.1, XP_020899794.2, XP_020899793.2, XP_020906714.1, XP_020906712.1, XP_020916308.1, XP_020906378.2, XP_020906379.2, XP_020906359.1, XP_028516477.1, XP_020906358.2, XP_020892699.1, XP_020892722.1, XP_020910407.1, XP_020910416.1, XP_020917603.1, XP_020906751.1	Xe_021297-T1
OG0000038	spis_longest_isoform_marker	XP_020897020.1	XP_022809724.1, XP_022797238.1
OG0000038	spis_longest_isoform_marker	XP_020904326.1, XP_028516362.1, XP_020907536.2, XP_020907549.1, XP_020917754.1, XP_020917750.1, XP_020917755.1, XP_028512441.1, XP_028519400.1, XP_020917713.1, XP_028512432.1, XP_020916387.2, XP_028512439.1, XP_020905049.1, XP_028512703.1, XP_020906682.1, XP_020904408.1, XP_028515978.1, XP_020907914.1, XP_028519455.1, XP_020916577.1, XP_020916576.1, XP_020916579.1, XP_028514686.1, XP_028514680.1, XP_028514681.1, XP_020899798.1, XP_020899800.1, XP_020899792.1, XP_020899796.1, XP_020899794.2, XP_020899793.2, XP_020906714.1, XP_020906712.1, XP_020916308.1, XP_020906378.2, XP_020906379.2, XP_020906359.1, XP_028516477.1, XP_020906358.2, XP_020892699.1, XP_020892722.1, XP_020910407.1, XP_020910416.1, XP_020917603.1, XP_020906751.1	XP_022788576.1
OG0000039	xenia_longest_isoforms	XP_020909873.1, XP_028514906.1	Xe_025402-T1
OG0000039	spis_longest_isoform_marker	XP_020909873.1, XP_028514906.1	XP_022797148.1, XP_022797152.1
OG0000039	nvec_longest_isoform	XP_020909873.1, XP_028514906.1	XP_032242158.1
OG0000039	xenia_longest_isoforms	XP_028517518.1, XP_028515588.1	Xe_016238-T1, Xe_004328-T1, Xe_016236-T1, Xe_016248-T1, Xe_016125-T1, Xe_009800-T1, Xe_016259-T1, Xe_016263-T1, Xe_025403-T1, Xe_015918-T1, Xe_017319-T1, Xe_012840-T1, Xe_027110-T1, Xe_015906-T1, Xe_015913-T1, Xe_015835-T1, Xe_015836-T1, Xe_016118-T1, Xe_016224-T1, Xe_015834-T1, Xe_016251-T1, Xe_016241-T1, Xe_016121-T1, Xe_016120-T1, Xe_016229-T1, Xe_016223-T1, Xe_015917-T1, Xe_016239-T1, Xe_016250-T1, Xe_016124-T1, Xe_016117-T1, Xe_016122-T1, Xe_015907-T1, Xe_016261-T1, Xe_016225-T1, Xe_016230-T1, Xe_016260-T1, Xe_016231-T1, Xe_016226-T1
OG0000039	spis_longest_isoform_marker	XP_028517518.1	XP_022807789.1
OG0000039	nvec_longest_isoform	XP_028517518.1	XP_032242156.1, XP_032242159.2
OG0000039	spis_longest_isoform_marker	XP_028515588.1	XP_022807788.1
OG0000040	spis_longest_isoform_marker	XP_020917809.2	XP_022780664.1
OG0000040	nvec_longest_isoform	XP_020917809.2	XP_048590439.1
OG0000040	spis_longest_isoform_marker	XP_028514548.1, XP_020910389.1, XP_028517718.1, XP_028519554.1, XP_028517720.1, XP_028519555.1, XP_020907581.1, XP_020910328.1, XP_028517716.1, XP_028517717.1, XP_028519553.1, XP_028513764.1, XP_020914186.1, XP_028513801.1, XP_028513795.1, XP_028513794.1, XP_020896576.1, XP_028518048.1, XP_028517719.1, XP_020907578.1, XP_020900960.2, XP_020892281.1, XP_028516301.1, XP_020898989.1, XP_020900758.1, XP_028516178.1, XP_020903266.1, XP_020914445.1, XP_020901315.1, XP_020905339.1, XP_020896265.1, XP_020914766.1, XP_028517331.1, XP_028518050.1, XP_020895654.1, XP_020909164.1, XP_020912640.1, XP_020899941.1, XP_020899037.1, XP_020911857.1, XP_020916586.1, XP_020913357.1, XP_020913254.1, XP_020910666.1, XP_028513851.1, XP_020917542.1	XP_022805803.1
OG0000043	nvec_longest_isoform	XP_020904632.2, XP_020904631.2, XP_020908207.2, XP_028517020.1, XP_028517014.1, XP_028517013.1, XP_028513319.1, XP_020898257.1, XP_020915140.2, XP_020891997.1, XP_028519070.1, XP_020915178.2, XP_020915176.2, XP_028519064.1, XP_020901441.2, XP_020915180.1, XP_028516032.1, XP_028516033.1, XP_028514716.1, XP_020894074.1, XP_028518426.1, XP_028513017.1, XP_020911305.1, XP_020911302.1, XP_028517973.1, XP_020907515.1, XP_020907513.1, XP_028514739.1, XP_020897252.2, XP_020912618.2, XP_028513999.1, XP_028519636.1, XP_028518584.1, XP_020905389.2, XP_020905386.2, XP_020891989.1, XP_020896004.1, XP_020916477.1, XP_020897440.1, XP_020907518.1, XP_028516819.1, XP_028516808.1, XP_020907550.2, XP_020914982.2, XP_028514741.1, XP_028514743.1, XP_020899992.1, XP_020899995.1	XP_048577458.1
OG0000044	xenia_longest_isoforms	XP_028516010.1, XP_020911103.1, XP_020897277.2, XP_020907890.2, XP_020912868.2, XP_020912861.2, XP_020902857.2, XP_028518447.1, XP_028515600.1, XP_020916653.2, XP_020900414.2, XP_020907891.1, XP_028517870.1, XP_028517873.1, XP_020907884.2, XP_028519493.1, XP_028518810.1, XP_028518448.1, XP_028514228.1, XP_020907892.1, XP_020907893.1, XP_028516009.1	Xe_002591-T1
OG0000044	spis_longest_isoform_marker	XP_028516010.1, XP_020911103.1, XP_020897277.2	XP_022807460.1, XP_022807456.1, XP_022787251.1, XP_022787222.1, XP_022787224.1, XP_022787223.1, XP_022787250.1
OG0000044	spis_longest_isoform_marker	XP_020907890.2, XP_020912868.2, XP_020912861.2, XP_020902857.2, XP_028518447.1, XP_028515600.1, XP_020916653.2, XP_020900414.2, XP_020907891.1, XP_028517870.1, XP_028517873.1, XP_020907884.2, XP_028519493.1, XP_028518810.1, XP_028518448.1, XP_028514228.1	XP_022804938.1, XP_022808996.1, XP_022810500.1, XP_022799692.1, XP_022808400.1, XP_022808895.1, XP_022809000.1, XP_022808927.1, XP_022806681.1
OG0000044	spis_longest_isoform_marker	XP_020907892.1, XP_020907893.1	XP_022805155.1
OG0000044	spis_longest_isoform_marker	XP_028516009.1	XP_022809851.1, XP_022777813.1
OG0000047	xenia_longest_isoforms	XP_020895754.1	Xe_010806-T1, Xe_016221-T1, Xe_001994-T1, Xe_024780-T1, Xe_005714-T1, Xe_018294-T1, Xe_017060-T1, Xe_015338-T1, Xe_024278-T1, Xe_024491-T1, Xe_020194-T1, Xe_000101-T1, Xe_025320-T1, Xe_022440-T1, Xe_023333-T1, Xe_017911-T1, Xe_017321-T1, Xe_029157-T1, Xe_028849-T1, Xe_029168-T1, Xe_022891-T1, Xe_023941-T1, Xe_023939-T1, Xe_028574-T1, Xe_007074-T1, Xe_028522-T1, Xe_026161-T1, Xe_028506-T1, Xe_004092-T1, Xe_026929-T1, Xe_025481-T1, Xe_010787-T1, Xe_006541-T1, Xe_013510-T1, Xe_024551-T1, Xe_029052-T1, Xe_007523-T1, Xe_015923-T1, Xe_028577-T1, Xe_000072-T1, Xe_018062-T1, Xe_007017-T1, Xe_001943-T1, Xe_027822-T1, Xe_027772-T1
OG0000048	xenia_longest_isoforms	XP_020897096.1	Xe_010319-T1, Xe_010700-T1, Xe_010349-T1, Xe_010710-T1, Xe_010681-T1, Xe_010325-T1, Xe_010337-T1, Xe_010338-T1, Xe_010676-T1, Xe_010333-T1, Xe_010703-T1, Xe_010336-T1, Xe_010682-T1, Xe_010701-T1, Xe_010320-T1, Xe_025469-T1, Xe_010356-T1, Xe_010687-T1, Xe_010672-T1, Xe_010348-T1, Xe_010329-T1, Xe_010352-T1, Xe_010695-T1, Xe_010678-T1, Xe_010706-T1, Xe_010315-T1, Xe_010716-T1, Xe_010709-T1, Xe_010324-T1, Xe_010685-T1, Xe_010342-T1, Xe_010708-T1, Xe_010354-T1, Xe_010317-T1, Xe_010335-T1, Xe_010702-T1, Xe_010323-T1, Xe_010674-T1, Xe_010688-T1, Xe_010686-T1, Xe_010355-T1, Xe_010673-T1, Xe_010334-T1
OG0000048	spis_longest_isoform_marker	XP_020897096.1	XP_022785376.1
OG0000048	nvec_longest_isoform	XP_020897096.1	XP_001630908.3
OG0000053	xenia_longest_isoforms	XP_020903072.1	Xe_006883-T1, Xe_006910-T1, Xe_028526-T1, Xe_028537-T1, Xe_028550-T1, Xe_028545-T1, Xe_028553-T1, Xe_028524-T1, Xe_006864-T1, Xe_006865-T1, Xe_006863-T1, Xe_016683-T1, Xe_019198-T1, Xe_018918-T1, Xe_020330-T1, Xe_018720-T1, Xe_027600-T1, Xe_000786-T1, Xe_016328-T1, Xe_020914-T1, Xe_008566-T1, Xe_008569-T1, Xe_018651-T1, Xe_010130-T1, Xe_006874-T1, Xe_006913-T1, Xe_006866-T1, Xe_028540-T1, Xe_028549-T1, Xe_028516-T1, Xe_028556-T1, Xe_006880-T1, Xe_006907-T1, Xe_028507-T1, Xe_028529-T1, Xe_007072-T1, Xe_028511-T1, Xe_028533-T1, Xe_028508-T1, Xe_028543-T1, Xe_006915-T1
OG0000053	spis_longest_isoform_marker	XP_020903072.1	XP_022785355.1
OG0000053	nvec_longest_isoform	XP_020903072.1	XP_001627538.2
OG0000054	xenia_longest_isoforms	XP_020911923.1, XP_020908723.1, XP_020905899.2, XP_020911892.1, XP_028518526.1, XP_028518327.1	Xe_021390-T1, Xe_028612-T1, Xe_017779-T1, Xe_017152-T1, Xe_028294-T1, Xe_028247-T1, Xe_028265-T1, Xe_020256-T1, Xe_029124-T1, Xe_025192-T1, Xe_025167-T1, Xe_025875-T1, Xe_025876-T1, Xe_027777-T1, Xe_026407-T1, Xe_007020-T1, Xe_011185-T1, Xe_027236-T1, Xe_018279-T1, Xe_023998-T1, Xe_022825-T1, Xe_019415-T1, Xe_028752-T1, Xe_007346-T1, Xe_023145-T1, Xe_006377-T1, Xe_017631-T1, Xe_029107-T1, Xe_029097-T1, Xe_000678-T1, Xe_009750-T1, Xe_023722-T1, Xe_028291-T1, Xe_015848-T1, Xe_023888-T1
OG0000054	spis_longest_isoform_marker	XP_020911923.1, XP_020908723.1, XP_020905899.2, XP_020911892.1, XP_028518526.1	XP_022796461.1
OG0000054	spis_longest_isoform_marker	XP_028518327.1	XP_022802031.1, XP_022805756.1
OG0000057	spis_longest_isoform_marker	XP_020892237.1	XP_022801337.1, XP_022799899.1, XP_022810557.1, XP_022777532.1, XP_022777521.1
OG0000057	spis_longest_isoform_marker	XP_020898278.1, XP_020917690.2, XP_020898237.1, XP_028518537.1	XP_022791426.1, XP_022810474.1, XP_022789777.1, XP_022790124.1, XP_022807138.1, XP_022791458.1, XP_022791436.1, XP_022808157.1, XP_022806213.1, XP_022809043.1, XP_022809432.1, XP_022787469.1, XP_022795073.1, XP_022804918.1, XP_022810499.1, XP_022790228.1, XP_022777443.1, XP_022810239.1, XP_022777604.1, XP_022806139.1, XP_022782499.1, XP_022810318.1, XP_022808837.1, XP_022777927.1, XP_022793854.1, XP_022785694.1, XP_022801522.1, XP_022777536.1, XP_022778025.1, XP_022788334.1, XP_022792052.1, XP_022809360.1, XP_022777895.1
