Orthogroup	Species	spis_longest_isoform_marker	Orthologs
OG0000007	nvec_longest_isoform	XP_022807280.1, XP_022777499.1, XP_022807273.1, XP_022808750.1, XP_022807699.1, XP_022808091.1, XP_022777757.1, XP_022807336.1, XP_022803731.1, XP_022799298.1, XP_022807861.1, XP_022795743.1, XP_022807279.1, XP_022808092.1, XP_022795754.1, XP_022810527.1, XP_022810417.1, XP_022804178.1, XP_022807706.1, XP_022800751.1, XP_022800745.1, XP_022808095.1, XP_022808202.1, XP_022799295.1, XP_022799299.1, XP_022802382.1, XP_022777498.1, XP_022810255.1, XP_022809434.1, XP_022803659.1, XP_022777497.1, XP_022781158.1, XP_022810339.1, XP_022781087.1, XP_022802389.1, XP_022809433.1, XP_022777541.1, XP_022800755.1, XP_022809167.1, XP_022810419.1, XP_022810275.1, XP_022802392.1, XP_022790112.1, XP_022800737.1, XP_022795757.1, XP_022801250.1, XP_022795742.1, XP_022796383.1, XP_022795733.1, XP_022796418.1, XP_022809168.1, XP_022795716.1, XP_022793323.1, XP_022809729.1, XP_022809523.1, XP_022802381.1, XP_022804177.1, XP_022802395.1, XP_022792749.1, XP_022781133.1, XP_022810529.1, XP_022793287.1, XP_022807774.1, XP_022807174.1, XP_022785107.1, XP_022803122.1, XP_022808215.1, XP_022793270.1, XP_022793667.1, XP_022777994.1, XP_022793273.1, XP_022805605.1, XP_022803123.1, XP_022793670.1, XP_022802386.1, XP_022810554.1, XP_022800744.1, XP_022809630.1, XP_022793079.1, XP_022808789.1, XP_022796405.1, XP_022804176.1, XP_022804170.1, XP_022802383.1, XP_022810254.1, XP_022807771.1, XP_022807772.1, XP_022809179.1, XP_022796406.1, XP_022793282.1, XP_022792750.1, XP_022803128.1, XP_022807950.1, XP_022802710.1, XP_022802714.1, XP_022807724.1, XP_022800040.1, XP_022800044.1	XP_001632732.3
OG0000009	xenia_longest_isoforms	XP_022778281.1	Xe_006757-T1, Xe_007073-T1, Xe_006877-T1, Xe_006867-T1, Xe_028536-T1, Xe_028512-T1, Xe_028532-T1, Xe_028535-T1, Xe_028548-T1, Xe_021764-T1, Xe_017342-T1, Xe_017340-T1, Xe_021582-T1, Xe_028523-T1, Xe_006861-T1, Xe_022062-T1, Xe_012848-T1, Xe_006462-T1, Xe_006685-T1, Xe_006800-T1, Xe_006801-T1, Xe_006805-T1, Xe_006675-T1, Xe_006083-T1, Xe_017354-T1, Xe_007071-T1, Xe_006753-T1, Xe_006906-T1, Xe_007016-T1, Xe_006748-T1, Xe_007013-T1, Xe_017031-T1, Xe_017038-T1, Xe_006751-T1, Xe_006729-T1, Xe_017024-T1, Xe_019528-T1, Xe_018337-T1, Xe_006046-T1, Xe_006062-T1, Xe_006045-T1, Xe_006060-T1, Xe_006128-T1, Xe_006122-T1, Xe_028528-T1, Xe_019769-T1, Xe_019768-T1, Xe_006654-T1, Xe_007100-T1, Xe_004047-T1, Xe_006631-T1, Xe_006839-T1, Xe_006871-T1, Xe_003046-T1, Xe_007101-T1, Xe_007105-T1, Xe_007103-T1, Xe_007098-T1, Xe_007096-T1, Xe_006909-T1, Xe_006577-T1, Xe_007076-T1, Xe_007012-T1, Xe_017016-T1, Xe_006720-T1, Xe_006759-T1, Xe_006721-T1, Xe_006722-T1, Xe_017042-T1, Xe_006807-T1, Xe_006809-T1, Xe_006813-T1, Xe_027839-T1, Xe_006734-T1, Xe_006816-T1, Xe_006731-T1, Xe_007010-T1, Xe_006791-T1, Xe_017029-T1, Xe_006750-T1, Xe_006743-T1, Xe_006282-T1, Xe_006754-T1, Xe_017039-T1, Xe_017034-T1, Xe_006819-T1, Xe_006740-T1, Xe_017014-T1
OG0000011	xenia_longest_isoforms	XP_022801878.1	Xe_016888-T1, Xe_016871-T1, Xe_016875-T1, Xe_016853-T1, Xe_016881-T1, Xe_016866-T1, Xe_016864-T1, Xe_016857-T1, Xe_016868-T1, Xe_016849-T1, Xe_016851-T1, Xe_016856-T1, Xe_016867-T1, Xe_016865-T1, Xe_022629-T1, Xe_022493-T1, Xe_016825-T1, Xe_016882-T1, Xe_016870-T1, Xe_016860-T1, Xe_016886-T1, Xe_016869-T1, Xe_016859-T1, Xe_016897-T1, Xe_016878-T1, Xe_016890-T1, Xe_016887-T1, Xe_016885-T1, Xe_016891-T1, Xe_016889-T1, Xe_016861-T1, Xe_016892-T1, Xe_016850-T1, Xe_017123-T1, Xe_016999-T1, Xe_019187-T1, Xe_016880-T1, Xe_016863-T1, Xe_016876-T1, Xe_019183-T1, Xe_019013-T1, Xe_018871-T1, Xe_019029-T1, Xe_019072-T1, Xe_018852-T1, Xe_019214-T1, Xe_017054-T1, Xe_016988-T1, Xe_016977-T1, Xe_022790-T1, Xe_016884-T1, Xe_016923-T1, Xe_016902-T1, Xe_025342-T1, Xe_017121-T1, Xe_022421-T1, Xe_023981-T1, Xe_017002-T1, Xe_022492-T1, Xe_016919-T1, Xe_017135-T1, Xe_016928-T1, Xe_016934-T1, Xe_017142-T1, Xe_017159-T1, Xe_017120-T1, Xe_017066-T1, Xe_017056-T1, Xe_017103-T1, Xe_016949-T1, Xe_016962-T1, Xe_017013-T1, Xe_016974-T1, Xe_016877-T1, Xe_025368-T1, Xe_016935-T1, Xe_016893-T1, Xe_025377-T1
OG0000011	aip_longest_isoforms	XP_022801878.1	XP_020911832.1
OG0000012	aip_longest_isoforms	XP_022778388.1, XP_022803001.1, XP_022777925.1, XP_022777585.1, XP_022808006.1, XP_022809811.1, XP_022785614.1, XP_022788736.1, XP_022801244.1, XP_022796732.1, XP_022796737.1, XP_022809184.1, XP_022802999.1, XP_022778546.1, XP_022807515.1, XP_022810436.1, XP_022777824.1, XP_022809611.1, XP_022778248.1, XP_022805295.1, XP_022808483.1, XP_022808784.1, XP_022778437.1	XP_028517823.1
OG0000012	nvec_longest_isoform	XP_022778388.1, XP_022803001.1, XP_022777925.1, XP_022777585.1, XP_022808006.1, XP_022809811.1, XP_022785614.1, XP_022788736.1, XP_022801244.1, XP_022796732.1, XP_022796737.1, XP_022809184.1, XP_022802999.1, XP_022778546.1, XP_022807515.1, XP_022810436.1, XP_022777824.1, XP_022809611.1, XP_022778248.1, XP_022805295.1, XP_022808483.1, XP_022808784.1, XP_022778437.1	XP_048590314.1
OG0000012	aip_longest_isoforms	XP_022796767.1, XP_022777580.1, XP_022809365.1, XP_022777832.1, XP_022810056.1, XP_022809612.1, XP_022810138.1, XP_022807525.1, XP_022796722.1, XP_022807527.1, XP_022790891.1, XP_022803336.1, XP_022803349.1, XP_022803346.1, XP_022808007.1, XP_022803350.1, XP_022808009.1, XP_022801231.1, XP_022788756.1, XP_022808992.1, XP_022801229.1, XP_022809808.1, XP_022809182.1, XP_022807518.1, XP_022803347.1, XP_022809186.1, XP_022810489.1, XP_022803005.1, XP_022796951.1, XP_022808010.1, XP_022796763.1, XP_022796764.1, XP_022796733.1, XP_022778375.1, XP_022777990.1, XP_022808310.1, XP_022803337.1, XP_022796718.1, XP_022777850.1, XP_022809183.1, XP_022807521.1, XP_022785615.1, XP_022790917.1, XP_022796714.1, XP_022784545.1, XP_022807523.1, XP_022808397.1, XP_022793691.1, XP_022810053.1, XP_022810066.1, XP_022808396.1, XP_022808394.1	XP_028518083.1, XP_020917011.1, XP_028515662.1
OG0000013	xenia_longest_isoforms	XP_022788864.1, XP_022788385.1, XP_022777696.1, XP_022809166.1	Xe_024146-T1, Xe_003893-T1, Xe_024172-T1, Xe_024387-T1, Xe_024101-T1, Xe_024154-T1, Xe_024313-T1, Xe_024310-T1, Xe_024335-T1, Xe_016667-T1, Xe_024102-T1, Xe_016768-T1, Xe_003894-T1, Xe_003895-T1, Xe_017096-T1, Xe_017101-T1, Xe_028131-T1, Xe_028179-T1, Xe_016832-T1, Xe_016760-T1, Xe_016759-T1, Xe_016761-T1, Xe_017093-T1, Xe_027854-T1, Xe_028215-T1, Xe_016641-T1, Xe_016966-T1, Xe_016706-T1, Xe_016814-T1, Xe_016816-T1, Xe_016689-T1, Xe_016281-T1, Xe_016638-T1, Xe_016815-T1, Xe_016780-T1, Xe_016781-T1, Xe_017130-T1, Xe_028170-T1, Xe_028219-T1, Xe_028149-T1, Xe_028226-T1, Xe_016625-T1, Xe_016755-T1, Xe_028163-T1, Xe_016799-T1, Xe_016686-T1, Xe_017097-T1, Xe_017132-T1, Xe_017129-T1, Xe_017070-T1, Xe_017168-T1, Xe_017126-T1, Xe_017149-T1, Xe_016983-T1, Xe_017005-T1, Xe_017085-T1, Xe_017100-T1, Xe_017094-T1, Xe_017131-T1, Xe_016965-T1, Xe_017092-T1, Xe_016964-T1, Xe_028171-T1, Xe_017095-T1, Xe_028349-T1, Xe_028358-T1, Xe_028142-T1, Xe_016639-T1, Xe_016622-T1, Xe_016765-T1, Xe_017723-T1, Xe_016767-T1, Xe_016766-T1
OG0000015	nvec_longest_isoform	XP_022785418.1	XP_001624434.2
OG0000015	aip_longest_isoforms	XP_022785418.1	XP_020898206.1
OG0000015	xenia_longest_isoforms	XP_022786675.1, XP_022792193.1, XP_022792153.1, XP_022792154.1, XP_022795046.1, XP_022802814.1, XP_022795050.1, XP_022800799.1, XP_022809050.1	Xe_009140-T1, Xe_027744-T1, Xe_027753-T1, Xe_027808-T1, Xe_027812-T1, Xe_027805-T1, Xe_027796-T1, Xe_027746-T1, Xe_027739-T1, Xe_027783-T1, Xe_027790-T1, Xe_027792-T1, Xe_027785-T1
OG0000015	aip_longest_isoforms	XP_022786675.1, XP_022792193.1, XP_022792153.1, XP_022792154.1, XP_022795046.1, XP_022802814.1, XP_022795050.1, XP_022800799.1, XP_022809050.1	XP_020898929.1, XP_020907413.1, XP_020915299.1, XP_020906440.2, XP_020907416.2, XP_020915296.1, XP_028516783.1, XP_020901795.2, XP_020915295.1, XP_020897244.1, XP_020909125.2, XP_020909200.1
OG0000015	nvec_longest_isoform	XP_022786675.1, XP_022792193.1, XP_022792153.1, XP_022792154.1, XP_022795046.1, XP_022802814.1, XP_022795050.1, XP_022800799.1, XP_022809050.1	XP_048582340.1
OG0000015	xenia_longest_isoforms	XP_022784276.1, XP_022778220.1, XP_022791932.1	Xe_027789-T1
OG0000015	nvec_longest_isoform	XP_022784276.1	XP_001632454.3
OG0000015	aip_longest_isoforms	XP_022784276.1	XP_020901662.1
OG0000015	nvec_longest_isoform	XP_022778220.1, XP_022791932.1	XP_032236054.2
OG0000015	aip_longest_isoforms	XP_022778220.1, XP_022791932.1	XP_020906128.1, XP_028514603.1, XP_020899430.1, XP_028514372.1
OG0000018	nvec_longest_isoform	XP_022778163.1	XP_001629721.2
OG0000018	aip_longest_isoforms	XP_022778163.1	XP_020895312.1
OG0000018	xenia_longest_isoforms	XP_022778163.1	Xe_024161-T1
OG0000018	xenia_longest_isoforms	XP_022801177.1, XP_022810222.1, XP_022778637.1, XP_022810223.1, XP_022808388.1, XP_022778819.1, XP_022777826.1, XP_022777613.1, XP_022777694.1, XP_022777875.1, XP_022808810.1, XP_022809201.1, XP_022809205.1, XP_022805410.1, XP_022808360.1, XP_022809472.1, XP_022809639.1, XP_022808363.1, XP_022801208.1, XP_022808361.1, XP_022807919.1, XP_022809266.1, XP_022786307.1, XP_022809265.1, XP_022801209.1, XP_022801242.1, XP_022806583.1, XP_022807757.1, XP_022810315.1, XP_022808739.1, XP_022805933.1, XP_022801210.1, XP_022807921.1, XP_022807756.1, XP_022808362.1	Xe_024121-T1, Xe_024337-T1, Xe_024359-T1, Xe_024142-T1, Xe_024105-T1, Xe_024390-T1, Xe_024376-T1, Xe_024122-T1, Xe_024150-T1, Xe_024364-T1, Xe_024139-T1, Xe_024399-T1, Xe_024336-T1, Xe_024133-T1, Xe_024298-T1, Xe_024194-T1, Xe_024116-T1, Xe_024160-T1, Xe_024106-T1, Xe_024163-T1, Xe_024361-T1, Xe_024171-T1, Xe_024385-T1
OG0000018	aip_longest_isoforms	XP_022801177.1	XP_028515739.1
OG0000018	nvec_longest_isoform	XP_022801177.1	XP_032220304.2
OG0000018	aip_longest_isoforms	XP_022810222.1	XP_020892825.1, XP_020903733.1
OG0000018	xenia_longest_isoforms	XP_022805413.1, XP_022784116.1	Xe_001962-T1
OG0000020	xenia_longest_isoforms	XP_022778885.1, XP_022795107.1, XP_022795225.1, XP_022808000.1, XP_022778242.1, XP_022778534.1, XP_022777770.1, XP_022789061.1, XP_022795108.1, XP_022802525.1, XP_022798568.1, XP_022787623.1, XP_022787576.1, XP_022807163.1, XP_022778083.1, XP_022806930.1, XP_022778862.1, XP_022778353.1, XP_022809668.1, XP_022790393.1, XP_022778856.1, XP_022798954.1, XP_022777774.1, XP_022787615.1, XP_022787620.1, XP_022809095.1, XP_022799779.1, XP_022807939.1, XP_022789300.1, XP_022807937.1, XP_022787575.1, XP_022795109.1, XP_022787614.1, XP_022787621.1, XP_022808213.1, XP_022799415.1, XP_022779219.1, XP_022791970.1, XP_022797219.1, XP_022804965.1, XP_022809559.1, XP_022784317.1, XP_022809897.1, XP_022789568.1, XP_022808949.1, XP_022808912.1, XP_022808900.1, XP_022809967.1, XP_022792365.1, XP_022803022.1, XP_022790431.1, XP_022806091.1, XP_022794269.1, XP_022799597.1, XP_022807167.1, XP_022807065.1, XP_022795054.1, XP_022807186.1, XP_022777935.1, XP_022777735.1, XP_022802204.1, XP_022802498.1, XP_022805634.1, XP_022789049.1, XP_022791369.1, XP_022779208.1	Xe_014937-T1
