Orthogroup	nvec_longest_isoform	xenia_longest_isoforms
OG0000039	XP_032242158.1	Xe_025402-T1
OG0000039	XP_032242156.1, XP_032242159.2	Xe_016238-T1, Xe_004328-T1, Xe_016236-T1, Xe_016248-T1, Xe_016125-T1, Xe_009800-T1, Xe_016259-T1, Xe_016263-T1, Xe_025403-T1, Xe_015918-T1, Xe_017319-T1, Xe_012840-T1, Xe_027110-T1, Xe_015906-T1, Xe_015913-T1, Xe_015835-T1, Xe_015836-T1, Xe_016118-T1, Xe_016224-T1, Xe_015834-T1, Xe_016251-T1, Xe_016241-T1, Xe_016121-T1, Xe_016120-T1, Xe_016229-T1, Xe_016223-T1, Xe_015917-T1, Xe_016239-T1, Xe_016250-T1, Xe_016124-T1, Xe_016117-T1, Xe_016122-T1, Xe_015907-T1, Xe_016261-T1, Xe_016225-T1, Xe_016230-T1, Xe_016260-T1, Xe_016231-T1, Xe_016226-T1
OG0000048	XP_001630908.3	Xe_010319-T1, Xe_010700-T1, Xe_010349-T1, Xe_010710-T1, Xe_010681-T1, Xe_010325-T1, Xe_010337-T1, Xe_010338-T1, Xe_010676-T1, Xe_010333-T1, Xe_010703-T1, Xe_010336-T1, Xe_010682-T1, Xe_010701-T1, Xe_010320-T1, Xe_025469-T1, Xe_010356-T1, Xe_010687-T1, Xe_010672-T1, Xe_010348-T1, Xe_010329-T1, Xe_010352-T1, Xe_010695-T1, Xe_010678-T1, Xe_010706-T1, Xe_010315-T1, Xe_010716-T1, Xe_010709-T1, Xe_010324-T1, Xe_010685-T1, Xe_010342-T1, Xe_010708-T1, Xe_010354-T1, Xe_010317-T1, Xe_010335-T1, Xe_010702-T1, Xe_010323-T1, Xe_010674-T1, Xe_010688-T1, Xe_010686-T1, Xe_010355-T1, Xe_010673-T1, Xe_010334-T1
OG0000053	XP_001627538.2	Xe_006883-T1, Xe_006910-T1, Xe_028526-T1, Xe_028537-T1, Xe_028550-T1, Xe_028545-T1, Xe_028553-T1, Xe_028524-T1, Xe_006864-T1, Xe_006865-T1, Xe_006863-T1, Xe_016683-T1, Xe_019198-T1, Xe_018918-T1, Xe_020330-T1, Xe_018720-T1, Xe_027600-T1, Xe_000786-T1, Xe_016328-T1, Xe_020914-T1, Xe_008566-T1, Xe_008569-T1, Xe_018651-T1, Xe_010130-T1, Xe_006874-T1, Xe_006913-T1, Xe_006866-T1, Xe_028540-T1, Xe_028549-T1, Xe_028516-T1, Xe_028556-T1, Xe_006880-T1, Xe_006907-T1, Xe_028507-T1, Xe_028529-T1, Xe_007072-T1, Xe_028511-T1, Xe_028533-T1, Xe_028508-T1, Xe_028543-T1, Xe_006915-T1
OG0000059	XP_001639282.2	Xe_009344-T1
OG0000064	XP_032237816.2, XP_001621520.3, XP_001625504.3	Xe_018287-T1, Xe_018289-T1, Xe_009458-T1, Xe_009454-T1, Xe_009551-T1, Xe_009466-T1, Xe_009450-T1, Xe_009451-T1, Xe_009552-T1, Xe_009447-T1, Xe_009467-T1, Xe_009470-T2, Xe_009470-T1, Xe_009460-T1, Xe_009464-T1
OG0000064	XP_032230469.2	Xe_009547-T1, Xe_009545-T1, Xe_009469-T1
OG0000072	XP_048590369.1, XP_048575383.1	Xe_023267-T1, Xe_023661-T1, Xe_023452-T1, Xe_023662-T1
OG0000073	XP_032220880.2	Xe_010364-T1
OG0000073	XP_032227996.1	Xe_016621-T1, Xe_028200-T1, Xe_022589-T1, Xe_022562-T1, Xe_028352-T1, Xe_028178-T1, Xe_028199-T1, Xe_010375-T1, Xe_028128-T1, Xe_022587-T1, Xe_022591-T1, Xe_010359-T1, Xe_016651-T1, Xe_010370-T1, Xe_028126-T1, Xe_028353-T1, Xe_010360-T1, Xe_028157-T1, Xe_028206-T1, Xe_028169-T1, Xe_028198-T1, Xe_028148-T1, Xe_028213-T1, Xe_028190-T1, Xe_028140-T1, Xe_010378-T1, Xe_028346-T1, Xe_028217-T1, Xe_028127-T1, Xe_022557-T1, Xe_028137-T1, Xe_028207-T1, Xe_028158-T1, Xe_028220-T1
OG0000080	XP_001640356.1, XP_048575534.1, XP_001640351.1, XP_001632584.1	Xe_013876-T1
OG0000080	XP_001618259.1, XP_032232854.1, XP_048575529.1, XP_032232069.1, XP_032237531.1, XP_001619029.1, XP_032224817.2, XP_001640459.1, XP_048575532.1, XP_001618258.1, XP_001638523.1, XP_032238441.1, XP_048575530.1, XP_001640480.1, XP_048575531.1, XP_001630070.2, XP_048575533.1, XP_001630309.1	Xe_001264-T1
OG0000080	XP_032225152.1	Xe_005697-T1
OG0000081	XP_032238230.2	Xe_008902-T1, Xe_008910-T1, Xe_009030-T1, Xe_008922-T1, Xe_008935-T1, Xe_008937-T1, Xe_008931-T1, Xe_008914-T1, Xe_008896-T1, Xe_009038-T1, Xe_008911-T1, Xe_008903-T1, Xe_008950-T1, Xe_008923-T1, Xe_008938-T1, Xe_008932-T1, Xe_008918-T1, Xe_008897-T1, Xe_008906-T1, Xe_009035-T1, Xe_008898-T1, Xe_024388-T1, Xe_008928-T1, Xe_022010-T1, Xe_027847-T1, Xe_008916-T1, Xe_009833-T1, Xe_008917-T1, Xe_006653-T1, Xe_008913-T1, Xe_008590-T1, Xe_009025-T1, Xe_007256-T1, Xe_006637-T1
OG0000085	XP_001630205.1	Xe_009864-T1
OG0000085	XP_001634541.2, XP_032234685.1, XP_001637863.2, XP_048580195.1, XP_001634538.3, XP_001629668.1	Xe_009863-T1
OG0000085	XP_032228524.1	Xe_009867-T1
OG0000088	XP_048576863.1, XP_032241700.2, XP_032238844.2	Xe_017406-T1
OG0000088	XP_032243090.1	Xe_017402-T1, Xe_017447-T1, Xe_017398-T1, Xe_017399-T1, Xe_017401-T1, Xe_017400-T1, Xe_017488-T1, Xe_017469-T1, Xe_027980-T1
OG0000089	XP_001623766.1	Xe_003102-T1
OG0000089	XP_032238225.1	Xe_014274-T1, Xe_013895-T1
OG0000090	XP_032236055.2, XP_032226582.1, XP_032240657.1, XP_032226675.2, XP_032226591.1, XP_032229314.1, XP_032234852.1, XP_032227850.1, XP_048583931.1, XP_032240658.2, XP_032227446.2, XP_032223068.2, XP_032241520.2, XP_048588358.1, XP_048584824.1, XP_032235990.1, XP_048588877.1	Xe_001792-T1
OG0000094	XP_032221897.1, XP_032219552.1, XP_032238256.1, XP_001629396.1, XP_032238574.1	Xe_003703-T1, Xe_026504-T1, Xe_026120-T1, Xe_022992-T1
OG0000095	XP_032226970.1, XP_048577299.1, XP_048587702.1, XP_048577095.1	Xe_026450-T1
OG0000095	XP_048589971.1	Xe_024958-T1, Xe_025166-T1
OG0000097	XP_048583486.1, XP_048589349.1, XP_048583326.1, XP_048588223.1, XP_048576918.1, XP_048584314.1, XP_048578639.1, XP_048584432.1, XP_048587411.1, XP_048580720.1	Xe_027773-T1
OG0000102	XP_032241030.1, XP_048575513.1, XP_001618166.3, XP_048575516.1, XP_001617661.1, XP_001619732.1, XP_001622883.1, XP_048575515.1, XP_001619042.1, XP_048575510.1, XP_048575514.1, XP_048575512.1, XP_048575511.1, XP_048575519.1, XP_048575517.1, XP_048575518.1, XP_048575522.1, XP_048575521.1, XP_048575523.1, XP_048575526.1, XP_048575520.1, XP_048575524.1, XP_048575525.1, XP_001617561.3, XP_001619031.1, XP_001620466.2	Xe_003885-T1, Xe_004668-T1
OG0000104	XP_048582129.1	Xe_023342-T1, Xe_026617-T1, Xe_006399-T1, Xe_018355-T1, Xe_023965-T1, Xe_026618-T1, Xe_023341-T1, Xe_025226-T1, Xe_025954-T1, Xe_025312-T1, Xe_023340-T1, Xe_024495-T1, Xe_018903-T1, Xe_024351-T1, Xe_026616-T1, Xe_023963-T1, Xe_025953-T1, Xe_018354-T1, Xe_023344-T1, Xe_023836-T1, Xe_025227-T1, Xe_028720-T1, Xe_017903-T1, Xe_019316-T1, Xe_018356-T1, Xe_023343-T1, Xe_023835-T1, Xe_023964-T1, Xe_019317-T1
OG0000114	XP_048581886.1, XP_032235722.1, XP_048586207.1, XP_048582750.1	Xe_000928-T1
OG0000115	XP_048581275.1, XP_048581279.1	Xe_006330-T1
OG0000116	XP_048579254.1	Xe_024930-T1
OG0000116	XP_048577300.1, XP_048577295.1, XP_048578208.1, XP_048578219.1, XP_048578192.1, XP_048578198.1, XP_048578203.1, XP_048578206.1, XP_032228321.1, XP_048578200.1, XP_048578196.1, XP_048578194.1, XP_048578214.1, XP_048578010.1, XP_048577285.1, XP_001624668.2, XP_048577289.1, XP_048577287.1, XP_048577564.1, XP_048578181.1, XP_048578176.1, XP_048578185.1, XP_048578188.1, XP_048578217.1, XP_048578080.1, XP_048577282.1, XP_048577411.1, XP_032238173.2, XP_048577283.1	Xe_027243-T3
OG0000127	XP_048588392.1, XP_032231638.1, XP_048590202.1	Xe_029046-T1, Xe_028089-T1
OG0000138	XP_048588475.1, XP_048588116.1	Xe_025214-T1
OG0000140	XP_048577480.1, XP_032219423.2	Xe_016402-T1, Xe_016395-T1, Xe_016391-T1, Xe_016403-T1, Xe_016387-T1, Xe_016397-T1, Xe_016394-T1, Xe_016404-T1, Xe_016393-T1, Xe_010643-T1, Xe_010641-T1, Xe_010638-T1, Xe_010640-T1, Xe_010631-T1
OG0000140	XP_032220118.1	Xe_016405-T1, Xe_016399-T1
OG0000140	XP_048586192.1	Xe_017549-T1
OG0000142	XP_048576718.1	Xe_007757-T1, Xe_001618-T1, Xe_022985-T1, Xe_023091-T1, Xe_022838-T1, Xe_008810-T1, Xe_001399-T1, Xe_025265-T1, Xe_019579-T1, Xe_023230-T1, Xe_023225-T1, Xe_017473-T1, Xe_025904-T1, Xe_026587-T1, Xe_028401-T1, Xe_023211-T1, Xe_026677-T1, Xe_023149-T1, Xe_022839-T1, Xe_017050-T1, Xe_010413-T1, Xe_001400-T1, Xe_028366-T1, Xe_017518-T1, Xe_022993-T1, Xe_023090-T1, Xe_022984-T1, Xe_025264-T1, Xe_011051-T1
OG0000150	XP_032231438.2, XP_032233701.2, XP_001631296.3, XP_048588537.1, XP_048588345.1	Xe_019844-T1, Xe_019846-T1
OG0000152	XP_001631485.3, XP_048575382.1	Xe_009380-T1, Xe_009407-T1, Xe_009389-T1, Xe_009401-T1, Xe_009385-T1, Xe_009376-T1, Xe_009400-T1, Xe_009397-T1, Xe_023852-T1, Xe_009398-T1, Xe_009394-T1, Xe_009379-T1, Xe_009383-T1, Xe_009377-T1, Xe_009390-T1, Xe_009393-T1, Xe_009399-T1, Xe_009375-T1
OG0000162	XP_048590634.1, XP_032219066.1, XP_032235644.2, XP_032237940.2, XP_032225381.1, XP_032227500.1	Xe_001129-T1, Xe_001136-T1, Xe_001133-T1, Xe_001131-T1, Xe_001138-T1, Xe_001139-T1, Xe_001132-T1, Xe_001130-T1, Xe_001145-T1, Xe_001144-T1, Xe_001142-T1, Xe_004730-T1
OG0000163	XP_001638509.2, XP_032232756.1, XP_032220365.2, XP_001633192.1, XP_048586491.1, XP_048582846.1, XP_032219169.2, XP_032221219.2	Xe_015814-T1
OG0000164	XP_048588070.1	Xe_002081-T1
OG0000164	XP_001623512.2, XP_032220434.2	Xe_020411-T1
OG0000164	XP_048583999.1, XP_001637706.3, XP_048584057.1	Xe_019771-T1, Xe_019772-T1, Xe_019774-T1, Xe_020756-T1
OG0000165	XP_048587973.1, XP_032237984.2, XP_048587974.1, XP_048583480.1, XP_032218166.2	Xe_015363-T1
OG0000167	XP_001640494.1	Xe_015085-T1, Xe_003690-T1, Xe_015082-T1, Xe_015079-T1, Xe_015083-T1, Xe_026780-T1, Xe_015081-T1, Xe_015078-T1, Xe_005563-T1, Xe_015086-T1
OG0000170	XP_032235111.2, XP_048579142.1, XP_001636151.1, XP_032218507.2	Xe_008530-T1
OG0000174	XP_048587454.1, XP_048576611.1, XP_048576612.1, XP_048576613.1, XP_048586637.1, XP_032228291.1, XP_048581982.1, XP_048576221.1, XP_048577802.1, XP_048583212.1, XP_048583125.1, XP_048589471.1	Xe_029133-T1
OG0000181	XP_001638956.3, XP_048588401.1, XP_048582912.1, XP_048588343.1, XP_048580978.1, XP_048580686.1, XP_048588082.1, XP_048586376.1	Xe_025654-T1
OG0000182	XP_032223360.1, XP_032220100.1, XP_048587566.1, XP_048579162.1, XP_032229666.2	Xe_008166-T1
OG0000183	XP_048576535.1	Xe_010574-T1
OG0000185	XP_048586335.1, XP_048578936.1, XP_032228947.2	Xe_024916-T1
OG0000186	XP_032237847.1	Xe_028455-T1, Xe_010460-T1, Xe_010507-T1, Xe_010481-T1, Xe_004586-T1, Xe_011072-T1, Xe_025536-T1, Xe_027988-T1, Xe_023819-T1, Xe_028097-T1, Xe_028365-T1, Xe_028117-T1, Xe_028426-T1, Xe_010431-T1, Xe_028410-T1, Xe_028243-T1, Xe_010415-T1, Xe_010441-T1, Xe_028108-T1, Xe_028338-T1, Xe_028421-T1, Xe_023825-T1, Xe_004587-T1, Xe_007365-T1, Xe_007390-T1
OG0000188	XP_048579357.1	Xe_024056-T1, Xe_001562-T1, Xe_017040-T1, Xe_010509-T1, Xe_022503-T1, Xe_015550-T1, Xe_022420-T1, Xe_010772-T1, Xe_006888-T1, Xe_014560-T1, Xe_000066-T1, Xe_028168-T1, Xe_016375-T1, Xe_023959-T1, Xe_003185-T1, Xe_006581-T1, Xe_013942-T1, Xe_024183-T1, Xe_016828-T1, Xe_028798-T1, Xe_018054-T1, Xe_023441-T1, Xe_022658-T1, Xe_020789-T1, Xe_006911-T1
OG0000195	XP_048584823.1, XP_032239217.2, XP_032228215.2, XP_032231221.2, XP_032223070.1, XP_032240432.2, XP_032240656.1, XP_048588386.1, XP_048577416.1, XP_032234372.2, XP_032232734.2, XP_048579151.1, XP_032230521.2	Xe_025508-T1
OG0000196	XP_048590066.1	Xe_023585-T1, Xe_023593-T1, Xe_023586-T1, Xe_023576-T1, Xe_023569-T1, Xe_023592-T1, Xe_023589-T1, Xe_023594-T1
OG0000198	XP_048580434.1	Xe_018211-T1
OG0000199	XP_001634790.2	Xe_022831-T1, Xe_023222-T1, Xe_022910-T1, Xe_023180-T1, Xe_023198-T1, Xe_023185-T1, Xe_023098-T1, Xe_022957-T1, Xe_023208-T1, Xe_022965-T1, Xe_023007-T1, Xe_023022-T1, Xe_022981-T1, Xe_022842-T1, Xe_022971-T1, Xe_022954-T1, Xe_022863-T1, Xe_023139-T1, Xe_023234-T1, Xe_023223-T1, Xe_023220-T1, Xe_023084-T1
OG0000202	XP_032232383.2, XP_048586416.1	Xe_006106-T1, Xe_026782-T1
OG0000203	XP_048587465.1, XP_048585335.1	Xe_022975-T1, Xe_023190-T1, Xe_022928-T1, Xe_023019-T1, Xe_023016-T1, Xe_022890-T1, Xe_022873-T1, Xe_022869-T1, Xe_022877-T1, Xe_022896-T1, Xe_001960-T1, Xe_028308-T1, Xe_018139-T1, Xe_023442-T1, Xe_003956-T1, Xe_006912-T1, Xe_026447-T1, Xe_026758-T1, Xe_028640-T1, Xe_028876-T1, Xe_029137-T1, Xe_029098-T1, Xe_029037-T1
OG0000216	XP_048580105.1, XP_048583608.1, XP_048588591.1, XP_048587356.1, XP_048587749.1, XP_048577718.1, XP_048582201.1	Xe_024461-T1
OG0000217	XP_048579336.1	Xe_025968-T1, Xe_025294-T1, Xe_017641-T1, Xe_018276-T1, Xe_025938-T1, Xe_017914-T1
OG0000219	XP_032238044.2	Xe_020308-T1, Xe_020222-T1, Xe_020154-T1, Xe_027479-T1, Xe_020299-T1, Xe_020255-T1, Xe_020264-T1, Xe_020168-T1, Xe_020209-T1, Xe_020818-T1, Xe_020804-T1, Xe_020246-T1, Xe_020183-T1, Xe_020223-T1, Xe_020304-T1, Xe_020208-T1, Xe_020208-T2, Xe_020181-T1, Xe_020287-T1, Xe_022675-T1, Xe_020205-T1
OG0000222	XP_048590404.1, XP_001638430.1, XP_048576419.1, XP_048576401.1	Xe_009218-T1, Xe_009233-T1, Xe_009213-T1, Xe_009237-T1
OG0000224	XP_032240743.2, XP_048587220.1, XP_032220088.2	Xe_007895-T1, Xe_007894-T1
OG0000225	XP_048575891.1	Xe_024037-T1, Xe_024034-T1, Xe_018813-T1, Xe_018799-T1, Xe_018809-T1, Xe_018825-T1, Xe_018846-T1, Xe_018835-T1, Xe_018797-T1, Xe_018795-T1, Xe_018801-T1, Xe_018826-T1, Xe_018807-T1, Xe_018804-T1, Xe_018836-T1, Xe_018847-T1, Xe_018831-T1, Xe_018841-T1, Xe_018798-T1, Xe_018827-T1, Xe_018810-T1
OG0000226	XP_032240735.2	Xe_023191-T1, Xe_023042-T1, Xe_022897-T1, Xe_023082-T1, Xe_022979-T1, Xe_023044-T1, Xe_022882-T1, Xe_022935-T1, Xe_023013-T1, Xe_022847-T1, Xe_023195-T1, Xe_022885-T1, Xe_023000-T1, Xe_022835-T1, Xe_022980-T1, Xe_023026-T1, Xe_022969-T1, Xe_022820-T1, Xe_022930-T1, Xe_022833-T1, Xe_023183-T1
OG0000235	XP_001622151.1, XP_001636833.2, XP_032220755.1	Xe_012141-T1
OG0000236	XP_032218877.1, XP_048587822.1, XP_048587847.1, XP_032235762.1, XP_032239920.2, XP_032235763.1, XP_032235733.1	Xe_014312-T1
OG0000238	XP_048580448.1	Xe_006111-T1, Xe_027015-T1, Xe_012882-T1, Xe_026471-T1, Xe_019843-T1, Xe_023896-T1, Xe_019606-T1, Xe_017485-T1
OG0000238	XP_048584429.1	Xe_019327-T1, Xe_028111-T1
OG0000239	XP_032228118.2	Xe_027046-T1, Xe_028462-T1
OG0000239	XP_048588638.1, XP_048576978.1, XP_032219840.1, XP_048581370.1, XP_048581373.1	Xe_011643-T1, Xe_026156-T1
OG0000241	XP_048585435.1	Xe_029029-T1
OG0000241	XP_048585434.1, XP_048580703.1	Xe_019589-T1, Xe_009801-T1
OG0000242	XP_032235309.2	Xe_022450-T1, Xe_022456-T1, Xe_022464-T1, Xe_028736-T1, Xe_022467-T1, Xe_028674-T1, Xe_022454-T1, Xe_022457-T1, Xe_022466-T1, Xe_022469-T1, Xe_023922-T1, Xe_022462-T1, Xe_007068-T1, Xe_001335-T1, Xe_001563-T1, Xe_023924-T1, Xe_028672-T1, Xe_028638-T1, Xe_028586-T1
OG0000244	XP_048580481.1	Xe_026147-T1, Xe_006304-T1, Xe_011672-T1, Xe_008739-T1, Xe_011671-T1, Xe_006268-T1, Xe_024515-T1, Xe_026163-T1, Xe_026502-T1, Xe_006267-T1, Xe_018044-T1, Xe_018045-T1, Xe_026005-T1, Xe_003473-T1, Xe_018015-T1, Xe_000664-T1, Xe_015193-T1, Xe_014563-T1
OG0000246	XP_001627465.1	Xe_006389-T1, Xe_026934-T1, Xe_006388-T1, Xe_027093-T1, Xe_019015-T1, Xe_019834-T1, Xe_014810-T1, Xe_014811-T1, Xe_027108-T1, Xe_027473-T1, Xe_017662-T1, Xe_027464-T1, Xe_026714-T1, Xe_014804-T1, Xe_026712-T1, Xe_003195-T1, Xe_019712-T1, Xe_026690-T1, Xe_006392-T1, Xe_026698-T1, Xe_014819-T1, Xe_026713-T1
OG0000247	XP_048576294.1, XP_048576291.1	Xe_011361-T1, Xe_011348-T1, Xe_011350-T1, Xe_011342-T1, Xe_011339-T1, Xe_011345-T1, Xe_011351-T1, Xe_011347-T1, Xe_011343-T1, Xe_011356-T1, Xe_011360-T1, Xe_011353-T1, Xe_011358-T1, Xe_011355-T1, Xe_011362-T1, Xe_011354-T1, Xe_011344-T1, Xe_011340-T1, Xe_011359-T1, Xe_011357-T1, Xe_011352-T1
OG0000256	XP_032232807.1, XP_048590106.1, XP_001636910.3, XP_001635715.2, XP_048586427.1, XP_048577985.1, XP_032223461.1, XP_032230428.1	Xe_012705-T1
OG0000257	XP_001640346.1, XP_001640367.1, XP_001619715.1, XP_048576880.1, XP_032232850.1, XP_032238438.1, XP_032225150.1, XP_001622257.2, XP_001638460.2, XP_032237529.2	Xe_021910-T1
OG0000260	XP_001629173.1, XP_048584459.1	Xe_022810-T1, Xe_008663-T1, Xe_013576-T1, Xe_013575-T1, Xe_013574-T1, Xe_022809-T1, Xe_008664-T1, Xe_008662-T1, Xe_022811-T1
OG0000261	XP_001632008.1	Xe_005619-T1
OG0000261	XP_048576882.1, XP_001636043.1	Xe_005621-T1
OG0000262	XP_032229313.2, XP_048586682.1, XP_001625906.3	Xe_012448-T1
OG0000263	XP_048589886.1	Xe_002569-T1
OG0000263	XP_048590127.1, XP_048589984.1	Xe_018526-T1, Xe_018512-T1, Xe_022474-T1, Xe_018524-T1, Xe_018533-T1, Xe_018516-T1, Xe_018504-T1, Xe_018530-T1, Xe_018510-T1, Xe_018536-T1, Xe_018520-T1, Xe_022473-T1, Xe_018506-T1
OG0000265	XP_001635917.3, XP_001640250.3, XP_048587487.1, XP_048581533.1, XP_048581531.1, XP_048581534.1, XP_048580699.1	Xe_000480-T1, Xe_000482-T1, Xe_000481-T1
OG0000266	XP_048576640.1, XP_032223642.2	Xe_015345-T1, Xe_015539-T1, Xe_015344-T1, Xe_015534-T1, Xe_015532-T1, Xe_015537-T1, Xe_015531-T1, Xe_015535-T1, Xe_015536-T1, Xe_015538-T1, Xe_015530-T1, Xe_015533-T1, Xe_015540-T1
OG0000268	XP_032231044.2, XP_048578645.1	Xe_001320-T1, Xe_003953-T1, Xe_016952-T1, Xe_026456-T1, Xe_017486-T1, Xe_026679-T1, Xe_026149-T1, Xe_026115-T1, Xe_013496-T1, Xe_001655-T1, Xe_003954-T1, Xe_008743-T1, Xe_016951-T1, Xe_028442-T1, Xe_001321-T1, Xe_026680-T1, Xe_017487-T1, Xe_026148-T1, Xe_026457-T1, Xe_018717-T1
OG0000273	XP_032226592.2, XP_032234851.1, XP_048588389.1, XP_048589481.1, XP_048583930.1, XP_048583960.1, XP_032235740.2, XP_048588870.1	Xe_006471-T1
OG0000274	XP_001639806.1, XP_001640893.3, XP_001640891.2, XP_048586574.1	Xe_021721-T1
OG0000276	XP_032238799.2, XP_032233196.2, XP_048575329.1, XP_001635889.1, XP_001631550.1, XP_032221834.2, XP_032238546.1, XP_001639444.2	Xe_014580-T1, Xe_014579-T1
OG0000277	XP_048577682.1, XP_048577671.1, XP_048577678.1, XP_048577681.1, XP_048577674.1	Xe_002459-T1
OG0000278	XP_048589970.1, XP_048582656.1, XP_032233880.1, XP_048587489.1	Xe_003974-T1
OG0000279	XP_032221057.1	Xe_027594-T2, Xe_027502-T1
OG0000280	XP_048587737.1, XP_048577021.1, XP_032225162.2, XP_048577010.1, XP_048578034.1, XP_048586408.1, XP_048578270.1, XP_048577011.1, XP_032235493.1, XP_048583530.1, XP_048577020.1	Xe_028939-T1
OG0000281	XP_032237160.1, XP_001635316.2, XP_001625497.2	Xe_020870-T1, Xe_020849-T1, Xe_028690-T1, Xe_028593-T1, Xe_020871-T1, Xe_020848-T1, Xe_020866-T1, Xe_020864-T1, Xe_020840-T1, Xe_020860-T1, Xe_028689-T1, Xe_028594-T1, Xe_028653-T1, Xe_020844-T1, Xe_020842-T1
OG0000282	XP_048577816.1	Xe_022471-T1, Xe_010227-T1, Xe_010845-T1, Xe_022422-T1, Xe_010850-T1, Xe_010229-T1, Xe_010239-T1, Xe_010844-T1, Xe_010853-T1, Xe_010236-T1, Xe_010246-T1, Xe_010244-T1, Xe_010840-T1, Xe_010851-T1, Xe_010843-T1, Xe_010248-T1, Xe_010854-T1, Xe_010243-T1
OG0000294	XP_048579829.1	Xe_020079-T1
OG0000294	XP_001630583.1, XP_032239984.1, XP_001630039.1, XP_048576268.1	Xe_018791-T1, Xe_020081-T1, Xe_018295-T1, Xe_018794-T1
OG0000299	XP_048584711.1, XP_048590532.1, XP_048585989.1	Xe_028992-T1, Xe_014960-T1, Xe_018465-T1, Xe_015314-T1
OG0000300	XP_001633970.1	Xe_015441-T1, Xe_015443-T1, Xe_015461-T1, Xe_015457-T1, Xe_015456-T1, Xe_015460-T1, Xe_013572-T1, Xe_008660-T1, Xe_013577-T1, Xe_015459-T1, Xe_015455-T1
OG0000301	XP_001639867.2, XP_032242825.2, XP_048580479.1	Xe_021389-T1, Xe_021770-T1, Xe_021768-T1, Xe_021762-T1, Xe_028719-T1, Xe_021765-T1, Xe_022489-T1, Xe_021763-T1, Xe_028742-T1
OG0000302	XP_048576561.1, XP_048576559.1, XP_032231190.1	Xe_006610-T1, Xe_006629-T1, Xe_006640-T1, Xe_006622-T1, Xe_006600-T1, Xe_006606-T1, Xe_006624-T1, Xe_006608-T1, Xe_006575-T1, Xe_006599-T1, Xe_006596-T1, Xe_006603-T1, Xe_006597-T1, Xe_006576-T1
